ID;Afzet;BedrijfstakkenBranchesSBI2008;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3;Wegingscoefficient_4
0;Totaal afzetprijzen;B Delfstoffenwinning;2012 januari;121.2;;;16741
1;Totaal afzetprijzen;B Delfstoffenwinning;2012 februari;121.7;0.4;;16741
2;Totaal afzetprijzen;B Delfstoffenwinning;2012 maart;122.5;0.6;;16741
3;Totaal afzetprijzen;B Delfstoffenwinning;2012 april;125.4;2.4;;16741
4;Totaal afzetprijzen;B Delfstoffenwinning;2012 mei;126.8;1.1;;16741
5;Totaal afzetprijzen;B Delfstoffenwinning;2012 juni;123.5;-2.6;;16741
6;Totaal afzetprijzen;B Delfstoffenwinning;2012 juli;123.2;-0.2;;16741
7;Totaal afzetprijzen;B Delfstoffenwinning;2012 augustus;125.4;1.8;;16741
8;Totaal afzetprijzen;B Delfstoffenwinning;2012 september;124.8;-0.5;;16741
9;Totaal afzetprijzen;B Delfstoffenwinning;2012 oktober;127.0;1.7;;16741
10;Totaal afzetprijzen;B Delfstoffenwinning;2012 november;130.7;3.0;;16741
11;Totaal afzetprijzen;B Delfstoffenwinning;2012 december;126.4;-3.3;;16741
12;Totaal afzetprijzen;B Delfstoffenwinning;2012;124.9;;;16741
13;Totaal afzetprijzen;B Delfstoffenwinning;2013 januari;124.9;-1.2;3.1;16741
14;Totaal afzetprijzen;B Delfstoffenwinning;2013 februari;123.2;-1.4;1.2;16741
15;Totaal afzetprijzen;B Delfstoffenwinning;2013 maart;122.9;-0.2;0.4;16741
16;Totaal afzetprijzen;B Delfstoffenwinning;2013 april;122.4;-0.5;-2.4;16741
17;Totaal afzetprijzen;B Delfstoffenwinning;2013 mei;121.6;-0.6;-4.1;16741
18;Totaal afzetprijzen;B Delfstoffenwinning;2013 juni;121.2;-0.3;-1.8;16741
19;Totaal afzetprijzen;B Delfstoffenwinning;2013 juli;121.5;0.2;-1.4;16741
20;Totaal afzetprijzen;B Delfstoffenwinning;2013 augustus;121.1;-0.3;-3.4;16741
21;Totaal afzetprijzen;B Delfstoffenwinning;2013 september;120.1;-0.9;-3.8;16741
22;Totaal afzetprijzen;B Delfstoffenwinning;2013 oktober;121.2;0.9;-4.6;16741
23;Totaal afzetprijzen;B Delfstoffenwinning;2013 november;122.4;1.0;-6.4;16741
24;Totaal afzetprijzen;B Delfstoffenwinning;2013 december;122.9;0.4;-2.7;16741
25;Totaal afzetprijzen;B Delfstoffenwinning;2013;122.1;;-2.2;16741
26;Totaal afzetprijzen;B Delfstoffenwinning;2014 januari;122.7;-0.2;-1.8;16741
27;Totaal afzetprijzen;B Delfstoffenwinning;2014 februari;119.7;-2.5;-2.8;16741
28;Totaal afzetprijzen;B Delfstoffenwinning;2014 maart;115.7;-3.3;-5.9;16741
29;Totaal afzetprijzen;B Delfstoffenwinning;2014 april;111.0;-4.1;-9.3;16741
30;Totaal afzetprijzen;B Delfstoffenwinning;2014 mei;107.0;-3.6;-12.0;16741
31;Totaal afzetprijzen;B Delfstoffenwinning;2014 juni;105.8;-1.2;-12.8;16741
32;Totaal afzetprijzen;B Delfstoffenwinning;2014 juli;101.9;-3.7;-16.1;16741
33;Totaal afzetprijzen;B Delfstoffenwinning;2014 augustus;101.8;-0.1;-16.0;16741
34;Totaal afzetprijzen;B Delfstoffenwinning;2014 september;104.8;3.0;-12.7;16741
35;Totaal afzetprijzen;B Delfstoffenwinning;2014 oktober;109.7;4.7;-9.4;16741
36;Totaal afzetprijzen;B Delfstoffenwinning;2014 november;110.8;1.0;-9.4;16741
37;Totaal afzetprijzen;B Delfstoffenwinning;2014 december;110.4;-0.4;-10.1;16741
38;Totaal afzetprijzen;B Delfstoffenwinning;2014;110.1;;-9.8;16741
39;Totaal afzetprijzen;B Delfstoffenwinning;2015 januari;104.8;-5.1;-14.6;16741
40;Totaal afzetprijzen;B Delfstoffenwinning;2015 februari;102.4;-2.3;-14.5;16741
41;Totaal afzetprijzen;B Delfstoffenwinning;2015 maart;106.1;3.7;-8.3;16741
42;Totaal afzetprijzen;B Delfstoffenwinning;2015 april;104.4;-1.6;-6.0;16741
43;Totaal afzetprijzen;B Delfstoffenwinning;2015 mei;102.4;-1.9;-4.3;16741
44;Totaal afzetprijzen;B Delfstoffenwinning;2015 juni;101.0;-1.5;-4.5;16741
45;Totaal afzetprijzen;B Delfstoffenwinning;2015 juli;100.5;-0.5;-1.4;16741
46;Totaal afzetprijzen;B Delfstoffenwinning;2015 augustus;99.8;-0.7;-2.0;16741
47;Totaal afzetprijzen;B Delfstoffenwinning;2015 september;100.1;0.3;-4.5;16741
48;Totaal afzetprijzen;B Delfstoffenwinning;2015 oktober;95.2;-4.9;-13.2;16741
49;Totaal afzetprijzen;B Delfstoffenwinning;2015 november;92.7;-2.6;-16.4;16741
50;Totaal afzetprijzen;B Delfstoffenwinning;2015 december;90.6;-2.3;-18.0;16741
51;Totaal afzetprijzen;B Delfstoffenwinning;2015;100.0;;-9.2;16741
52;Totaal afzetprijzen;B Delfstoffenwinning;2016 januari;86.4;-4.6;-17.5;16741
53;Totaal afzetprijzen;B Delfstoffenwinning;2016 februari;82.2;-4.8;-19.7;16741
54;Totaal afzetprijzen;B Delfstoffenwinning;2016 maart;80.5;-2.1;-24.1;16741
55;Totaal afzetprijzen;B Delfstoffenwinning;2016 april;74.3;-7.7;-28.8;16741
56;Totaal afzetprijzen;B Delfstoffenwinning;2016 mei;77.4;4.1;-24.5;16741
57;Totaal afzetprijzen;B Delfstoffenwinning;2016 juni;81.7;5.6;-19.1;16741
58;Totaal afzetprijzen;B Delfstoffenwinning;2016 juli;84.6;3.6;-15.8;16741
59;Totaal afzetprijzen;B Delfstoffenwinning;2016 augustus;84.1;-0.7;-15.8;16741
60;Totaal afzetprijzen;B Delfstoffenwinning;2016 september;79.4;-5.6;-20.7;16741
61;Totaal afzetprijzen;B Delfstoffenwinning;2016 oktober;78.1;-1.6;-17.9;16741
62;Totaal afzetprijzen;B Delfstoffenwinning;2016 november;85.1;8.9;-8.2;16741
63;Totaal afzetprijzen;B Delfstoffenwinning;2016 december;89.0;4.6;-1.8;16741
64;Totaal afzetprijzen;B Delfstoffenwinning;2016;81.9;;-18.1;16741
65;Totaal afzetprijzen;B Delfstoffenwinning;2017 januari;87.9;-1.2;1.7;16741
66;Totaal afzetprijzen;B Delfstoffenwinning;2017 februari;92.3;5.1;12.3;16741
67;Totaal afzetprijzen;B Delfstoffenwinning;2017 maart;96.6;4.6;20.0;16741
68;Totaal afzetprijzen;B Delfstoffenwinning;2017 april;85.0;-12.0;14.4;16741
69;Totaal afzetprijzen;B Delfstoffenwinning;2017 mei;85.0;0.0;9.9;16741
70;Totaal afzetprijzen;B Delfstoffenwinning;2017 juni;86.4;1.6;5.8;16741
71;Totaal afzetprijzen;B Delfstoffenwinning;2017 juli;84.7;-2.0;0.1;16741
72;Totaal afzetprijzen;B Delfstoffenwinning;2017 augustus;82.1;-3.1;-2.4;16741
73;Totaal afzetprijzen;B Delfstoffenwinning;2017 september;84.8;3.3;6.8;16741
74;Totaal afzetprijzen;B Delfstoffenwinning;2017 oktober;88.3;4.2;13.0;16741
75;Totaal afzetprijzen;B Delfstoffenwinning;2017 november;89.7;1.6;5.5;16741
76;Totaal afzetprijzen;B Delfstoffenwinning;2017 december;92.9;3.6;4.4;16741
77;Totaal afzetprijzen;B Delfstoffenwinning;2017;88.0;;7.4;16741
78;Totaal afzetprijzen;B Delfstoffenwinning;2018 januari;96.4;3.7;9.7;16741
79;Totaal afzetprijzen;B Delfstoffenwinning;2018 februari;92.7;-3.9;0.4;16741
80;Totaal afzetprijzen;B Delfstoffenwinning;2018 maart;93.8;1.2;-2.9;16741
81;Totaal afzetprijzen;B Delfstoffenwinning;2018 april;92.7;-1.1;9.1;16741
82;Totaal afzetprijzen;B Delfstoffenwinning;2018 mei;96.4;4.0;13.4;16741
83;Totaal afzetprijzen;B Delfstoffenwinning;2018 juni;101.6;5.4;17.6;16741
84;Totaal afzetprijzen;B Delfstoffenwinning;2018 juli;103.5;1.8;22.2;16741
85;Totaal afzetprijzen;B Delfstoffenwinning;2018 augustus;104.3;0.8;27.1;16741
86;Totaal afzetprijzen;B Delfstoffenwinning;2018 september;109.5;4.9;29.1;16741
87;Totaal afzetprijzen;B Delfstoffenwinning;2018 oktober;116.9;6.8;32.3;16741
88;Totaal afzetprijzen;B Delfstoffenwinning;2018 november;110.4;-5.6;23.0;16741
89;Totaal afzetprijzen;B Delfstoffenwinning;2018 december;107.2;-2.8;15.4;16741
90;Totaal afzetprijzen;B Delfstoffenwinning;2018;102.1;;16.1;16741
91;Totaal afzetprijzen;B Delfstoffenwinning;2019 januari;105.6;-1.5;9.5;16741
92;Totaal afzetprijzen;B Delfstoffenwinning;2019 februari;105.6;0.0;14.0;16741
93;Totaal afzetprijzen;B Delfstoffenwinning;2019 maart;93.6;-11.3;-0.2;16741
94;Totaal afzetprijzen;B Delfstoffenwinning;2019 april;88.4;-5.6;-4.7;16741
95;Totaal afzetprijzen;B Delfstoffenwinning;2019 mei;87.7;-0.8;-9.0;16741
96;Totaal afzetprijzen;B Delfstoffenwinning;2019 juni;81.5;-7.1;-19.8;16741
97;Totaal afzetprijzen;B Delfstoffenwinning;2019 juli;77.4;-5.0;-25.2;16741
98;Totaal afzetprijzen;B Delfstoffenwinning;2019 augustus;76.5;-1.2;-26.7;16741
99;Totaal afzetprijzen;B Delfstoffenwinning;2019 september;77.2;1.0;-29.4;16741
100;Totaal afzetprijzen;B Delfstoffenwinning;2019 oktober;85.4;10.6;-26.9;16741
101;Totaal afzetprijzen;B Delfstoffenwinning;2019 november;86.9;1.8;-21.2;16741
