ID;CompanySize;SectorBranches;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;Total 1 or more employed persons;900063;2005 1st quarter;69.0;-2.3
1;Total 1 or more employed persons;900063;2005 2nd quarter;93.1;9.0
2;Total 1 or more employed persons;900063;2005 3rd quarter;82.9;8.6
3;Total 1 or more employed persons;900063;2005 4th quarter;108.2;5.9
4;Total 1 or more employed persons;900063;2005;88.3;5.6
5;Total 1 or more employed persons;900063;2006 1st quarter;76.5;10.9
6;Total 1 or more employed persons;900063;2006 2nd quarter;99.2;6.6
7;Total 1 or more employed persons;900063;2006 3rd quarter;88.4;6.7
8;Total 1 or more employed persons;900063;2006 4th quarter;118.6;9.6
9;Total 1 or more employed persons;900063;2006;95.7;8.4
10;Total 1 or more employed persons;900063;2007 1st quarter;87.2;14.0
11;Total 1 or more employed persons;900063;2007 2nd quarter;108.6;9.5
12;Total 1 or more employed persons;900063;2007 3rd quarter;96.3;8.9
13;Total 1 or more employed persons;900063;2007 4th quarter;127.5;7.5
14;Total 1 or more employed persons;900063;2007;104.9;9.6
15;Total 1 or more employed persons;900063;2008 1st quarter;97.6;11.9
16;Total 1 or more employed persons;900063;2008 2nd quarter;121.4;11.7
17;Total 1 or more employed persons;900063;2008 3rd quarter;106.8;10.9
18;Total 1 or more employed persons;900063;2008 4th quarter;134.2;5.2
19;Total 1 or more employed persons;900063;2008;115.0;9.6
20;Total 1 or more employed persons;900063;2009 1st quarter;98.9;1.3
21;Total 1 or more employed persons;900063;2009 2nd quarter;116.5;-4.0
22;Total 1 or more employed persons;900063;2009 3rd quarter;101.8;-4.6
23;Total 1 or more employed persons;900063;2009 4th quarter;121.4;-9.5
24;Total 1 or more employed persons;900063;2009;109.7;-4.6
25;Total 1 or more employed persons;900063;2010 1st quarter;82.0;-17.1
26;Total 1 or more employed persons;900063;2010 2nd quarter;107.1;-8.1
27;Total 1 or more employed persons;900063;2010 3rd quarter;94.8;-6.9
28;Total 1 or more employed persons;900063;2010 4th quarter;116.2;-4.3
29;Total 1 or more employed persons;900063;2010;100.0;-8.8
30;Total 1 or more employed persons;900063;2011 1st quarter;89.5;9.2
31;Total 1 or more employed persons;900063;2011 2nd quarter;110.2;2.9
32;Total 1 or more employed persons;900063;2011 3rd quarter;98.2;3.6
33;Total 1 or more employed persons;900063;2011 4th quarter;119.2;2.6
34;Total 1 or more employed persons;900063;2011;104.3;4.3
35;Total 1 or more employed persons;900063;2012 1st quarter;82.1;-8.2
36;Total 1 or more employed persons;900063;2012 2nd quarter;102.7;-6.8
37;Total 1 or more employed persons;900063;2012 3rd quarter;94.0;-4.3
38;Total 1 or more employed persons;900063;2012 4th quarter;109.2;-8.4
39;Total 1 or more employed persons;900063;2012;97.0;-6.9
40;Total 1 or more employed persons;900063;2013 1st quarter;74.7;-9.1
41;Total 1 or more employed persons;900063;2013 2nd quarter;96.3;-6.2
42;Total 1 or more employed persons;900063;2013 3rd quarter;89.7;-4.6
43;Total 1 or more employed persons;900063;2013 4th quarter;110.3;1.0
44;Total 1 or more employed persons;900063;2013;92.7;-4.4
45;Total 1 or more employed persons;900063;2014 1st quarter;78.2;4.7
46;Total 1 or more employed persons;900063;2014 2nd quarter;94.6;-1.8
47;Total 1 or more employed persons;900063;2014 3rd quarter;88.2;-1.7
48;Total 1 or more employed persons;900063;2014 4th quarter;115.8;5.0
49;Total 1 or more employed persons;900063;2014;94.2;1.5
50;Total 1 or more employed persons;900063;2015 1st quarter;82.3;5.2
51;Total 1 or more employed persons;900063;2015 2nd quarter;103.6;9.6
52;Total 1 or more employed persons;900063;2015 3rd quarter;94.1;6.7
53;Total 1 or more employed persons;900063;2015 4th quarter;117.5;1.5
54;Total 1 or more employed persons;900063;2015;99.4;5.5
55;Total 1 or more employed persons;900063;2016 1st quarter;87.4;6.2
56;Total 1 or more employed persons;900063;2016 2nd quarter;107.2;3.4
57;Total 1 or more employed persons;900063;2016 3rd quarter;102.0;8.4
58;Total 1 or more employed persons;900063;2016 4th quarter;126.9;8.0
59;Total 1 or more employed persons;900063;2016;105.9;6.5
60;Total 1 or more employed persons;900063;2017 1st quarter;92.6;6.0
61;Total 1 or more employed persons;900063;2017 2nd quarter;113.9;6.3
62;Total 1 or more employed persons;900063;2017 3rd quarter;105.7;3.6
63;Total 1 or more employed persons;900063;2017 4th quarter;135.3;6.7
64;Total 1 or more employed persons;900063;2017;111.9;5.7
65;Total 1 or more employed persons;350400;2005 1st quarter;73.9;-5.2
66;Total 1 or more employed persons;350400;2005 2nd quarter;101.9;8.2
67;Total 1 or more employed persons;350400;2005 3rd quarter;85.8;6.1
68;Total 1 or more employed persons;350400;2005 4th quarter;114.3;5.7
69;Total 1 or more employed persons;350400;2005;94.0;4.1
70;Total 1 or more employed persons;350400;2006 1st quarter;83.5;12.9
71;Total 1 or more employed persons;350400;2006 2nd quarter;109.0;6.9
72;Total 1 or more employed persons;350400;2006 3rd quarter;90.2;5.1
73;Total 1 or more employed persons;350400;2006 4th quarter;124.7;9.1
74;Total 1 or more employed persons;350400;2006;101.8;8.3
75;Total 1 or more employed persons;350400;2007 1st quarter;94.5;13.3
76;Total 1 or more employed persons;350400;2007 2nd quarter;119.3;9.4
77;Total 1 or more employed persons;350400;2007 3rd quarter;100.2;11.2
78;Total 1 or more employed persons;350400;2007 4th quarter;135.0;8.3
79;Total 1 or more employed persons;350400;2007;112.3;10.3
80;Total 1 or more employed persons;350400;2008 1st quarter;108.2;14.4
81;Total 1 or more employed persons;350400;2008 2nd quarter;132.5;11.1
82;Total 1 or more employed persons;350400;2008 3rd quarter;111.3;11.0
83;Total 1 or more employed persons;350400;2008 4th quarter;143.7;6.4
84;Total 1 or more employed persons;350400;2008;123.9;10.4
85;Total 1 or more employed persons;350400;2009 1st quarter;106.6;-1.4
86;Total 1 or more employed persons;350400;2009 2nd quarter;124.5;-6.1
87;Total 1 or more employed persons;350400;2009 3rd quarter;102.4;-8.0
88;Total 1 or more employed persons;350400;2009 4th quarter;121.3;-15.6
89;Total 1 or more employed persons;350400;2009;113.7;-8.2
90;Total 1 or more employed persons;350400;2010 1st quarter;84.0;-21.2
91;Total 1 or more employed persons;350400;2010 2nd quarter;110.2;-11.4
92;Total 1 or more employed persons;350400;2010 3rd quarter;92.2;-9.9
93;Total 1 or more employed persons;350400;2010 4th quarter;113.5;-6.4
94;Total 1 or more employed persons;350400;2010;100.0;-12.1
95;Total 1 or more employed persons;350400;2011 1st quarter;92.1;9.7
96;Total 1 or more employed persons;350400;2011 2nd quarter;110.9;0.6
97;Total 1 or more employed persons;350400;2011 3rd quarter;95.5;3.6
98;Total 1 or more employed persons;350400;2011 4th quarter;113.3;-0.2
99;Total 1 or more employed persons;350400;2011;103.0;3.0
100;Total 1 or more employed persons;350400;2012 1st quarter;81.1;-11.9
101;Total 1 or more employed persons;350400;2012 2nd quarter;100.3;-9.6
102;Total 1 or more employed persons;350400;2012 3rd quarter;90.3;-5.4
103;Total 1 or more employed persons;350400;2012 4th quarter;98.4;-13.1
104;Total 1 or more employed persons;350400;2012;92.5;-10.1
105;Total 1 or more employed persons;350400;2013 1st quarter;70.9;-12.6
106;Total 1 or more employed persons;350400;2013 2nd quarter;90.0;-10.2
107;Total 1 or more employed persons;350400;2013 3rd quarter;80.6;-10.8
108;Total 1 or more employed persons;350400;2013 4th quarter;100.2;1.8
109;Total 1 or more employed persons;350400;2013;85.4;-7.7
110;Total 1 or more employed persons;350400;2014 1st quarter;71.6;1.0
111;Total 1 or more employed persons;350400;2014 2nd quarter;86.3;-4.1
112;Total 1 or more employed persons;350400;2014 3rd quarter;77.0;-4.5
113;Total 1 or more employed persons;350400;2014 4th quarter;103.4;3.2
114;Total 1 or more employed persons;350400;2014;84.6;-1.0
115;Total 1 or more employed persons;350400;2015 1st quarter;78.5;9.5
116;Total 1 or more employed persons;350400;2015 2nd quarter;100.0;15.8
117;Total 1 or more employed persons;350400;2015 3rd quarter;83.9;8.9
118;Total 1 or more employed persons;350400;2015 4th quarter;109.4;5.7
119;Total 1 or more employed persons;350400;2015;92.9;9.8
120;Total 1 or more employed persons;350400;2016 1st quarter;84.8;8.1
121;Total 1 or more employed persons;350400;2016 2nd quarter;103.4;3.4
122;Total 1 or more employed persons;350400;2016 3rd quarter;94.6;12.8
123;Total 1 or more employed persons;350400;2016 4th quarter;123.1;12.5
124;Total 1 or more employed persons;350400;2016;101.4;9.2
125;Total 1 or more employed persons;350400;2017 1st quarter;92.9;9.6
126;Total 1 or more employed persons;350400;2017 2nd quarter;114.7;10.9
127;Total 1 or more employed persons;350400;2017 3rd quarter;102.4;8.3
128;Total 1 or more employed persons;350400;2017 4th quarter;135.6;10.2
129;Total 1 or more employed persons;350400;2017;111.4;9.8
130;Total 1 or more employed persons;350600;2005 1st quarter;57.4;3.0
131;Total 1 or more employed persons;350600;2005 2nd quarter;85.9;10.6
132;Total 1 or more employed persons;350600;2005 3rd quarter;82.4;14.4
133;Total 1 or more employed persons;350600;2005 4th quarter;112.8;3.9
134;Total 1 or more employed persons;350600;2005;84.6;7.8
135;Total 1 or more employed persons;350600;2006 1st quarter;61.6;7.3
136;Total 1 or more employed persons;350600;2006 2nd quarter;93.6;8.9
137;Total 1 or more employed persons;350600;2006 3rd quarter;92.0;11.7
138;Total 1 or more employed persons;350600;2006 4th quarter;127.4;13.0
139;Total 1 or more employed persons;350600;2006;93.7;10.7
140;Total 1 or more employed persons;350600;2007 1st quarter;71.6;16.2
141;Total 1 or more employed persons;350600;2007 2nd quarter;98.8;5.7
142;Total 1 or more employed persons;350600;2007 3rd quarter;93.2;1.3
143;Total 1 or more employed persons;350600;2007 4th quarter;130.7;2.5
144;Total 1 or more employed persons;350600;2007;98.6;5.3
145;Total 1 or more employed persons;350600;2008 1st quarter;76.6;7.0
146;Total 1 or more employed persons;350600;2008 2nd quarter;108.1;9.3
147;Total 1 or more employed persons;350600;2008 3rd quarter;100.0;7.3
148;Total 1 or more employed persons;350600;2008 4th quarter;130.5;-0.1
149;Total 1 or more employed persons;350600;2008;103.8;5.3
150;Total 1 or more employed persons;350600;2009 1st quarter;81.4;6.2
151;Total 1 or more employed persons;350600;2009 2nd quarter;109.2;1.0
152;Total 1 or more employed persons;350600;2009 3rd quarter;105.8;5.8
