ID;KenmerkenPersonen;Marges;Perioden;TotaalOnlineAankopenVoorPrive_1;MinderDan3MaandenGeleden_2;k_3Tot12MandenGeleden_3;MeerDan12MaandenGeleden_4;NooitGoederenBesteldOfGekocht_5;LevensmiddelenCosmeticaEnSchoonmaak_6;Medicijnen_7;KledingOfSportArtikelen_8;DigitaleStudieOfLeermaterialen_9;FilmMuziek_10;BoekenTijdschriftenEnKranten_11;TelecommunicatiedienstenAbonn_12;SoftHardwareEnElektronischeBenodig_13;HuishoudelijkeGoederenEnApparaten_14;ReizenEnAccommodaties_15;FinancieleProductenOfDiensten_16;KaartjesVoorEvenementen_17;AndereAankopen_18;Films_19;Muziek_20;BoekenTijdschriftenEtcEnStudieOf_21;ComputerSoftwareEnSpellenUpgrades_22;Nederland_23;AndereEULanden_24;AndereLandenVanDeWereld_25;OnbekendLand_26;k_1Of2Keer_27;k_35Keer_28;k_610Keer_29;MeerDan10Keer_30;WeetNiet_31;MinderDan50Euro_32;k_50Tot100Euro_33;k_100Tot500Euro_34;k_500Tot1000Euro_35;k_1000EuroOfMeer_36;WeetNiet_37
0;Totaal personen;Waarde;2012;64.0;46.4;12.3;5.4;19.4;7.3;2.6;31.2;4.7;14.6;22.9;12.0;12.8;15.8;34.0;4.3;25.5;19.0;3.2;4.4;5.3;8.9;54.6;11.8;7.4;;;;;;;6.9;11.9;18.5;3.9;2.6;0.7
1;Totaal personen;Waarde;2013;68.0;49.9;12.8;5.3;17.4;9.2;4.1;36.7;8.4;17.4;27.5;16.3;16.6;18.2;38.3;6.3;31.2;26.4;4.5;6.6;8.0;12.7;59.6;13.7;8.7;0.7;;;;;;6.1;11.8;21.0;5.0;3.5;0.8
2;Totaal personen;Waarde;2014;69.7;53.1;11.5;5.0;16.6;13.2;4.4;40.5;10.2;17.8;28.7;20.8;18.3;23.2;41.4;5.9;34.6;27.5;7.0;8.6;9.7;9.8;60.5;18.8;12.5;1.2;;;;;;;;;;;
3;Totaal personen;Waarde;2015;70.0;54.0;11.4;4.6;15.4;14.7;5.3;42.4;9.9;14.9;28.2;20.0;24.8;23.9;39.9;6.2;45.1;29.4;6.4;8.0;11.1;10.3;60.6;19.2;13.0;1.7;23.7;19.6;6.7;3.8;0.1;8.7;14.1;20.9;5.5;3.4;1.4
4;Totaal personen;Waarde;2016;73.3;57.2;11.1;4.9;14.1;18.5;6.8;47.9;9.8;14.8;29.1;20.1;26.1;28.6;44.2;;38.3;30.9;6.3;7.4;10.1;11.3;64.3;22.3;15.7;1.7;22.8;20.4;8.5;5.4;0.2;8.4;13.7;23.0;5.7;4.1;2.2
5;Totaal personen;Waarde;2017;76.3;62.0;10.8;3.5;13.4;26.1;8.3;52.0;12.2;16.4;29.6;23.2;28.9;34.9;47.6;33.8;44.9;34.1;7.5;8.5;10.5;19.5;68.7;24.5;20.6;1.9;22.3;23.3;10.0;6.4;;8.1;14.7;25.2;7.1;4.8;2.2
6;Totaal personen;Waarde;2018;77.8;63.8;10.2;3.8;11.4;15.9;10.0;55.5;15.7;15.6;30.5;24.5;22.3;38.0;49.8;33.3;45.8;34.5;;;;;68.7;29.8;23.2;4.0;20.5;24.4;10.0;8.9;;8.6;14.0;25.3;7.2;5.8;3.0
7;Totaal personen;Waarde;2019;79.4;64.0;11.4;4.1;10.8;31.3;9.2;55.0;13.7;17.1;30.9;24.9;30.2;37.5;51.5;36.0;47.4;36.1;;;;;70.8;29.6;25.2;5.1;21.2;23.4;10.3;9.1;;8.4;14.2;25.6;7.2;5.1;3.4
8;Totaal personen;Ondergrens 95%-interval;2012;62.6;44.8;11.2;4.7;18.3;6.4;2.1;29.7;4.1;13.4;21.6;10.9;11.7;14.6;32.5;3.6;24.1;17.7;2.5;3.7;4.6;7.9;53.1;10.7;6.5;;;;;;;6.1;10.8;17.2;3.3;2.1;0.5
9;Totaal personen;Ondergrens 95%-interval;2013;66.6;48.3;11.7;4.6;16.3;8.3;3.4;35.1;7.5;16.1;26.0;15.1;15.4;16.9;36.8;5.5;29.7;24.9;3.7;5.8;7.1;11.6;58.0;12.6;7.8;0.5;;;;;;5.3;10.7;19.7;4.3;2.9;0.5
10;Totaal personen;Ondergrens 95%-interval;2014;68.2;51.5;10.5;4.3;15.4;12.1;3.8;38.9;9.2;16.5;27.3;19.5;17.1;21.9;39.9;5.1;33.1;26.0;6.1;7.7;8.8;8.9;59.0;17.5;11.4;0.9;;;;;;;;;;;
11;Totaal personen;Ondergrens 95%-interval;2015;68.6;52.4;10.4;3.9;14.3;13.5;4.6;40.9;8.9;13.8;26.9;18.7;23.5;22.6;38.4;5.4;43.6;28.0;5.6;7.2;10.1;9.4;59.1;17.9;11.9;1.3;22.4;18.3;5.9;3.2;0.0;7.8;13.0;19.6;4.8;2.8;1.0
12;Totaal personen;Ondergrens 95%-interval;2016;71.9;55.7;10.2;4.3;13.0;17.3;6.1;46.4;8.9;13.7;27.8;19.0;24.8;27.3;42.7;;36.8;29.5;5.6;6.6;9.2;10.4;62.9;21.0;14.5;1.3;21.5;19.2;7.7;4.7;0.0;7.5;12.7;21.8;5.0;3.5;1.8
13;Totaal personen;Ondergrens 95%-interval;2017;75.0;60.5;9.9;2.9;12.4;24.8;7.5;50.5;11.3;15.3;28.2;22.0;27.6;33.5;46.1;32.4;43.5;32.7;6.7;7.6;9.6;18.3;67.3;23.2;19.4;1.5;21.1;22.0;9.1;5.7;;7.3;13.6;23.9;6.3;4.2;1.8
14;Totaal personen;Ondergrens 95%-interval;2018;76.5;62.4;9.3;3.3;10.4;14.8;9.1;54.0;14.6;14.5;29.2;23.2;21.1;36.6;48.3;31.9;44.3;33.1;;;;;67.3;28.5;21.9;3.4;19.3;23.1;9.2;8.0;;7.7;13.0;24.0;6.4;5.1;2.5
15;Totaal personen;Ondergrens 95%-interval;2019;78.3;62.6;10.5;3.5;9.9;30.0;8.4;53.6;12.7;16.0;29.6;23.6;28.9;36.2;50.1;34.7;46.0;34.7;;;;;69.5;28.3;24.0;4.5;20.1;22.2;9.4;8.2;;7.6;13.3;24.4;6.5;4.5;2.9
16;Totaal personen;Bovengrens 95%-interval;2012;65.5;47.9;13.3;6.1;20.6;8.1;3.1;32.6;5.4;15.7;24.3;13.0;13.9;17.0;35.5;4.9;26.9;20.2;3.8;5.1;6.0;9.8;56.2;12.9;8.3;;;;;;;7.7;12.9;19.7;4.5;3.1;1.0
17;Totaal personen;Bovengrens 95%-interval;2013;69.4;51.4;13.9;6.1;18.5;10.2;4.7;38.3;9.4;18.7;28.9;17.5;17.8;19.5;39.9;7.2;32.7;27.8;5.2;7.5;8.9;13.8;61.1;14.9;9.7;1.0;;;;;;6.8;12.8;22.4;5.7;4.1;1.1
18;Totaal personen;Bovengrens 95%-interval;2014;71.1;54.7;12.5;5.8;17.8;14.3;5.1;42.0;11.2;19.0;30.2;22.1;19.5;24.6;43.0;6.6;36.1;28.9;7.8;9.5;10.7;10.8;62.1;20.1;13.5;1.6;;;;;;;;;;;
19;Totaal personen;Bovengrens 95%-interval;2015;71.4;55.5;12.4;5.2;16.5;15.8;6.0;43.9;10.9;16.0;29.6;21.2;26.2;25.2;41.4;6.9;46.6;30.8;7.1;8.9;12.1;11.3;62.1;20.4;14.1;2.1;25.1;20.8;7.5;4.4;0.3;9.5;15.1;22.1;6.3;3.9;1.8
20;Totaal personen;Bovengrens 95%-interval;2016;74.6;58.7;12.1;5.6;15.1;19.7;7.5;49.4;10.7;15.9;30.4;21.3;27.4;30.0;45.6;;39.7;32.3;7.1;8.2;11.0;12.3;65.7;23.6;16.8;2.1;24.0;21.5;9.3;6.1;0.3;9.2;14.8;24.2;6.4;4.7;2.6
21;Totaal personen;Bovengrens 95%-interval;2017;77.6;63.4;11.8;4.1;14.5;27.4;9.1;53.5;13.2;17.5;30.9;24.5;30.3;36.3;49.1;35.1;46.4;35.5;8.3;9.3;11.4;20.6;70.1;25.7;21.8;2.3;23.6;24.5;10.9;7.1;;8.9;15.7;26.5;7.8;5.4;2.6
22;Totaal personen;Bovengrens 95%-interval;2018;79.0;65.2;11.0;4.4;12.3;16.9;10.9;57.0;16.8;16.6;31.8;25.8;23.5;39.4;51.2;34.7;47.3;35.9;;;;;70.1;31.2;24.4;4.6;21.7;25.6;10.9;9.7;;9.4;15.0;26.6;7.9;6.4;3.5
23;Totaal personen;Bovengrens 95%-interval;2019;80.6;65.3;12.3;4.6;11.7;32.6;10.0;56.4;14.6;18.2;32.2;26.1;31.5;38.9;52.9;37.4;48.8;37.4;;;;;72.1;30.9;26.4;5.8;22.3;24.6;11.1;9.9;;9.1;15.2;26.9;7.9;5.7;4.0
24;Geslacht: Mannen;Waarde;2012;66.4;49.6;10.9;5.9;19.3;5.9;2.7;27.2;5.1;17.0;22.1;14.2;18.8;17.5;35.4;5.4;27.1;25.5;4.1;6.3;6.0;13.2;55.7;15.9;10.9;;;;;;;6.0;10.5;20.7;5.7;3.8;0.6
25;Geslacht: Mannen;Waarde;2013;71.5;53.0;13.2;5.4;16.2;8.9;3.9;32.6;10.0;19.4;26.4;19.0;23.5;19.5;39.2;7.1;32.0;34.2;5.7;8.7;7.7;18.1;62.0;17.6;11.7;0.9;;;;;;4.6;10.6;23.2;6.2;5.2;0.9
26;Geslacht: Mannen;Waarde;2014;73.2;55.1;12.3;5.9;15.6;12.4;4.2;36.9;11.4;20.6;28.8;25.0;26.5;24.6;42.5;6.8;35.2;34.2;9.2;11.5;11.6;14.5;62.4;22.1;16.7;1.6;;;;;;;;;;;
27;Geslacht: Mannen;Waarde;2015;72.3;56.7;11.0;4.6;14.4;13.8;5.5;39.2;11.5;18.7;29.2;23.7;36.5;26.1;42.2;7.4;35.3;38.6;8.7;11.1;13.7;15.8;62.5;24.1;17.1;2.4;23.3;20.2;7.7;5.3;;7.7;13.3;22.2;6.9;5.0;1.5
28;Geslacht: Mannen;Waarde;2016;75.7;58.0;11.8;5.8;12.9;16.5;6.9;45.5;10.3;17.7;27.4;23.9;35.9;29.9;43.9;;38.4;39.0;8.6;10.2;11.1;16.4;65.3;26.4;19.4;1.8;22.5;20.6;8.5;6.4;;7.0;12.6;23.4;7.1;5.6;2.4
29;Geslacht: Mannen;Waarde;2017;78.9;64.2;11.2;3.6;12.5;22.7;9.2;49.1;13.2;20.3;28.8;26.7;39.9;39.5;48.0;38.9;44.3;43.4;10.6;11.9;10.1;27.6;71.2;28.4;23.3;1.9;22.6;23.9;10.3;7.4;;6.7;14.4;25.8;8.8;6.3;2.2
30;Geslacht: Mannen;Waarde;2018;80.3;66.0;10.3;4.0;10.5;16.2;10.7;53.8;17.3;19.6;29.8;29.6;30.8;41.2;51.2;38.5;46.6;43.9;;;;;71.2;34.4;26.4;4.6;20.7;24.8;10.8;9.6;;8.3;12.7;26.4;8.1;7.9;2.6
31;Geslacht: Mannen;Waarde;2019;81.9;65.9;11.4;4.6;9.7;28.9;9.3;52.9;14.7;21.0;30.5;29.6;41.7;42.6;53.5;41.7;47.7;46.1;;;;;72.9;34.1;29.4;5.9;20.9;24.7;10.2;10.1;;7.9;13.4;26.4;8.9;6.4;3.0
32;Geslacht: Mannen;Ondergrens 95%-interval;2012;64.4;47.4;9.6;4.8;17.6;4.8;2.0;25.2;4.1;15.2;20.2;12.6;17.0;15.7;33.2;4.3;25.1;23.5;3.1;5.1;4.9;11.6;53.5;14.1;9.4;;;;;;;5.0;9.1;18.8;4.6;2.9;0.2
33;Geslacht: Mannen;Ondergrens 95%-interval;2013;69.6;50.8;11.6;4.3;14.6;7.6;3.1;30.5;8.6;17.6;24.3;17.2;21.5;17.6;36.9;5.8;29.8;32.0;4.6;7.4;6.5;16.3;59.9;15.8;10.2;0.5;;;;;;3.7;9.2;21.3;5.1;4.2;0.5
34;Geslacht: Mannen;Ondergrens 95%-interval;2014;71.2;52.8;10.8;4.8;13.9;10.8;3.4;34.8;10.0;18.8;26.8;23.0;24.5;22.7;40.3;5.7;33.0;32.1;7.9;10.0;10.1;12.9;60.2;20.2;15.0;1.0;;;;;;;;;;;
35;Geslacht: Mannen;Ondergrens 95%-interval;2015;70.4;54.5;9.7;3.7;12.9;12.3;4.6;37.0;10.1;17.0;27.1;21.8;34.4;24.1;40.0;6.2;33.2;36.4;7.4;9.7;12.2;14.2;60.4;22.2;15.4;1.6;21.4;18.4;6.5;4.3;;6.5;11.8;20.3;5.8;4.1;0.9
36;Geslacht: Mannen;Ondergrens 95%-interval;2016;73.8;55.9;10.5;4.7;11.5;14.9;5.9;43.3;9.0;16.0;25.5;22.0;33.8;28.0;41.8;;36.3;36.9;7.4;8.9;9.8;14.8;63.2;24.5;17.6;1.2;20.7;18.9;7.3;5.3;;5.8;11.2;21.6;6.0;4.7;1.7
37;Geslacht: Mannen;Ondergrens 95%-interval;2017;77.2;62.1;9.9;2.8;11.0;20.9;8.0;47.0;11.8;18.6;26.9;24.9;37.8;37.5;45.9;36.8;42.2;41.4;9.2;10.5;8.8;25.7;69.3;26.6;21.5;1.3;20.8;22.1;9.0;6.3;;5.6;12.9;24.0;7.6;5.3;1.6
38;Geslacht: Mannen;Ondergrens 95%-interval;2018;78.6;64.0;9.0;3.2;9.2;14.7;9.4;51.8;15.7;17.9;27.9;27.7;28.9;39.2;49.1;36.5;44.5;41.8;;;;;69.3;32.4;24.6;3.7;19.1;23.0;9.5;8.4;;7.1;11.4;24.6;7.0;6.8;1.9
39;Geslacht: Mannen;Ondergrens 95%-interval;2019;80.3;64.1;10.1;3.7;8.6;27.1;8.2;51.0;13.3;19.4;28.7;27.8;39.8;40.7;51.5;39.8;45.8;44.1;;;;;71.2;32.2;27.6;4.9;19.4;23.0;9.0;8.9;;6.8;12.1;24.7;7.7;5.4;2.4
40;Geslacht: Mannen;Bovengrens 95%-interval;2012;68.5;51.9;12.3;6.9;21.0;7.0;3.4;29.3;6.2;18.8;24.0;15.9;20.6;19.2;37.6;6.4;29.1;27.6;5.1;7.5;7.2;14.7;57.9;17.7;12.4;;;;;;;7.1;11.9;22.5;6.7;4.7;0.9
41;Geslacht: Mannen;Bovengrens 95%-interval;2013;73.5;55.3;14.7;6.4;17.7;10.2;4.8;34.8;11.4;21.3;28.4;20.8;25.4;21.3;41.4;8.3;34.1;36.3;6.9;10.0;9.0;19.8;64.2;19.4;13.2;1.3;;;;;;5.5;12.0;25.2;7.3;6.3;1.3
42;Geslacht: Mannen;Bovengrens 95%-interval;2014;75.3;57.3;13.7;7.1;17.3;13.9;5.1;39.1;12.9;22.4;30.8;26.9;28.5;26.5;44.7;7.9;37.3;36.4;10.6;13.0;13.0;16.1;64.6;24.0;18.5;2.2;;;;;;;;;;;
43;Geslacht: Mannen;Bovengrens 95%-interval;2015;74.2;58.9;12.4;5.5;15.9;15.4;6.5;41.3;13.0;20.4;31.2;25.6;38.7;28.0;44.4;8.5;37.4;40.7;9.9;12.5;15.3;17.4;64.7;26.1;18.9;3.1;25.2;22.0;8.8;6.3;;8.9;14.9;24.0;8.1;6.0;2.1
44;Geslacht: Mannen;Bovengrens 95%-interval;2016;77.5;60.1;13.2;6.8;14.4;18.2;8.0;47.6;11.7;19.3;29.3;25.7;37.9;31.9;46.0;;40.5;41.1;9.9;11.5;12.4;18.0;67.3;28.3;21.1;2.4;24.3;22.3;9.7;7.4;;8.1;14.0;25.1;8.2;6.6;3.0
45;Geslacht: Mannen;Bovengrens 95%-interval;2017;80.7;66.2;12.5;4.4;13.9;24.4;10.4;51.2;14.7;22.0;30.7;28.6;41.9;41.5;50.1;40.9;46.4;45.5;11.9;13.2;11.3;29.5;73.2;30.3;25.1;2.5;24.3;25.6;11.6;8.5;;7.7;15.9;27.6;10.0;7.3;2.8
46;Geslacht: Mannen;Bovengrens 95%-interval;2018;82.0;68.0;11.6;4.9;11.8;17.8;11.9;55.9;18.9;21.2;31.7;31.5;32.7;43.3;53.2;40.6;48.7;46.0;;;;;73.1;36.4;28.3;5.5;22.4;26.6;12.0;10.8;;9.5;14.1;28.3;9.2;9.0;3.2
47;Geslacht: Mannen;Bovengrens 95%-interval;2019;83.4;67.8;12.6;5.4;10.9;30.7;10.4;54.9;16.2;22.6;32.3;31.5;43.6;44.6;55.4;43.6;49.7;48.0;;;;;74.7;35.9;31.2;6.8;22.5;26.4;11.4;11.3;;8.9;14.7;28.2;10.0;7.3;3.7
48;Geslacht: Vrouwen;Waarde;2012;61.7;43.2;13.6;5.0;19.5;8.6;2.4;35.0;4.3;12.2;23.7;9.8;7.0;14.1;32.6;3.2;23.9;12.5;2.3;2.5;4.6;4.7;53.6;7.8;4.0;;;;;;;7.7;13.2;16.3;2.2;1.4;0.9
49;Geslacht: Vrouwen;Waarde;2013;64.5;46.8;12.5;5.3;18.6;9.6;4.2;40.7;6.9;15.4;28.5;13.7;9.9;17.0;37.5;5.6;30.5;18.8;3.2;4.6;8.2;7.4;57.1;10.0;5.9;0.6;;;;;;7.5;12.9;18.9;3.9;1.8;0.7
50;Geslacht: Vrouwen;Waarde;2014;66.2;51.2;10.7;4.2;17.6;13.9;4.6;43.9;9.0;15.0;28.7;16.8;10.3;21.9;40.4;5.0;34.1;20.9;4.8;5.8;7.9;5.3;58.7;15.6;8.3;0.8;;;;;;;;;;;
51;Geslacht: Vrouwen;Waarde;2015;67.7;51.3;11.8;4.6;16.4;15.5;5.1;45.6;8.3;11.2;27.3;16.4;13.4;21.8;37.6;5.0;33.7;20.4;4.1;5.1;8.6;5.1;58.7;14.3;8.9;1.1;24.2;18.9;5.8;2.3;;9.6;14.7;19.6;4.2;1.8;1.4
52;Geslacht: Vrouwen;Waarde;2016;70.9;56.4;10.4;4.1;15.2;20.4;6.7;50.4;9.3;11.9;30.8;16.5;16.5;27.4;44.4;;38.1;23.1;4.1;4.6;9.1;6.3;63.3;18.3;12.0;1.7;23.1;20.1;8.6;4.4;0.2;9.7;14.9;22.6;4.4;2.7;2.0
53;Geslacht: Vrouwen;Waarde;2017;73.8;59.9;10.5;3.4;14.4;29.4;7.3;54.9;11.3;12.5;30.3;19.8;18.3;30.4;47.2;28.7;45.6;24.9;4.5;5.1;10.9;11.5;66.2;20.6;18.0;1.9;22.1;22.7;9.7;5.4;;9.5;14.9;24.6;5.4;3.3;2.2
54;Geslacht: Vrouwen;Waarde;2018;75.3;61.6;10.0;3.6;12.2;15.5;9.3;57.1;14.1;11.6;31.2;19.5;14.0;34.8;48.4;28.2;45.0;25.2;;;;;66.2;25.3;20.0;3.4;20.3;23.9;9.3;8.1;;8.8;15.2;24.3;6.2;3.7;3.4
55;Geslacht: Vrouwen;Waarde;2019;77.0;62.0;11.4;3.5;11.8;33.6;9.1;57.0;12.6;13.2;31.2;20.2;18.9;32.5;49.6;30.4;47.1;26.3;;;;;68.7;25.2;21.1;4.4;21.5;22.1;10.4;8.1;;8.9;15.1;24.9;5.5;3.8;3.8
56;Geslacht: Vrouwen;Ondergrens 95%-interval;2012;59.7;41.0;12.0;4.0;17.9;7.3;1.8;32.9;3.4;10.7;21.8;8.5;5.8;12.6;30.5;2.3;22.0;11.0;1.6;1.7;3.7;3.7;51.5;6.6;3.1;;;;;;;6.5;11.7;14.7;1.6;0.9;0.4
57;Geslacht: Vrouwen;Ondergrens 95%-interval;2013;62.5;44.5;10.9;4.3;17.0;8.2;3.2;38.4;5.6;13.6;26.4;12.1;8.5;15.2;35.3;4.4;28.3;16.9;2.3;3.5;6.8;6.1;54.9;8.5;4.7;0.2;;;;;;6.3;11.4;17.1;3.0;1.2;0.3
58;Geslacht: Vrouwen;Ondergrens 95%-interval;2014;64.1;49.0;9.4;3.3;15.9;12.4;3.7;41.7;7.6;13.4;26.7;15.1;8.9;20.0;38.2;4.0;31.9;19.1;3.8;4.7;6.8;4.2;56.5;13.9;7.0;0.4;;;;;;;;;;;
59;Geslacht: Vrouwen;Ondergrens 95%-interval;2015;65.7;49.2;10.4;3.7;14.8;13.9;4.2;43.5;7.1;9.9;25.4;14.8;12.0;20.0;35.5;4.0;31.7;18.7;3.3;4.1;7.4;4.1;56.6;12.8;7.7;0.6;22.3;17.2;4.8;1.6;;8.3;13.2;17.9;3.3;1.2;0.9
60;Geslacht: Vrouwen;Ondergrens 95%-interval;2016;69.0;54.3;9.2;3.2;13.6;18.7;5.6;48.3;8.0;10.6;28.8;15.0;15.0;25.5;42.4;;36.1;21.3;3.2;3.7;7.9;5.3;61.3;16.6;10.6;1.1;21.3;18.5;7.4;3.6;0.0;8.4;13.4;20.9;3.6;2.0;1.5
61;Geslacht: Vrouwen;Ondergrens 95%-interval;2017;71.9;57.8;9.2;2.6;12.8;27.5;6.3;52.8;9.9;11.2;28.4;18.2;16.7;28.5;45.1;26.9;43.5;23.1;3.7;4.2;9.7;10.2;64.1;18.9;16.4;1.3;20.4;20.9;8.5;4.5;;8.3;13.4;22.8;4.5;2.6;1.6
62;Geslacht: Vrouwen;Ondergrens 95%-interval;2018;73.4;59.6;8.8;2.9;10.8;14.0;8.1;55.0;12.6;10.3;29.3;17.8;12.6;32.8;46.3;26.3;43.0;23.4;;;;;64.2;23.5;18.3;2.7;18.6;22.1;8.1;7.0;;7.6;13.8;22.5;5.2;2.9;2.7
63;Geslacht: Vrouwen;Ondergrens 95%-interval;2019;75.3;60.1;10.2;2.8;10.6;31.8;8.0;55.0;11.3;11.9;29.4;18.6;17.3;30.6;47.6;28.6;45.2;24.5;;;;;66.8;23.5;19.5;3.6;19.9;20.5;9.1;7.0;;7.8;13.7;23.1;4.6;3.1;3.1
64;Geslacht: Vrouwen;Bovengrens 95%-interval;2012;63.7;45.3;15.1;5.9;21.1;9.9;3.1;37.1;5.2;13.7;25.7;11.1;8.2;15.7;34.7;4.0;25.8;14.0;3.0;3.2;5.5;5.7;55.8;9.0;4.9;;;;;;;9.0;14.7;18.0;2.8;2.0;1.3
65;Geslacht: Vrouwen;Bovengrens 95%-interval;2013;66.6;49.0;14.0;6.3;20.3;11.0;5.2;42.9;8.1;17.2;30.7;15.4;11.4;18.8;39.7;6.8;32.6;20.6;4.1;5.7;9.5;8.7;59.3;11.4;7.0;0.9;;;;;;8.8;14.5;20.7;4.8;2.4;1.1
66;Geslacht: Vrouwen;Bovengrens 95%-interval;2014;68.2;53.4;12.1;5.1;19.3;15.5;5.6;46.1;10.3;16.6;30.7;18.5;11.7;23.8;42.6;6.0;36.2;22.8;5.8;6.9;9.1;6.3;60.8;17.2;9.6;1.2;;;;;;;;;;;
67;Geslacht: Vrouwen;Bovengrens 95%-interval;2015;69.7;53.4;13.2;5.5;17.9;17.0;6.0;47.7;9.5;12.6;29.3;17.9;14.9;23.6;39.7;6.0;35.7;22.2;5.0;6.0;9.7;6.0;60.8;15.9;10.2;1.5;26.0;20.6;6.8;2.9;;10.8;16.3;21.3;5.1;2.4;1.8
68;Geslacht: Vrouwen;Bovengrens 95%-interval;2016;72.8;58.5;11.7;4.9;16.7;22.2;7.7;52.4;10.5;13.3;32.7;18.1;18.1;29.2;46.5;;40.1;24.8;4.9;5.5;10.4;7.3;65.3;19.9;13.5;2.3;24.8;21.8;9.7;5.3;0.3;11.0;16.4;24.4;5.3;3.3;2.6
69;Geslacht: Vrouwen;Bovengrens 95%-interval;2017;75.7;61.9;11.8;4.2;15.9;31.3;8.4;57.0;12.6;13.9;32.2;21.5;19.9;32.3;49.3;30.6;47.6;26.7;5.4;6.0;12.2;12.8;68.2;22.3;19.7;2.5;23.8;24.4;10.9;6.3;;10.7;16.4;26.3;6.3;4.0;2.8
70;Geslacht: Vrouwen;Bovengrens 95%-interval;2018;77.2;63.7;11.3;4.4;13.6;17.0;10.5;59.2;15.6;12.9;33.1;21.2;15.5;36.8;50.5;30.1;47.1;27.0;;;;;68.2;27.2;21.7;4.2;21.9;25.7;10.5;9.3;;10.0;16.7;26.0;7.2;4.4;4.1
71;Geslacht: Vrouwen;Bovengrens 95%-interval;2019;78.7;64.0;12.7;4.3;13.1;35.5;10.2;59.0;14.0;14.6;33.1;21.8;20.5;34.3;51.6;32.3;49.1;28.0;;;;;70.6;27.0;22.7;5.3;23.1;23.8;11.6;9.2;;10.0;16.5;26.6;6.4;4.6;4.6
72;Leeftijd: 12 tot 25 jaar;Waarde;2012;70.3;44.1;20.0;6.3;21.6;7.7;2.3;40.1;11.5;15.3;20.2;15.5;13.5;6.7;24.1;5.7;25.8;25.8;4.6;5.7;4.9;11.0;57.7;11.3;9.0;;;;;;;8.8;13.1;15.3;3.2;0.8;0.8
73;Leeftijd: 12 tot 25 jaar;Waarde;2013;74.8;50.8;17.3;6.7;20.1;9.0;2.9;45.3;16.6;18.6;22.4;15.8;14.3;8.3;26.4;5.2;32.1;34.5;6.6;8.3;7.8;13.4;61.2;12.7;9.8;2.1;;;;;;9.0;13.3;21.3;3.3;1.4;
