ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;10817.2;17.7
1;Nederland;Totaal actief;6830.7;19.7
2;Nederland;Werknemer;6026.3;20.0
3;Nederland;Zelfstandige;792.6;17.2
4;Nederland;Totaal niet-actief;3984.7;14.2
5;Nederland;Werkloosheids- en bijstandsuitk. ontv.;427.5;12.0
6;Nederland;Pensioenontvanger;2541.2;16.1
7;Noord-Nederland (LD);Totaal sociaal-economische categorie;1127.1;16.4
8;Noord-Nederland (LD);Totaal actief;681.3;18.2
9;Noord-Nederland (LD);Werknemer;587.2;18.6
10;Noord-Nederland (LD);Zelfstandige;92.8;15.9
11;Noord-Nederland (LD);Totaal niet-actief;445.6;13.5
12;Noord-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;46.8;11.8
13;Noord-Nederland (LD);Pensioenontvanger;286.4;15.1
14;Oost-Nederland (LD);Totaal sociaal-economische categorie;2261.0;17.0
15;Oost-Nederland (LD);Totaal actief;1450.9;18.7
16;Oost-Nederland (LD);Werknemer;1278.2;19.0
17;Oost-Nederland (LD);Zelfstandige;170.1;16.3
18;Oost-Nederland (LD);Totaal niet-actief;809.7;13.9
19;Oost-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;75.9;11.9
20;Oost-Nederland (LD);Pensioenontvanger;520.3;15.7
21;West-Nederland (LD);Totaal sociaal-economische categorie;5039.8;18.5
22;West-Nederland (LD);Totaal actief;3202.9;20.7
23;West-Nederland (LD);Werknemer;2839.3;21.0
24;West-Nederland (LD);Zelfstandige;359.1;18.4
25;West-Nederland (LD);Totaal niet-actief;1836.1;14.6
26;West-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;221.0;12.0
27;West-Nederland (LD);Pensioenontvanger;1163.2;16.7
28;Zuid-Nederland (LD);Totaal sociaal-economische categorie;2389.2;17.2
29;Zuid-Nederland (LD);Totaal actief;1495.6;19.1
30;Zuid-Nederland (LD);Werknemer;1321.6;19.5
31;Zuid-Nederland (LD);Zelfstandige;170.7;16.3
32;Zuid-Nederland (LD);Totaal niet-actief;893.4;14.0
33;Zuid-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;83.8;12.0
34;Zuid-Nederland (LD);Pensioenontvanger;571.3;15.8
35;Groningen (PV);Totaal sociaal-economische categorie;381.9;16.1
36;Groningen (PV);Totaal actief;223.8;18.4
37;Groningen (PV);Werknemer;195.9;18.8
38;Groningen (PV);Zelfstandige;27.5;15.4
39;Groningen (PV);Totaal niet-actief;158.0;13.0
40;Groningen (PV);Werkloosheids- en bijstandsuitk. ontv.;19.5;11.6
41;Groningen (PV);Pensioenontvanger;93.7;14.8
42;Friesland (PV);Totaal sociaal-economische categorie;421.2;16.3
43;Friesland (PV);Totaal actief;260.1;18.0
44;Friesland (PV);Werknemer;220.5;18.2
45;Friesland (PV);Zelfstandige;39.0;16.5
46;Friesland (PV);Totaal niet-actief;161.0;13.7
47;Friesland (PV);Werkloosheids- en bijstandsuitk. ontv.;16.1;11.9
48;Friesland (PV);Pensioenontvanger;106.4;15.1
49;Drenthe (PV);Totaal sociaal-economische categorie;324.0;16.7
50;Drenthe (PV);Totaal actief;197.5;18.4
51;Drenthe (PV);Werknemer;170.8;18.8
52;Drenthe (PV);Zelfstandige;26.3;15.7
53;Drenthe (PV);Totaal niet-actief;126.5;14.1
54;Drenthe (PV);Werkloosheids- en bijstandsuitk. ontv.;11.1;12.2
55;Drenthe (PV);Pensioenontvanger;86.3;15.5
56;Overijssel (PV);Totaal sociaal-economische categorie;726.6;16.5
57;Overijssel (PV);Totaal actief;456.2;18.2
58;Overijssel (PV);Werknemer;402.3;18.5
59;Overijssel (PV);Zelfstandige;53.0;16.1
60;Overijssel (PV);Totaal niet-actief;270.3;13.5
61;Overijssel (PV);Werkloosheids- en bijstandsuitk. ontv.;25.4;11.6
62;Overijssel (PV);Pensioenontvanger;173.0;15.2
63;Flevoland (PV);Totaal sociaal-economische categorie;224.1;17.2
64;Flevoland (PV);Totaal actief;158.0;18.8
65;Flevoland (PV);Werknemer;140.7;19.3
66;Flevoland (PV);Zelfstandige;17.1;15.1
67;Flevoland (PV);Totaal niet-actief;66.1;13.2
68;Flevoland (PV);Werkloosheids- en bijstandsuitk. ontv.;8.5;12.4
69;Flevoland (PV);Pensioenontvanger;36.7;15.2
70;Gelderland (PV);Totaal sociaal-economische categorie;1310.3;17.2
71;Gelderland (PV);Totaal actief;836.7;18.9
