ID;Geslacht;Leeftijd;DiagnoseIndelingBeldozo;Perioden;TotaalOverledenen_1;OverledenenPer10000Inwoners_2;VerpleegdagenVanKlinischeOpnamen_3;VerpleegdagenPer10000Inwoners_4;GemiddeldeVerpleegduurOverledenen_5
0;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1981;45966.0;32.3;908775.0;637.9;19.8
1;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1982;46469.0;32.5;896749.0;626.7;19.3
2;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1983;46246.0;32.2;866444.0;603.1;18.7
3;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1984;46935.0;32.5;859737.0;595.9;18.3
4;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1985;47940.0;33.1;862829.0;595.3;18.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1986;48830.0;33.5;882601.0;605.5;18.1
6;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1987;47186.0;32.2;856859.0;584.2;18.2
7;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1988;47262.0;32.0;865100.0;586.1;18.3
8;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1989;48615.0;32.7;885944.0;596.6;18.2
9;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1990;48245.0;32.3;857975.0;573.6;17.8
10;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1991;47652.0;31.6;847188.0;562.2;17.8
11;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1992;47346.0;31.2;818418.0;539.0;17.3
12;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1993;49403.0;32.3;813134.0;531.8;16.5
13;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1994;47347.0;30.8;756440.0;491.7;16.0
14;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1995;48264.0;31.2;751148.0;486.0;15.6
15;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1996;47945.0;30.9;754527.0;485.9;15.7
16;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1997;48070.0;30.8;774260.0;495.9;16.1
17;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1998;48263.0;30.7;792308.0;504.3;16.4
18;Totaal mannen en vrouwen;Totaal alle leeftijden;1;1999;47505.0;30.0;762379.0;482.1;16.0
19;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2000;47573.0;29.9;740243.0;464.7;15.6
20;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2001;46565.0;29.0;706225.0;440.2;15.2
21;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2002;46719.0;28.9;660558.0;409.1;14.1
22;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2003;45471.0;28.0;594218.0;366.3;13.1
23;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2004;43010.0;26.4;524906.0;322.5;12.2
24;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2005;42974.0;26.3;515324.0;315.8;12.0
25;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2006;42076.0;25.7;502626.0;307.5;11.9
