ID;InkomensgrensCN;CaribischNederland;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;Personen_3;PersonenRelatief_4;Kinderen_5;KinderenRelatief_6
0;Totaal;Caribisch Nederland;2018;10150;;23650;;5100;
1;Totaal;Caribisch Nederland;2019;10600;;24300;;5150;
2;Totaal;Caribisch Nederland;2020;10950;;25100;;5300;
3;Totaal;Caribisch Nederland;2021;11300;;25900;;5450;
4;Totaal;Caribisch Nederland;2022;12000;;27000;;5600;
5;Totaal;Bonaire;2018;8100;;19150;;4050;
6;Totaal;Bonaire;2019;8500;;19800;;4100;
7;Totaal;Bonaire;2020;8900;;20550;;4250;
8;Totaal;Bonaire;2021;9200;;21250;;4400;
9;Totaal;Bonaire;2022;9800;;22250;;4550;
10;Totaal;Sint Eustatius;2018;1300;;2900;;700;
11;Totaal;Sint Eustatius;2019;1350;;2900;;700;
12;Totaal;Sint Eustatius;2020;1300;;2950;;700;
13;Totaal;Sint Eustatius;2021;1350;;3000;;700;
14;Totaal;Sint Eustatius;2022;1400;;3050;;700;
15;Totaal;Saba;2018;750;;1600;;350;
16;Totaal;Saba;2019;750;;1600;;350;
17;Totaal;Saba;2020;750;;1600;;350;
18;Totaal;Saba;2021;750;;1600;;350;
19;Totaal;Saba;2022;800;;1700;;350;
20;Ingedeeld;Caribisch Nederland;2018;9550;100.0;20400;100.0;4450;100.0
21;Ingedeeld;Caribisch Nederland;2019;9950;100.0;21050;100.0;4550;100.0
22;Ingedeeld;Caribisch Nederland;2020;10250;100.0;21550;100.0;4650;100.0
23;Ingedeeld;Caribisch Nederland;2021;10600;100.0;22150;100.0;4800;100.0
24;Ingedeeld;Caribisch Nederland;2022;11250;100.0;23300;100.0;5000;100.0
25;Ingedeeld;Bonaire;2018;7600;100.0;16400;100.0;3500;100.0
26;Ingedeeld;Bonaire;2019;7950;100.0;17000;100.0;3600;100.0
27;Ingedeeld;Bonaire;2020;8300;100.0;17500;100.0;3700;100.0
28;Ingedeeld;Bonaire;2021;8600;100.0;18050;100.0;3850;100.0
29;Ingedeeld;Bonaire;2022;9150;100.0;19100;100.0;4050;100.0
30;Ingedeeld;Sint Eustatius;2018;1250;100.0;2550;100.0;650;100.0
31;Ingedeeld;Sint Eustatius;2019;1250;100.0;2600;100.0;650;100.0
32;Ingedeeld;Sint Eustatius;2020;1250;100.0;2600;100.0;650;100.0
33;Ingedeeld;Sint Eustatius;2021;1300;100.0;2650;100.0;650;100.0
34;Ingedeeld;Sint Eustatius;2022;1300;100.0;2650;100.0;650;100.0
35;Ingedeeld;Saba;2018;700;100.0;1450;100.0;300;100.0
36;Ingedeeld;Saba;2019;750;100.0;1450;100.0;300;100.0
37;Ingedeeld;Saba;2020;750;100.0;1450;100.0;300;100.0
38;Ingedeeld;Saba;2021;750;100.0;1450;100.0;300;100.0
39;Ingedeeld;Saba;2022;750;100.0;1550;100.0;300;100.0
40;Inkomen tot 50% ijkpunt sociaal minimum;Caribisch Nederland;2018;950;10.0;1750;9.0;450;10.0
41;Inkomen tot 50% ijkpunt sociaal minimum;Caribisch Nederland;2019;950;9.0;1650;8.0;400;9.0
42;Inkomen tot 50% ijkpunt sociaal minimum;Caribisch Nederland;2020;800;8.0;1500;7.0;400;8.0
43;Inkomen tot 50% ijkpunt sociaal minimum;Caribisch Nederland;2021;900;9.0;1700;8.0;450;9.0
