ID;Geslacht;Onderwijssoort;Leeftijd;VerdachtVanMisdrijf;SoortHuishouden;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal soort huishouden;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal soort huishouden;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal soort huishouden;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal soort huishouden;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal soort huishouden;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal thuiswonend;2004/'05;1174640.0;49990.0;1124640.0;4.3
6;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal thuiswonend;2005/'06;1255120.0;48010.0;1207110.0;3.8
7;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal thuiswonend;2006/'07;1259760.0;45730.0;1214030.0;3.6
8;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal thuiswonend;2007/'08;1277920.0;43760.0;1234170.0;3.4
9;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal thuiswonend;2008/'09;1275110.0;39620.0;1235490.0;3.1
10;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 2 ouders/verzorgers;2004/'05;988330.0;36390.0;951940.0;3.7
11;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 2 ouders/verzorgers;2005/'06;1048510.0;33910.0;1014600.0;3.2
12;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 2 ouders/verzorgers;2006/'07;1050950.0;31820.0;1019130.0;3.0
13;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 2 ouders/verzorgers;2007/'08;1060970.0;29920.0;1031050.0;2.8
14;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 2 ouders/verzorgers;2008/'09;1060580.0;27420.0;1033160.0;2.6
15;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 1 ouder/verzorger;2004/'05;186310.0;13600.0;172700.0;7.3
16;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 1 ouder/verzorger;2005/'06;206610.0;14100.0;192510.0;6.8
17;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 1 ouder/verzorger;2006/'07;208810.0;13910.0;194900.0;6.7
18;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 1 ouder/verzorger;2007/'08;216960.0;13840.0;203120.0;6.4
19;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Thuiswonend, 1 ouder/verzorger;2008/'09;214540.0;12200.0;202330.0;5.7
20;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal eigen huishouden;2004/'05;101030.0;22170.0;78860.0;21.9
21;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal eigen huishouden;2005/'06;116430.0;22310.0;94120.0;19.2
22;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal eigen huishouden;2006/'07;122440.0;22190.0;100250.0;18.1
23;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal eigen huishouden;2007/'08;131710.0;24320.0;107390.0;18.5
24;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal eigen huishouden;2008/'09;131090.0;21350.0;109750.0;16.3
25;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Eigen huishouden, alleenstaand;2004/'05;42420.0;8650.0;33770.0;20.4
