ID;Geslacht;Leeftijden;SociaalEconomischeCategorie;Migratieachtergrond;LandVanBestemming;Perioden;Emigranten_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2000;81.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2001;83.7
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2002;95.1
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2003;103.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2004;111.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2005;120.7
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2006;132.4
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2007;126.4
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2008;124.6
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2009;121.3
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2010;126.6
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal landen;2011;133.3
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2000;47.3
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2001;49.1
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2002;51.4
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2003;51.3
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2004;55.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2005;60.6
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2006;66.5
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2007;66.4
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2008;65.5
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2009;61.4
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2010;63.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal westerse landen;2011;73.6
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2000;14.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2001;14.5
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2002;15.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2003;17.8
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2004;20.5
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;Totaal niet-westerse landen;2005;23.3
