ID;Geslacht;Onderwijsvolgend;CaribischNederland;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVastDienstverband_5;WerknemerMetTijdelijkDienstverband_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;Deeltijd_11;MinderDan20UurPerWeek_12;MinderDan12UurPerWeek_13;k_12Tot20UurPerWeek_14;k_20Tot35UurPerWeek_15;k_20Tot28UurPerWeek_16;k_28Tot35UurPerWeek_17;Voltijd_18;WerklozeBeroepsbevolking_19;Werkloosheidspercentage_20;NietBeroepsbevolking_21;BrutoArbeidsparticipatie_22;NettoArbeidsparticipatie_23
0;Totaal mannen en vrouwen;Totaal;Caribisch Nederland;2012;2680;1240;1100;1090;640;450;10;10;0;10;300;80;40;40;230;150;80;800;140;11.0;1450;46.1;41.0
1;Totaal mannen en vrouwen;Totaal;Caribisch Nederland;2014;2820;1200;980;890;520;380;90;50;0;30;300;120;60;60;190;150;30;680;220;18.1;1620;42.4;34.8
2;Totaal mannen en vrouwen;Totaal;Caribisch Nederland;2016;2690;1220;950;900;520;380;60;0;50;0;230;100;90;10;130;60;60;720;270;21.9;1470;45.3;35.4
3;Totaal mannen en vrouwen;Totaal;Caribisch Nederland;2018;2760;1330;1230;1120;540;590;110;90;20;10;420;110;80;30;310;180;140;810;100;7.6;1430;48.2;44.5
4;Totaal mannen en vrouwen;Totaal;Caribisch Nederland;2020;2550;1190;1060;1010;470;540;50;30;0;20;300;50;10;40;240;120;120;760;140;11.4;1360;46.7;41.3
5;Totaal mannen en vrouwen;Totaal;Caribisch Nederland;2022;2680;1350;1210;1150;710;450;50;40;10;0;310;120;40;80;190;160;30;900;150;10.7;1320;50.5;45.1
6;Totaal mannen en vrouwen;Totaal;Bonaire;2012;1940;1010;880;880;520;360;0;0;0;0;220;40;10;30;180;110;70;670;120;12.0;940;51.7;45.5
7;Totaal mannen en vrouwen;Totaal;Bonaire;2014;2100;950;770;700;400;310;70;30;0;30;220;110;50;50;120;100;10;550;170;18.3;1160;45.0;36.7
8;Totaal mannen en vrouwen;Totaal;Bonaire;2016;2110;1030;830;770;460;320;50;0;50;0;170;90;80;10;90;40;50;650;210;20.2;1070;49.1;39.2
9;Totaal mannen en vrouwen;Totaal;Bonaire;2018;2130;1060;980;890;440;460;90;80;10;0;350;100;70;30;250;140;120;630;80;7.5;1070;49.7;46.0
10;Totaal mannen en vrouwen;Totaal;Bonaire;2020;2050;980;870;830;360;470;50;30;0;10;260;50;10;40;210;100;110;610;100;10.4;1070;47.7;42.7
11;Totaal mannen en vrouwen;Totaal;Bonaire;2022;2170;1200;1080;1030;620;410;40;30;10;0;310;120;40;80;190;150;30;770;130;10.6;970;55.4;49.5
12;Totaal mannen en vrouwen;Totaal;Sint Eustatius;2012;380;90;90;80;40;40;10;10;0;10;40;20;20;10;20;10;10;50;0;;290;24.2;22.9
13;Totaal mannen en vrouwen;Totaal;Sint Eustatius;2014;390;140;110;90;60;40;10;10;0;0;50;0;0;0;50;40;10;60;40;;250;36.3;26.9
14;Totaal mannen en vrouwen;Totaal;Sint Eustatius;2016;300;90;50;50;30;20;0;0;0;0;20;10;10;0;10;0;10;30;50;;210;31.1;15.4
15;Totaal mannen en vrouwen;Totaal;Sint Eustatius;2018;340;140;120;110;40;70;10;0;10;0;30;0;0;0;30;20;10;90;20;;200;40.9;35.4
16;Totaal mannen en vrouwen;Totaal;Sint Eustatius;2020;310;130;100;100;60;30;0;0;0;0;20;0;0;0;20;20;0;80;30;;190;39.9;31.9
17;Totaal mannen en vrouwen;Totaal;Sint Eustatius;2022;340;120;100;90;70;20;10;10;0;0;10;0;0;0;0;0;0;90;20;;220;35.4;30.4
18;Totaal mannen en vrouwen;Totaal;Saba;2012;350;140;130;130;80;40;0;0;0;0;40;20;10;10;30;20;10;80;10;;220;38.8;35.7
19;Totaal mannen en vrouwen;Totaal;Saba;2014;320;110;100;100;60;40;10;10;0;0;30;10;10;0;20;20;10;70;10;;220;33.0;31.5
20;Totaal mannen en vrouwen;Totaal;Saba;2016;280;90;80;80;30;50;0;0;0;0;40;10;10;0;30;30;0;40;10;;190;32.3;28.4
21;Totaal mannen en vrouwen;Totaal;Saba;2018;280;130;130;120;60;60;10;0;0;10;40;10;10;0;30;20;10;90;0;;150;45.6;44.5
22;Totaal mannen en vrouwen;Totaal;Saba;2020;190;90;80;80;40;40;0;0;0;0;10;0;0;0;10;0;10;70;10;;100;46.4;41.7
23;Totaal mannen en vrouwen;Totaal;Saba;2022;170;30;30;30;20;20;0;0;0;0;0;0;0;0;0;0;0;30;0;;140;18.3;18.3
24;Totaal mannen en vrouwen;Volgt regulier onderwijs;Caribisch Nederland;2012;1510;310;240;240;110;130;0;0;0;0;150;40;10;30;110;80;30;100;70;;1200;20.5;16.0
25;Totaal mannen en vrouwen;Volgt regulier onderwijs;Caribisch Nederland;2014;1680;290;220;190;70;120;40;20;0;10;150;90;40;60;60;50;10;70;70;;1390;17.2;13.2
26;Totaal mannen en vrouwen;Volgt regulier onderwijs;Caribisch Nederland;2016;1570;290;160;160;60;100;0;0;0;0;90;70;60;10;30;30;0;70;130;;1290;18.2;10.1
27;Totaal mannen en vrouwen;Volgt regulier onderwijs;Caribisch Nederland;2018;1570;320;290;270;80;190;20;10;0;10;170;100;80;30;60;50;10;120;30;;1250;20.3;18.3
28;Totaal mannen en vrouwen;Volgt regulier onderwijs;Caribisch Nederland;2020;1220;250;220;220;70;150;0;0;0;0;120;10;10;0;110;70;30;100;40;;960;20.9;17.9
29;Totaal mannen en vrouwen;Volgt regulier onderwijs;Caribisch Nederland;2022;1550;400;310;310;120;190;0;0;0;0;210;110;40;70;100;100;0;100;80;;1150;25.6;20.3
30;Totaal mannen en vrouwen;Volgt regulier onderwijs;Bonaire;2012;1060;280;220;220;100;120;0;0;0;0;130;30;0;30;110;80;30;90;60;;780;26.0;20.7
31;Totaal mannen en vrouwen;Volgt regulier onderwijs;Bonaire;2014;1210;250;190;160;60;100;40;20;0;10;130;90;30;50;40;40;0;70;50;;960;20.3;15.9
32;Totaal mannen en vrouwen;Volgt regulier onderwijs;Bonaire;2016;1190;240;130;130;40;90;0;0;0;0;70;50;50;10;20;20;0;60;110;;940;20.5;10.9
33;Totaal mannen en vrouwen;Volgt regulier onderwijs;Bonaire;2018;1190;250;240;230;60;170;10;10;0;0;140;100;70;30;40;40;0;100;10;;940;21.2;20.0
34;Totaal mannen en vrouwen;Volgt regulier onderwijs;Bonaire;2020;970;230;210;210;70;140;0;0;0;0;110;10;10;0;100;70;30;100;30;;740;23.7;21.0
35;Totaal mannen en vrouwen;Volgt regulier onderwijs;Bonaire;2022;1280;380;300;300;110;190;0;0;0;0;210;110;40;70;100;100;0;90;80;;900;29.8;23.4
36;Totaal mannen en vrouwen;Volgt regulier onderwijs;Sint Eustatius;2012;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;230;0.0;0.0
37;Totaal mannen en vrouwen;Volgt regulier onderwijs;Sint Eustatius;2014;250;30;10;10;0;10;0;0;0;0;10;0;0;0;10;0;10;0;20;;220;;
38;Totaal mannen en vrouwen;Volgt regulier onderwijs;Sint Eustatius;2016;180;20;10;10;10;0;0;0;0;0;10;10;10;0;0;0;0;0;10;;170;;
39;Totaal mannen en vrouwen;Volgt regulier onderwijs;Sint Eustatius;2018;190;30;10;10;0;10;0;0;0;0;10;0;0;0;10;10;0;10;20;;160;;
40;Totaal mannen en vrouwen;Volgt regulier onderwijs;Sint Eustatius;2020;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;140;;
41;Totaal mannen en vrouwen;Volgt regulier onderwijs;Sint Eustatius;2022;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;130;;
