ID;InstitutionalSectors;NotConsolidatedConsolidated;BalanceSheetsAndTransactions;Periods;Total_1;Total_2;MonetaryGold_3;SpecialDrawingRightsSDRs_4;Total_5;Currency_6;TransferableDeposits_7;Total_8;SavingsDeposits_9;OtherDeposits_10;Total_11;ShortTermSecurities_12;LongTermSecurities_13;Total_14;ShortTermLoans_15;LongTermLoans_16;Total_17;Total_18;ListedShares_19;UnlistedShares_20;OtherEquity_21;Total_22;MoneyMarketFundMMFSharesOrUnits_23;NonMMFInvestmentFundSharesUnits_24;Total_25;NonLifeInsuranceTechnicalReserves_26;LifeInsuranceAndAnnuityEntitlements_27;PensionEntitlementsAndClaims_28;ProvisionsForCallsUnderGuarantees_29;Total_30;Total_31;Options_32;Forwards_33;EmployeeStockOptions_34;Total_35;TradeCreditsAndAdvances_36;OtherReceivablePayable_37;Totaal_38;Total_39;MonetaryGold_40;SpecialDrawingRightsSDRs_41;Total_42;Currency_43;TransferableDeposits_44;Total_45;SavingsDeposits_46;OtherDeposits_47;Total_48;ShortTermSecurities_49;LongTermSecurities_50;Total_51;ShortTermLoans_52;LongTermLoans_53;Total_54;Total_55;ListedShares_56;UnlistedShares_57;OtherEquity_58;Total_59;MoneyMarketFundMMFSharesOrUnits_60;NonMMFInvestmentFundSharesUnits_61;Total_62;NonLifeInsuranceTechnicalReserves_63;LifeInsuranceAndAnnuityEntitlements_64;PensionEntitlementsAndClaims_65;ProvisionsForCallsUnderGuarantees_66;Total_67;Total_68;Options_69;Forwards_70;EmployeeStock_71;Total_72;TradeCreditsAndAdvances_73;OtherReceivablePayable_74;NetWorth_75
0;Total domestic sectors;Not consolidated;Opening balance sheet;1995;3373407.0;10984.0;10476.0;508.0;356848.0;19244.0;84121.0;253483.0;107674.0;145809.0;226457.0;41778.0;184679.0;1102235.0;166538.0;935697.0;1007672.0;958598.0;169082.0;749794.0;39722.0;49074.0;7316.0;41758.0;394927.0;26889.0;52738.0;314511.0;789.0;15255.0;14748.0;;;;259029.0;41980.0;217049.0;3647174.0;609.0;;609.0;367416.0;19220.0;79936.0;268260.0;108889.0;159371.0;447853.0;40328.0;407525.0;1129375.0;246331.0;883044.0;990853.0;946448.0;163629.0;755857.0;26962.0;44405.0;4851.0;39554.0;396299.0;27024.0;53743.0;314743.0;789.0;19778.0;19271.0;;;;294991.0;70314.0;224677.0;-273767.0
1;Total domestic sectors;Not consolidated;Opening balance sheet;1996;3513873.0;10461.0;9794.0;667.0;372534.0;19416.0;98020.0;255098.0;114220.0;140878.0;257189.0;41928.0;215261.0;1111615.0;176481.0;935134.0;1082244.0;1030684.0;193093.0;800264.0;37327.0;51560.0;7949.0;43611.0;413765.0;26933.0;59018.0;326986.0;828.0;14135.0;13628.0;;;;251930.0;41702.0;210228.0;3805438.0;574.0;;574.0;390652.0;19385.0;93743.0;277524.0;116005.0;161519.0;505166.0;43345.0;461821.0;1141393.0;257467.0;883926.0;1041638.0;994074.0;197501.0;772280.0;24293.0;47564.0;5950.0;41614.0;415257.0;27068.0;60083.0;327278.0;828.0;19778.0;19271.0;;;;290980.0;70049.0;220931.0;-291565.0
2;Total domestic sectors;Not consolidated;Opening balance sheet;1997;3791608.0;10815.0;10171.0;644.0;389374.0;19608.0;108129.0;261637.0;120680.0;140957.0;302080.0;40267.0;261813.0;1177210.0;210798.0;966412.0;1192531.0;1135175.0;236397.0;859496.0;39282.0;57356.0;7986.0;49370.0;448909.0;27085.0;65827.0;355131.0;866.0;14681.0;14174.0;;;;256008.0;43196.0;212812.0;4099552.0;604.0;;604.0;429978.0;19545.0;107341.0;303092.0;124019.0;179073.0;544930.0;42781.0;502149.0;1185647.0;273095.0;912552.0;1173062.0;1118166.0;282036.0;811778.0;24352.0;54896.0;6883.0;48013.0;450363.0;27220.0;66801.0;355476.0;866.0;19778.0;19271.0;;;;295190.0;72631.0;222559.0;-307944.0
3;Total domestic sectors;Not consolidated;Opening balance sheet;1998;4114108.0;7894.0;7170.0;724.0;417728.0;19808.0;112988.0;284932.0;124975.0;159957.0;355487.0;43928.0;311559.0;1257390.0;242149.0;1015241.0;1305031.0;1240079.0;305895.0;893153.0;41031.0;64952.0;7816.0;57136.0;484266.0;27512.0;74144.0;381705.0;905.0;16153.0;15646.0;;;;270159.0;42823.0;227336.0;4464820.0;655.0;;655.0;486061.0;19741.0;110631.0;355689.0;128129.0;227560.0;577848.0;42095.0;535753.0;1234124.0;281941.0;952183.0;1344571.0;1280787.0;413167.0;843162.0;24458.0;63784.0;6586.0;57198.0;486116.0;27647.0;75267.0;382297.0;905.0;19778.0;19271.0;;;;315667.0;75073.0;240594.0;-350712.0
4;Total domestic sectors;Not consolidated;Opening balance sheet;1999 1st quarter;4538781.0;9112.0;8336.0;776.0;511040.0;19344.0;148917.0;342779.0;;;421108.0;33843.0;387265.0;1378670.0;276516.0;1102154.0;1407978.0;1341475.0;381851.0;920615.0;39009.0;66503.0;7664.0;58839.0;522919.0;28227.0;85685.0;408064.0;943.0;15902.0;15395.0;;;;272052.0;44537.0;227515.0;4936858.0;639.0;;639.0;609648.0;19202.0;154934.0;435512.0;;;645578.0;41657.0;603921.0;1361386.0;321559.0;1039827.0;1453843.0;1388494.0;496303.0;868105.0;24086.0;65349.0;6323.0;59026.0;525076.0;28362.0;86885.0;408886.0;943.0;19778.0;19271.0;;;;320910.0;77697.0;243213.0;-398077.0
5;Total domestic sectors;Not consolidated;Opening balance sheet;1999 2nd quarter;4663584.0;8947.0;8363.0;584.0;517271.0;18623.0;154058.0;344590.0;;;414160.0;33721.0;380439.0;1432019.0;301862.0;1130157.0;1454872.0;1385667.0;412867.0;933671.0;39129.0;69205.0;7665.0;61540.0;540789.0;29886.0;92409.0;417541.0;953.0;18803.0;18296.0;;;;276723.0;45496.0;231227.0;5053444.0;660.0;;660.0;621106.0;18506.0;167877.0;434723.0;;;672839.0;45539.0;627300.0;1386742.0;332649.0;1054093.0;1488034.0;1419665.0;511419.0;884125.0;24121.0;68369.0;6251.0;62118.0;543108.0;30021.0;93670.0;418464.0;953.0;19778.0;19271.0;;;;321177.0;79705.0;241472.0;-389860.0
6;Total domestic sectors;Not consolidated;Opening balance sheet;1999 3rd quarter;4832401.0;9364.0;8712.0;652.0;537067.0;19010.0;168071.0;349986.0;;;415945.0;33530.0;382415.0;1509375.0;348712.0;1160663.0;1516930.0;1444055.0;454190.0;950616.0;39249.0;72875.0;7666.0;65209.0;549806.0;29821.0;92008.0;427014.0;963.0;23149.0;22642.0;;;;270765.0;45307.0;225458.0;5214788.0;681.0;;681.0;644315.0;18943.0;181729.0;443643.0;;;708822.0;46449.0;662373.0;1413330.0;340351.0;1072979.0;1549672.0;1477111.0;543848.0;909107.0;24156.0;72561.0;6380.0;66181.0;552165.0;29956.0;93208.0;428038.0;963.0;19778.0;19271.0;;;;326025.0;80508.0;245517.0;-382387.0
7;Total domestic sectors;Not consolidated;Opening balance sheet;1999 4th quarter;4905160.0;9800.0;9061.0;739.0;540497.0;18618.0;162555.0;359324.0;;;414045.0;36418.0;377627.0;1549524.0;359495.0;1190029.0;1527369.0;1454862.0;438630.0;976864.0;39368.0;72507.0;7667.0;64840.0;559098.0;29605.0;92027.0;436493.0;973.0;27501.0;26994.0;;;;277326.0;44926.0;232400.0;5288407.0;702.0;;702.0;649641.0;18598.0;179575.0;451468.0;;;709360.0;45704.0;663656.0;1439624.0;346784.0;1092840.0;1567085.0;1494706.0;543971.0;926544.0;24191.0;72379.0;6676.0;65703.0;561537.0;29740.0;93207.0;437617.0;973.0;19778.0;19271.0;;;;340680.0;81104.0;259576.0;-383247.0
8;Total domestic sectors;Not consolidated;Opening balance sheet;1999;4538781.0;9112.0;8336.0;776.0;511040.0;19344.0;148917.0;342779.0;133651.0;209128.0;421108.0;33843.0;387265.0;1378670.0;276516.0;1102154.0;1407978.0;1341475.0;381851.0;920615.0;39009.0;66503.0;7664.0;58839.0;522919.0;28227.0;85685.0;408064.0;943.0;15902.0;15395.0;;;;272052.0;44537.0;227515.0;4936858.0;639.0;;639.0;609648.0;19202.0;154934.0;435512.0;130900.0;304612.0;645578.0;41657.0;603921.0;1361386.0;321559.0;1039827.0;1453843.0;1388494.0;496303.0;868105.0;24086.0;65349.0;6323.0;59026.0;525076.0;28362.0;86885.0;408886.0;943.0;19778.0;19271.0;;;;320910.0;77697.0;243213.0;-398077.0
9;Total domestic sectors;Not consolidated;Opening balance sheet;2000 1st quarter;5119013.0;10154.0;9141.0;1013.0;541186.0;19598.0;157053.0;364535.0;;;421991.0;38343.0;383648.0;1603983.0;375634.0;1228349.0;1650932.0;1565636.0;525124.0;1001024.0;39488.0;85296.0;7668.0;77628.0;572812.0;29106.0;96759.0;445965.0;982.0;36772.0;36265.0;;;;281183.0;44685.0;236498.0;5533004.0;724.0;;724.0;653014.0;19629.0;169210.0;464175.0;;;720323.0;46437.0;673886.0;1483972.0;363047.0;1120925.0;1738332.0;1651836.0;674570.0;953039.0;24227.0;86496.0;6613.0;79883.0;575391.0;29241.0;97974.0;447194.0;982.0;19778.0;19271.0;;;;341470.0;81783.0;259687.0;-413991.0
