ID;Instellingen;Perioden;TotaalBedrijfslasten_1;Personeelskosten_2;AfschrijvingenVasteActiva_3;Rente_4;OntwikkelingBedrijfslasten_5
0;Medische kindertehuizen;1995;25.4;18.2;3.6;1.8;
1;Medische kindertehuizen;1996;25.9;18.2;3.6;1.8;1.8
2;Medische kindertehuizen;1997;26.3;19.1;3.6;1.8;1.8
3;Medische kindertehuizen;1998;26.8;20.0;2.3;1.4;1.7
4;Medische kindertehuizen;1999;27.2;;;;1.7
5;Medische kleuterdagverblijven;1995;71.7;48.1;8.6;4.1;
6;Medische kleuterdagverblijven;1996;72.6;49.0;8.6;3.6;1.3
7;Medische kleuterdagverblijven;1997;78.1;52.6;8.2;3.2;7.5
8;Medische kleuterdagverblijven;1998;77.6;53.5;7.3;2.7;-0.6
9;Medische kleuterdagverblijven;1999;79.4;;;;2.3
