ID;Geslacht;Leeftijd;MboSectoren;BedrijfstakkenSBI20081JaarEerder;Perioden;InstromersTotaal_1;Entreeopleiding_2;Niveau2_3;Niveau3_4;Niveau4_5;BeroepsopleidendeLeerwegBol_6;BeroepsbegeleidendeLeerwegBbl_7;BolEntreeopleiding_8;BolNiveau2_9;BolNiveau3_10;BolNiveau4_11;BblEntreeopleiding_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2009/'10;37327;6819;15441;8082;6985;4825;32502;546;1411;1034;1834;6273;14030;7048;5151
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2010/'11;27689;6055;9711;6471;5452;3827;23862;424;938;758;1707;5631;8773;5713;3745
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2011/'12;24167;4758;9987;5320;4102;3213;20954;346;882;656;1329;4412;9105;4664;2773
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2012/'13;21335;4390;7927;5022;3996;2878;18457;386;678;518;1296;4004;7249;4504;2700
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2013/'14;10809;1628;3276;2729;3176;2597;8212;332;526;355;1384;1296;2750;2374;1792
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2014/'15;8088;1148;2126;2263;2551;2097;5991;323;359;240;1175;825;1767;2023;1376
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2015/'16;8052;1095;2218;2425;2314;2043;6009;349;352;249;1093;746;1866;2176;1221
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2016/'17;9906;817;2426;3394;3269;1621;8285;242;180;171;1028;575;2246;3223;2241
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2017/'18;9868;687;2191;3616;3374;1608;8260;262;152;196;998;425;2039;3420;2376
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2018/'19;11628;978;2827;3900;3923;1802;9826;413;174;159;1056;565;2653;3741;2867
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2019/'20;11455;1209;2635;3514;4097;1933;9522;488;206;173;1066;721;2429;3341;3031
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A-U Alle economische activiteiten;2020/'21;11026;1351;2306;3272;4097;2288;8738;660;226;161;1241;691;2080;3111;2856
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2009/'10;202;19;80;54;49;52;150;7;15;10;20;12;65;44;29
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2010/'11;179;31;74;44;30;45;134;6;11;8;20;25;63;36;10
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2011/'12;171;22;89;35;25;45;126;7;11;8;19;15;78;27;6
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2012/'13;157;41;45;40;31;33;124;2;7;5;19;39;38;35;12
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2013/'14;90;14;30;19;27;44;46;2;11;10;21;12;19;9;6
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2014/'15;76;14;18;17;27;35;41;6;4;5;20;8;14;12;7
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2015/'16;88;15;14;30;29;47;41;7;9;7;24;8;5;23;5
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2016/'17;73;5;16;24;28;25;48;2;3;3;17;3;13;21;11
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2017/'18;93;10;19;32;32;32;61;3;3;2;24;7;16;30;8
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2018/'19;92;9;16;35;32;24;68;2;3;1;18;7;13;34;14
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2019/'20;109;12;25;36;36;31;78;7;4;2;18;5;21;34;18
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;A Landbouw, bosbouw en visserij;2020/'21;112;17;23;41;31;21;91;4;0;4;13;13;23;37;18
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2009/'10;7466;4010;2007;940;509;313;7153;25;116;70;102;3985;1891;870;407
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2010/'11;6289;3838;1442;637;372;176;6113;17;55;39;65;3821;1387;598;307
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2011/'12;4548;2557;1263;513;215;146;4402;27;45;25;49;2530;1218;488;166
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2012/'13;3916;2007;1237;488;184;116;3800;16;34;17;49;1991;1203;471;135
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2013/'14;1582;661;476;297;148;72;1510;12;16;13;31;649;460;284;117
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2014/'15;946;370;262;207;107;53;893;10;7;4;32;360;255;203;75
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2015/'16;1145;336;430;268;111;55;1090;15;14;3;23;321;416;265;88
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;B-E Nijverheid (geen bouw) en energie;2016/'17;1136;288;421;297;130;53;1083;18;6;8;21;270;415;289;109
