ID;Perioden;TotaalAlleVrouwen_1;AutochtoneVrouwenIncl2eGeneratie_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;k_26EULanden_10;OverigEuropa_11;Indonesie_12;OverigBuitenEuropa_13
0;2008;1.77;1.78;2.45;1.77;1.68;2.93;1.87;1.69;2.12;1.38;1.61;1.48;1.19
1;2009;1.75;1.76;2.42;1.75;1.68;2.92;1.86;1.69;2.11;1.38;1.59;1.51;1.19
2;2010;1.74;1.75;2.4;1.72;1.69;2.9;1.85;1.7;2.1;1.38;1.57;1.53;1.19
3;2011;1.74;1.76;2.37;1.7;1.7;2.89;1.83;1.71;2.09;1.38;1.55;1.55;1.19
4;2012;1.75;1.77;2.34;1.67;1.71;2.87;1.81;1.72;2.08;1.39;1.54;1.57;1.19
5;2013;1.75;1.77;2.32;1.65;1.72;2.85;1.8;1.73;2.07;1.39;1.53;1.58;1.19
6;2014;1.75;1.77;2.3;1.63;1.73;2.83;1.78;1.74;2.06;1.39;1.51;1.59;1.19
7;2015;1.75;1.77;2.28;1.61;1.74;2.8;1.76;1.74;2.05;1.4;1.5;1.6;1.19
8;2016;1.75;1.78;2.26;1.6;1.75;2.78;1.75;1.75;2.04;1.4;1.49;1.6;1.19
9;2017;1.75;1.78;2.24;1.6;1.75;2.75;1.75;1.75;2.03;1.4;1.48;1.6;1.19
10;2018;1.75;1.78;2.22;1.6;1.75;2.73;1.75;1.75;2.02;1.4;1.47;1.6;1.19
11;2019;1.75;1.78;2.2;1.6;1.75;2.7;1.75;1.75;2.01;1.4;1.46;1.6;1.19
12;2020;1.75;1.78;2.19;1.6;1.75;2.67;1.75;1.75;2.0;1.4;1.45;1.6;1.19
13;2021;1.75;1.78;2.17;1.6;1.75;2.64;1.75;1.75;1.99;1.4;1.44;1.6;1.19
14;2022;1.75;1.78;2.15;1.6;1.75;2.61;1.75;1.75;1.98;1.4;1.44;1.6;1.19
15;2023;1.75;1.78;2.14;1.6;1.75;2.58;1.75;1.75;1.98;1.4;1.43;1.6;1.19
16;2024;1.75;1.78;2.13;1.6;1.75;2.55;1.75;1.75;1.97;1.4;1.43;1.6;1.19
17;2025;1.75;1.78;2.12;1.6;1.75;2.52;1.75;1.75;1.96;1.4;1.42;1.6;1.19
18;2026;1.75;1.78;2.1;1.6;1.75;2.49;1.75;1.75;1.95;1.4;1.42;1.6;1.19
19;2027;1.75;1.79;2.09;1.6;1.75;2.46;1.75;1.75;1.94;1.4;1.41;1.6;1.19
20;2028;1.75;1.79;2.08;1.6;1.75;2.43;1.75;1.75;1.94;1.4;1.41;1.6;1.19
21;2029;1.75;1.79;2.07;1.6;1.75;2.4;1.75;1.75;1.93;1.4;1.41;1.6;1.19
22;2030;1.75;1.79;2.07;1.6;1.75;2.37;1.75;1.75;1.92;1.4;1.41;1.6;1.19
23;2031;1.75;1.79;2.06;1.6;1.75;2.34;1.75;1.75;1.91;1.4;1.4;1.6;1.19
24;2032;1.75;1.79;2.05;1.6;1.75;2.31;1.75;1.75;1.91;1.4;1.4;1.6;1.19
25;2033;1.75;1.79;2.04;1.6;1.75;2.28;1.75;1.75;1.9;1.4;1.4;1.6;1.19
26;2034;1.75;1.79;2.04;1.6;1.75;2.26;1.75;1.75;1.89;1.4;1.4;1.6;1.2
27;2035;1.75;1.79;2.03;1.6;1.75;2.23;1.75;1.75;1.89;1.4;1.4;1.6;1.2
28;2036;1.75;1.79;2.03;1.6;1.75;2.2;1.75;1.75;1.88;1.4;1.4;1.6;1.2
29;2037;1.75;1.79;2.02;1.6;1.75;2.18;1.75;1.75;1.88;1.4;1.4;1.6;1.2
30;2038;1.75;1.79;2.02;1.6;1.75;2.15;1.75;1.75;1.87;1.4;1.4;1.6;1.2
31;2039;1.75;1.79;2.02;1.6;1.75;2.13;1.75;1.75;1.87;1.4;1.4;1.6;1.2
32;2040;1.75;1.79;2.01;1.6;1.75;2.11;1.75;1.75;1.87;1.4;1.4;1.6;1.2
33;2041;1.75;1.79;2.01;1.6;1.75;2.09;1.75;1.75;1.86;1.4;1.4;1.6;1.2
34;2042;1.75;1.79;2.01;1.6;1.75;2.07;1.75;1.75;1.86;1.4;1.4;1.6;1.2
35;2043;1.75;1.79;2.01;1.6;1.75;2.06;1.75;1.75;1.86;1.4;1.4;1.6;1.2
36;2044;1.75;1.79;2.0;1.6;1.75;2.04;1.75;1.75;1.85;1.4;1.4;1.6;1.2
37;2045;1.75;1.79;2.0;1.6;1.75;2.03;1.75;1.75;1.85;1.4;1.4;1.6;1.2
38;2046;1.75;1.79;2.0;1.6;1.75;2.02;1.75;1.75;1.85;1.4;1.4;1.6;1.2
39;2047;1.75;1.79;2.0;1.6;1.75;2.01;1.75;1.75;1.85;1.4;1.4;1.6;1.2
40;2048;1.75;1.79;2.0;1.6;1.75;2.01;1.75;1.75;1.85;1.4;1.4;1.6;1.2
41;2049;1.75;1.79;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.4;1.4;1.6;1.2
