ID;Vakantiekenmerken;Marges;RegioS;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
0;Totaal vakanties;Waarde;Nederland               ;2021;8957.0;61.7;21440.0;2.4;120.0;13.4;5.6;98.5;11.0;4.6;5654.0;631.0;264.0;47.0
1;Totaal vakanties;Waarde;Nederland               ;2022;7792.0;53.2;16498.0;2.1;89.9;11.5;5.4;73.4;9.4;4.4;4045.0;519.0;245.0;45.0
2;Totaal vakanties;Waarde;Nederland               ;2023;8016.0;54.0;16697.0;2.1;91.4;11.4;5.5;74.7;9.3;4.5;4339.0;541.0;260.0;47.0
3;Totaal vakanties;Waarde;Noord-Nederland (LD);2021;2575.0;17.7;3631.0;1.4;22.8;8.8;6.3;19.1;7.4;5.3;1079.0;419.0;297.0;47.0
4;Totaal vakanties;Waarde;Noord-Nederland (LD);2022;2352.0;16.1;3160.0;1.3;18.5;7.9;5.9;15.4;6.5;4.9;834.0;355.0;264.0;45.0
5;Totaal vakanties;Waarde;Noord-Nederland (LD);2023;2252.0;15.2;3009.0;1.3;18.0;8.0;6.0;15.0;6.7;5.0;870.0;386.0;289.0;48.0
6;Totaal vakanties;Waarde;Oost-Nederland (LD);2021;3521.0;24.2;5441.0;1.5;30.5;8.7;5.6;25.1;7.1;4.6;1284.0;365.0;236.0;42.0
7;Totaal vakanties;Waarde;Oost-Nederland (LD);2022;3158.0;21.6;4542.0;1.4;25.4;8.0;5.6;20.9;6.6;4.6;1054.0;334.0;232.0;41.0
8;Totaal vakanties;Waarde;Oost-Nederland (LD);2023;3327.0;22.4;4673.0;1.4;27.2;8.2;5.8;22.6;6.8;4.8;1213.0;365.0;260.0;45.0
9;Totaal vakanties;Waarde;West-Nederland (LD);2021;4642.0;32.0;7504.0;1.6;39.8;8.6;5.3;32.3;6.9;4.3;2017.0;435.0;269.0;51.0
