ID;Landen;SITC;Perioden;TotaleInvoerwaarde_1;TotaleUitvoerwaarde_2
0;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 januari;242.0;201.0
1;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 februari;262.0;209.0
2;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 maart;288.0;242.0
3;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 april;270.0;220.0
4;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 mei;260.0;210.0
5;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 juni;303.0;243.0
6;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 juli;280.0;221.0
7;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 augustus;238.0;198.0
8;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 september;301.0;235.0
9;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 oktober;291.0;253.0
10;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 november;272.0;234.0
11;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 december;258.0;205.0
12;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2015 ;3265.0;2672.0
13;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 januari;247.0;212.0
14;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 februari;264.0;226.0
15;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 maart;296.0;276.0
16;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 april;278.0;238.0
17;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 mei;280.0;246.0
18;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 juni;303.0;251.0
19;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 juli;271.0;237.0
20;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 augustus;249.0;220.0
21;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 september;318.0;259.0
22;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 oktober;292.0;253.0
23;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 november;300.0;272.0
24;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016 december;267.0;209.0
25;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2016;3365.0;2900.0
26;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 januari;275.0;248.0
27;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 februari;284.0;233.0
28;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 maart;325.0;281.0
29;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 april;284.0;224.0
30;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 mei;316.0;277.0
31;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 juni;305.0;263.0
32;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 juli;303.0;238.0
33;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 augustus;270.0;242.0
34;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 september;308.0;269.0
35;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 oktober;330.0;275.0
36;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 november;329.0;271.0
37;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017 december;272.0;215.0
38;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2017;3601.0;3036.0
39;Totaal landen;66 Fabricaten van niet-metaalhoudende...;2018 januari;297.0;244.0
