ID;Bestemmingen;Vakantiekenmerken;Marges;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
0;Buitenland;Totaal vakanties;Waarde;2021;6497.0;44.7;10246.0;1.6;117.0;18.0;11.4;106.7;16.4;10.4;8479.0;1305.0;828.0;73.0
1;Buitenland;Totaal vakanties;Waarde;2022;9173.0;62.7;19435.0;2.1;211.4;23.0;10.9;192.0;20.9;9.9;16463.0;1795.0;847.0;78.0
2;Buitenland;Totaal vakanties;Waarde;2023;9583.0;64.6;20857.0;2.2;225.7;23.6;10.8;204.9;21.4;9.8;18497.0;1930.0;887.0;82.0
3;Buitenland;Totaal vakanties;Ondergrens 95%-interval;2021;6295.0;43.5;9836.0;1.5;112.1;17.5;;102.1;15.9;;8100.0;1263.0;;
4;Buitenland;Totaal vakanties;Ondergrens 95%-interval;2022;8951.0;61.6;18808.0;2.1;204.5;22.5;;185.6;20.4;;15881.0;1744.0;;
5;Buitenland;Totaal vakanties;Ondergrens 95%-interval;2023;9239.0;63.0;19738.0;2.1;208.6;22.1;;188.7;20.0;;17543.0;1854.0;;
6;Buitenland;Totaal vakanties;Bovengrens 95%-interval;2021;6699.0;45.9;10655.0;1.6;121.9;18.5;;111.3;16.9;;8858.0;1347.0;;
7;Buitenland;Totaal vakanties;Bovengrens 95%-interval;2022;9396.0;63.8;20063.0;2.2;218.3;23.6;;198.4;21.4;;17045.0;1845.0;;
8;Buitenland;Totaal vakanties;Bovengrens 95%-interval;2023;9927.0;66.1;21977.0;2.3;242.8;25.0;;221.0;22.8;;19451.0;2007.0;;
9;Buitenland;Seizoen: zomer;Waarde;2021;5387.0;37.1;6920.0;1.3;86.6;16.1;12.5;79.7;14.8;11.5;5876.0;1091.0;849.0;68.0
10;Buitenland;Seizoen: zomer;Waarde;2022;8184.0;55.9;12208.0;1.5;147.2;18.0;12.1;135.0;16.5;11.1;11034.0;1348.0;904.0;75.0
11;Buitenland;Seizoen: zomer;Waarde;2023;8295.0;55.9;12634.0;1.5;146.7;17.7;11.6;134.1;16.2;10.6;11816.0;1424.0;935.0;81.0
12;Buitenland;Seizoen: zomer;Ondergrens 95%-interval;2021;5197.0;35.9;6633.0;1.3;82.8;15.6;;76.1;14.4;;5594.0;1055.0;;
13;Buitenland;Seizoen: zomer;Ondergrens 95%-interval;2022;7967.0;54.8;11826.0;1.5;142.4;17.6;;130.5;16.1;;10626.0;1310.0;;
14;Buitenland;Seizoen: zomer;Ondergrens 95%-interval;2023;7966.0;54.3;12013.0;1.5;139.4;17.1;;127.2;15.6;;11183.0;1367.0;;
15;Buitenland;Seizoen: zomer;Bovengrens 95%-interval;2021;5578.0;38.3;7208.0;1.3;90.4;16.5;;83.2;15.2;;6158.0;1126.0;;
16;Buitenland;Seizoen: zomer;Bovengrens 95%-interval;2022;8400.0;57.0;12589.0;1.5;152.1;18.4;;139.6;16.9;;11441.0;1387.0;;
17;Buitenland;Seizoen: zomer;Bovengrens 95%-interval;2023;8624.0;57.5;13255.0;1.6;154.1;18.3;;141.0;16.7;;12448.0;1482.0;;
18;Buitenland;Seizoen: winter;Waarde;2021;2774.0;19.1;3326.0;1.2;30.4;10.9;9.1;27.0;9.7;8.1;2603.0;939.0;783.0;86.0
19;Buitenland;Seizoen: winter;Waarde;2022;4771.0;32.6;7228.0;1.5;64.2;13.5;8.9;57.0;11.9;7.9;5429.0;1138.0;751.0;85.0
20;Buitenland;Seizoen: winter;Waarde;2023;5351.0;36.1;8223.0;1.5;79.0;14.8;9.6;70.8;13.2;8.6;6681.0;1249.0;812.0;85.0
