ID;BedrijfstakkenBranchesSBI2008;Perioden;NietSeizoengecorrigeerd_1;Seizoengecorrigeerd_2;NietSeizoengecorrigeerd_3;Seizoengecorrigeerd_4;NietSeizoengecorrigeerd_5;Seizoengecorrigeerd_6;NietSeizoengecorrigeerd_7;Seizoengecorrigeerd_8;NietSeizoengecorrigeerd_9;Seizoengecorrigeerd_10;NietSeizoengecorrigeerd_11;Seizoengecorrigeerd_12
0;A-U Alle economische activiteiten;1996 1e kwartaal;64.2;67.2;62.7;66.5;6.7;6.9;18.0;19.3;18.7;18.4;48.7;49.2
1;A-U Alle economische activiteiten;1996 2e kwartaal;74.8;67.4;75.1;66.6;7.8;7.0;22.8;19.4;18.7;18.6;51.5;49.3
2;A-U Alle economische activiteiten;1996 3e kwartaal;65.2;67.2;65.0;66.4;6.5;7.0;19.8;19.4;18.0;18.7;51.5;49.5
3;A-U Alle economische activiteiten;1996 4e kwartaal;65.4;67.7;63.8;66.5;7.0;7.1;17.6;19.1;19.1;18.7;46.6;48.6
4;A-U Alle economische activiteiten;1997 1e kwartaal;65.2;67.7;63.7;66.7;6.9;7.1;18.7;19.5;18.9;18.7;49.6;49.5
5;A-U Alle economische activiteiten;1997 2e kwartaal;75.3;67.8;74.9;66.7;8.0;7.1;22.6;19.5;18.9;18.8;51.2;49.6
6;A-U Alle economische activiteiten;1997 3e kwartaal;65.5;67.7;65.2;66.7;6.6;7.2;20.2;19.9;18.2;18.9;52.6;50.5
7;A-U Alle economische activiteiten;1997 4e kwartaal;65.6;68.0;64.3;67.1;7.1;7.2;18.6;20.2;19.4;19.0;48.9;50.8
8;A-U Alle economische activiteiten;1998 1e kwartaal;65.5;68.1;63.8;67.0;7.1;7.3;19.0;20.2;19.5;19.2;50.6;51.0
9;A-U Alle economische activiteiten;1998 2e kwartaal;76.0;68.2;75.9;67.3;8.2;7.3;23.8;20.4;19.3;19.2;53.2;51.3
10;A-U Alle economische activiteiten;1998 3e kwartaal;66.7;68.9;66.4;67.9;6.9;7.4;21.0;20.6;18.5;19.3;53.7;51.4
11;A-U Alle economische activiteiten;1998 4e kwartaal;66.4;69.4;65.2;68.5;7.3;7.5;19.2;21.1;19.8;19.3;49.9;52.1
12;A-U Alle economische activiteiten;1999 1e kwartaal;67.0;69.4;65.6;68.8;7.4;7.6;20.1;21.3;19.7;19.5;51.8;52.4
13;A-U Alle economische activiteiten;1999 2e kwartaal;77.6;69.7;77.7;69.0;8.5;7.6;25.0;21.4;19.6;19.6;54.5;52.5
14;A-U Alle economische activiteiten;1999 3e kwartaal;67.8;69.9;67.8;69.2;7.2;7.7;22.1;21.6;18.9;19.7;55.3;52.9
15;A-U Alle economische activiteiten;1999 4e kwartaal;67.0;70.3;65.6;69.6;7.6;7.8;19.6;21.8;20.4;19.9;50.5;53.0
16;A-U Alle economische activiteiten;2000 1e kwartaal;68.8;71.7;67.0;71.0;7.9;8.0;20.7;22.4;20.5;20.0;52.2;53.5
17;A-U Alle economische activiteiten;2000 2e kwartaal;79.4;71.6;79.4;70.7;9.0;8.0;26.1;22.3;20.2;20.1;55.6;53.4
18;A-U Alle economische activiteiten;2000 3e kwartaal;70.3;72.1;70.7;71.7;7.5;8.1;24.1;23.2;19.2;20.2;57.7;54.8
19;A-U Alle economische activiteiten;2000 4e kwartaal;69.3;72.2;68.6;71.6;8.0;8.2;21.7;23.3;20.6;20.3;53.6;55.1
20;A-U Alle economische activiteiten;2001 1e kwartaal;70.3;72.9;68.5;72.0;8.1;8.2;21.6;23.3;20.5;20.2;53.5;54.8
21;A-U Alle economische activiteiten;2001 2e kwartaal;81.1;73.1;81.1;72.1;9.2;8.3;27.4;23.3;20.4;20.2;57.2;54.8
22;A-U Alle economische activiteiten;2001 3e kwartaal;72.3;74.3;72.2;73.4;7.8;8.4;24.6;23.7;19.3;20.2;57.7;54.8
23;A-U Alle economische activiteiten;2001 4e kwartaal;71.5;74.6;70.3;73.7;8.2;8.4;21.9;23.8;20.6;20.2;52.9;54.7
24;A-U Alle economische activiteiten;2002 1e kwartaal;74.0;76.6;72.1;75.5;8.4;8.6;23.0;24.5;20.3;20.1;54.1;55.0
25;A-U Alle economische activiteiten;2002 2e kwartaal;85.4;76.7;85.2;75.6;9.7;8.6;29.1;24.6;20.3;20.1;57.8;55.1
26;A-U Alle economische activiteiten;2002 3e kwartaal;74.7;77.4;74.2;76.2;8.1;8.7;25.2;24.8;19.4;20.1;57.6;55.1
27;A-U Alle economische activiteiten;2002 4e kwartaal;74.9;77.8;73.2;76.3;8.6;8.7;23.1;25.0;20.5;20.1;53.4;55.4
28;A-U Alle economische activiteiten;2003 1e kwartaal;75.2;78.2;73.0;76.9;8.5;8.8;23.5;25.2;20.4;20.2;54.6;55.6
29;A-U Alle economische activiteiten;2003 2e kwartaal;88.5;79.1;88.2;77.6;10.0;8.9;30.4;25.5;20.3;20.2;58.4;55.6
30;A-U Alle economische activiteiten;2003 3e kwartaal;76.6;79.5;75.9;78.2;8.3;9.0;26.1;25.8;19.5;20.3;58.2;55.8
31;A-U Alle economische activiteiten;2003 4e kwartaal;76.9;79.6;75.4;78.4;8.9;9.1;24.3;26.2;20.8;20.4;54.5;56.5
32;A-U Alle economische activiteiten;2004 1e kwartaal;75.2;79.0;73.1;77.8;8.8;9.2;23.8;26.1;21.0;20.8;55.3;56.8
33;A-U Alle economische activiteiten;2004 2e kwartaal;88.8;79.0;88.9;77.8;10.4;9.2;31.6;26.3;21.0;20.8;60.2;57.1
34;A-U Alle economische activiteiten;2004 3e kwartaal;75.8;79.0;75.3;78.1;8.5;9.2;26.5;26.4;20.1;20.9;59.5;57.2
35;A-U Alle economische activiteiten;2004 4e kwartaal;76.2;79.1;74.5;78.0;9.1;9.2;24.1;26.5;21.5;20.9;54.7;57.5
36;A-U Alle economische activiteiten;2005 1e kwartaal;75.4;79.2;73.6;78.3;8.9;9.3;24.6;26.7;21.1;20.9;56.6;57.9
37;A-U Alle economische activiteiten;2005 2e kwartaal;88.7;79.3;89.1;78.7;10.6;9.3;31.9;27.0;21.3;21.1;60.6;58.1
