ID;Geslacht;Onderwijssoort;Opleidingsfase;Opleidingsvorm;Perioden;TotaalIngeschrevenen_1
0;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2011/'12;667190
1;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2012/'13;661120
2;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2013/'14;688190
3;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2014/'15;699570
4;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2015/'16;701120
5;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2016/'17;712110
6;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2017/'18;730150
7;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2018/'19;747840
8;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2019/'20;767580
9;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2020/'21;817270
10;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2021/'22;832570
11;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2022/'23;817750
12;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2023/'24;801320
13;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2024/'25;788790
14;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2011/'12;585180
15;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2012/'13;589170
16;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2013/'14;619890
17;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2014/'15;636210
18;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2015/'16;640020
19;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2016/'17;651710
20;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2017/'18;668120
21;Totaal mannen en vrouwen;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2018/'19;683350
