ID;Geslacht;UitstromersHoMetEnZonderDiploma;BedrijfstakkenBranchesSBI2008;Studierichting;Peilmoment;Perioden;UitstromersHoMetWerk_1
0;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2006/'07;79110.0
1;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2007/'08;80040.0
2;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2008/'09;75820.0
3;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2009/'10;79820.0
4;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2010/'11;86580.0
5;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2011/'12;93480.0
6;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2012/'13;82430.0
7;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2013/'14;88620.0
8;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2014/'15;95040.0
9;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2015/'16;96960.0
10;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2016/'17;101590.0
11;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2017/'18;107350.0
12;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2018/'19;107890.0
13;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2019/'20;99720.0
14;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2020/'21;112650.0
15;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2021/'22;121930.0
16;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2006/'07;73910.0
17;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2007/'08;72600.0
18;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2008/'09;70620.0
19;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2009/'10;74670.0
20;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2010/'11;79840.0
21;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2011/'12;86010.0
22;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2012/'13;77790.0
23;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2013/'14;83700.0
24;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2014/'15;89880.0
25;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2015/'16;91100.0
26;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2016/'17;95000.0
27;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2017/'18;99390.0
28;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2018/'19;99540.0
29;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2019/'20;96620.0
30;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2020/'21;107070.0
31;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2021/'22;
32;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2006/'07;70420.0
33;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2007/'08;69850.0
34;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2008/'09;68480.0
35;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2009/'10;71920.0
36;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2010/'11;76650.0
37;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2011/'12;83550.0
38;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2012/'13;75780.0
39;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;2 jaar na verlaten onderwijs;2013/'14;82050.0
