ID;Geslacht;Leeftijd;TypeInstelling;Herkomstgroepering;Perioden;AantalUltimoVerslagjaar_1;PercentageUltimoVerslagjaar_2;AantalInVerslagjaar_3;PercentageInVerslagjaar_4;OpnamedagenInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal herkomstgroepering;2004;227900;1.79;310605.0;2.44;83948.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal herkomstgroepering;2005;230160;1.8;316285.0;2.47;84381.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal herkomstgroepering;2006;232640;1.82;321735.0;2.51;85753.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal herkomstgroepering;2007;238890;1.86;;;
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal herkomstgroepering;2008;239095;1.84;334405.0;2.59;87442.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal herkomstgroepering;2009;246275;1.88;342425.0;2.63;89080.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Autochtoon;2004;205600;1.98;280390.0;2.67;75850.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Autochtoon;2005;206755;1.99;284605.0;2.71;76009.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Autochtoon;2006;207910;1.99;288040.0;2.74;76822.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Autochtoon;2007;212695;2.04;;;
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Autochtoon;2008;212020;2.02;297165.0;2.82;77708.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Autochtoon;2009;217370;2.07;303075.0;2.86;78815.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal allochtoon;2004;22305;0.96;30215.0;1.34;8098.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal allochtoon;2005;23405;1.0;31680.0;1.39;8372.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal allochtoon;2006;24730;1.04;33695.0;1.46;8930.0
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal allochtoon;2007;26195;1.08;;;
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal allochtoon;2008;27075;1.09;37240.0;1.58;9735.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal allochtoon;2009;28905;1.13;39350.0;1.61;10265.0
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Westerse allochtoon;2004;17525;1.47;23995.0;2.05;6441.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Westerse allochtoon;2005;17885;1.49;24570.0;2.09;6500.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Westerse allochtoon;2006;18370;1.52;25595.0;2.18;6735.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Westerse allochtoon;2007;18980;1.55;;;
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Westerse allochtoon;2008;19165;1.53;27130.0;2.29;6966.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Westerse allochtoon;2009;19965;1.57;28025.0;2.31;7170.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal niet-westerse allochtoon;2004;4780;0.42;6220.0;0.57;1657.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal niet-westerse allochtoon;2005;5515;0.48;7110.0;0.64;1872.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal niet-westerse allochtoon;2006;6360;0.54;8100.0;0.72;2196.0
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal niet-westerse allochtoon;2007;7215;0.6;;;
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal niet-westerse allochtoon;2008;7910;0.64;10105.0;0.86;2768.0
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal niet-westerse allochtoon;2009;8940;0.69;11330.0;0.92;3095.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Marokko;2004;435;0.22;600.0;0.32;146.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Marokko;2005;535;0.27;680.0;0.35;174.0
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Marokko;2006;625;0.31;820.0;0.41;218.0
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Marokko;2007;725;0.35;;;
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Marokko;2008;800;0.37;1035.0;0.5;279.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Marokko;2009;930;0.42;1205.0;0.56;314.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Turkije;2004;485;0.21;645.0;0.28;168.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Turkije;2005;565;0.24;770.0;0.33;194.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Turkije;2006;665;0.27;885.0;0.37;225.0
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Turkije;2007;690;0.28;;;
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Turkije;2008;830;0.32;1105.0;0.44;279.0
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Turkije;2009;910;0.34;1250.0;0.48;322.0
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Suriname;2004;2070;0.87;2695.0;1.15;725.0
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Suriname;2005;2320;0.96;3030.0;1.27;798.0
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Suriname;2006;2595;1.06;3340.0;1.38;909.0
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Suriname;2007;2915;1.17;;;
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Suriname;2008;3110;1.22;4025.0;1.62;1103.0
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Suriname;2009;3505;1.35;4390.0;1.72;1212.0
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederlandse Antillen en Aruba;2004;755;0.85;925.0;1.1;265.0
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederlandse Antillen en Aruba;2005;840;0.95;1015.0;1.19;290.0
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederlandse Antillen en Aruba;2006;975;1.09;1165.0;1.36;332.0
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederlandse Antillen en Aruba;2007;1145;1.24;;;
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederlandse Antillen en Aruba;2008;1225;1.29;1515.0;1.71;431.0
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederlandse Antillen en Aruba;2009;1370;1.39;1655.0;1.78;474.0
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overig niet-westers;2004;1035;0.28;1350.0;0.38;353.0
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overig niet-westers;2005;1255;0.33;1615.0;0.45;417.0
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overig niet-westers;2006;1500;0.39;1885.0;0.52;512.0
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overig niet-westers;2007;1740;0.44;;;
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overig niet-westers;2008;1945;0.46;2425.0;0.64;677.0
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overig niet-westers;2009;2225;0.5;2830.0;0.7;772.0
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal herkomstgroepering;2004;162315;1.28;240205.0;1.88;60402.0
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal herkomstgroepering;2005;161270;1.26;242245.0;1.89;59790.0
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal herkomstgroepering;2006;160190;1.25;243910.0;1.9;59840.0
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal herkomstgroepering;2007;163690;1.27;;;
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal herkomstgroepering;2008;162170;1.25;250895.0;1.95;59378.0
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal herkomstgroepering;2009;164790;1.26;255290.0;1.96;59850.0
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Autochtoon;2004;148655;1.43;219440.0;2.09;55346.0
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Autochtoon;2005;147295;1.41;220900.0;2.1;54700.0
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Autochtoon;2006;145955;1.4;221630.0;2.11;54569.0
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Autochtoon;2007;148810;1.42;;;
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Autochtoon;2008;147180;1.41;226990.0;2.15;53952.0
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Autochtoon;2009;149170;1.42;230445.0;2.18;54269.0
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal allochtoon;2004;13660;0.59;20765.0;0.92;5055.0
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal allochtoon;2005;13975;0.6;21345.0;0.93;5090.0
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal allochtoon;2006;14230;0.6;22280.0;0.97;5271.0
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal allochtoon;2007;14880;0.61;;;
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal allochtoon;2008;14985;0.6;23905.0;1.01;5425.0
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal allochtoon;2009;15620;0.61;24845.0;1.02;5581.0
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Westerse allochtoon;2004;11990;1.0;18050.0;1.54;4455.0
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Westerse allochtoon;2005;12125;1.01;18355.0;1.56;4447.0
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Westerse allochtoon;2006;12250;1.02;19035.0;1.62;4564.0
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Westerse allochtoon;2007;12670;1.04;;;
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Westerse allochtoon;2008;12695;1.02;20060.0;1.69;4612.0
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Westerse allochtoon;2009;13120;1.03;20675.0;1.7;4717.0
84;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal niet-westerse allochtoon;2004;1670;0.15;2715.0;0.25;600.0
85;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal niet-westerse allochtoon;2005;1850;0.16;2990.0;0.27;643.0
86;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal niet-westerse allochtoon;2006;1980;0.17;3245.0;0.29;706.0
87;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal niet-westerse allochtoon;2007;2210;0.18;;;
88;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal niet-westerse allochtoon;2008;2290;0.18;3840.0;0.33;813.0
89;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal niet-westerse allochtoon;2009;2505;0.19;4170.0;0.34;864.0
90;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Marokko;2004;95;0.05;195.0;0.1;32.0
91;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Marokko;2005;115;0.06;200.0;0.1;37.0
92;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Marokko;2006;110;0.05;220.0;0.11;42.0
93;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Marokko;2007;130;0.06;;;
94;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Marokko;2008;125;0.06;260.0;0.13;48.0
95;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Marokko;2009;150;0.07;295.0;0.14;50.0
96;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Turkije;2004;145;0.06;255.0;0.11;49.0
97;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Turkije;2005;170;0.07;320.0;0.14;58.0
98;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Turkije;2006;180;0.07;355.0;0.15;63.0
99;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Turkije;2007;185;0.07;;;
100;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Turkije;2008;220;0.09;425.0;0.17;72.0
101;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Turkije;2009;220;0.08;460.0;0.18;78.0
102;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Suriname;2004;880;0.37;1380.0;0.59;316.0
103;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Suriname;2005;945;0.39;1485.0;0.62;334.0
104;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Suriname;2006;990;0.4;1575.0;0.65;355.0
105;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Suriname;2007;1075;0.43;;;
106;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Suriname;2008;1080;0.42;1785.0;0.72;393.0
107;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Suriname;2009;1195;0.46;1890.0;0.74;409.0
108;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederlandse Antillen en Aruba;2004;215;0.24;325.0;0.38;78.0
109;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederlandse Antillen en Aruba;2005;215;0.24;335.0;0.39;79.0
110;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederlandse Antillen en Aruba;2006;240;0.27;355.0;0.42;83.0
111;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederlandse Antillen en Aruba;2007;285;0.31;;;
112;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederlandse Antillen en Aruba;2008;305;0.32;475.0;0.54;105.0
113;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederlandse Antillen en Aruba;2009;325;0.33;500.0;0.54;112.0
114;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overig niet-westers;2004;335;0.09;560.0;0.16;125.0
115;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overig niet-westers;2005;410;0.11;650.0;0.18;135.0
116;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overig niet-westers;2006;465;0.12;740.0;0.2;164.0
117;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overig niet-westers;2007;535;0.13;;;
118;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overig niet-westers;2008;560;0.13;895.0;0.24;196.0
119;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overig niet-westers;2009;615;0.14;1025.0;0.25;215.0
120;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal herkomstgroepering;2004;49820;0.39;52860.0;0.41;18006.0
121;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal herkomstgroepering;2005;51820;0.41;54895.0;0.43;18606.0
122;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal herkomstgroepering;2006;53725;0.42;57175.0;0.45;19357.0
123;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal herkomstgroepering;2007;56355;0.44;;;
124;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal herkomstgroepering;2008;56900;0.44;61765.0;0.48;21030.0
125;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal herkomstgroepering;2009;59790;0.46;63600.0;0.49;21637.0
126;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Autochtoon;2004;44185;0.43;46800.0;0.45;15984.0
127;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Autochtoon;2005;45800;0.44;48435.0;0.46;16483.0
128;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Autochtoon;2006;47240;0.45;50200.0;0.48;17063.0
129;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Autochtoon;2007;49250;0.47;;;
130;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Autochtoon;2008;49480;0.47;53595.0;0.51;18317.0
131;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Autochtoon;2009;51765;0.49;54875.0;0.52;18762.0
132;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal allochtoon;2004;5635;0.24;6060.0;0.27;2022.0
133;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal allochtoon;2005;6020;0.26;6460.0;0.28;2122.0
134;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal allochtoon;2006;6485;0.27;6975.0;0.3;2295.0
135;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal allochtoon;2007;7105;0.29;;;
136;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal allochtoon;2008;7420;0.3;8165.0;0.35;2712.0
137;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal allochtoon;2009;8025;0.31;8725.0;0.36;2875.0
138;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Westerse allochtoon;2004;3755;0.31;3980.0;0.34;1363.0
139;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Westerse allochtoon;2005;3875;0.32;4105.0;0.35;1391.0
140;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Westerse allochtoon;2006;4040;0.34;4285.0;0.36;1447.0
141;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Westerse allochtoon;2007;4220;0.35;;;
142;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Westerse allochtoon;2008;4250;0.34;4625.0;0.39;1573.0
