ID;FinancieringsregelingenZorg;Perioden;TotaalFinancieringsbronnen_1;Overheid_2;Totaal_3;VennootschappenWerkgevers_4;Huishoudens_5;Buitenland_6;SaldiFondsen_7;OverigeVerschillen_8
0;Totaal alle financieringsregelingen;1998;40308.0;9186.0;30074.0;7522.0;22552.0;10.0;491.0;547.0
1;Totaal alle financieringsregelingen;1999;43388.0;9968.0;34565.0;7991.0;26575.0;1.0;-1564.0;417.0
2;Totaal alle financieringsregelingen;2000;46452.0;10581.0;37192.0;8895.0;28297.0;20.0;-1228.0;-113.0
3;Totaal alle financieringsregelingen;2001;52011.0;13365.0;36106.0;9453.0;26653.0;-6.0;1869.0;677.0
4;Totaal alle financieringsregelingen;2002;58167.0;14813.0;38871.0;10226.0;28645.0;26.0;3733.0;725.0
5;Totaal alle financieringsregelingen;2003;62556.0;16358.0;46655.0;11541.0;35114.0;-80.0;-1010.0;633.0
6;Totaal alle financieringsregelingen;2004;64549.0;17686.0;47940.0;11786.0;36154.0;-82.0;-459.0;-537.0
7;Totaal alle financieringsregelingen;2005;67151.0;17530.0;49498.0;10591.0;38908.0;-151.0;2705.0;-2432.0
8;Totaal alle financieringsregelingen;2006;70350.0;16485.0;51968.0;11136.0;40832.0;-15.0;1272.0;644.0
9;Totaal alle financieringsregelingen;2007;74666.0;18596.0;54925.0;11584.0;43342.0;-94.0;768.0;470.0
10;Totaal alle financieringsregelingen;2008;79911.0;19755.0;59883.0;13209.0;46674.0;-28.0;904.0;-603.0
11;Totaal alle financieringsregelingen;2009;84177.0;20737.0;59145.0;12958.0;46187.0;-34.0;4049.0;280.0
12;Totaal alle financieringsregelingen;2010;87632.0;21271.0;62806.0;13243.0;49563.0;-24.0;5006.0;-1427.0
13;Totaal alle financieringsregelingen;2011;89676.0;21597.0;68208.0;14527.0;53681.0;-78.0;2052.0;-2103.0
14;Totaal alle financieringsregelingen;2012;92943.0;21659.0;70162.0;15386.0;54776.0;-84.0;3665.0;-2460.0
15;Totaal alle financieringsregelingen;2013;93099.0;19881.0;75395.0;16211.0;59183.0;-72.0;138.0;-2243.0
16;Totaal alle financieringsregelingen;2014;94452.0;20705.0;70383.0;16043.0;54339.0;130.0;4902.0;-1667.0
17;Totaal alle financieringsregelingen;2015;94494.0;26559.0;69009.0;15275.0;53734.0;0.0;-454.0;-621.0
18;Totaal alle financieringsregelingen;2016;96711.0;26386.0;70270.0;15333.0;54938.0;-10.0;-1383.0;1446.0
19;HF1: Overheid en soc. verzekering;1998;28399.0;9186.0;18579.0;4323.0;14257.0;-50.0;491.0;193.0
20;HF1: Overheid en soc. verzekering;1999;30290.0;9968.0;22009.0;4466.0;17543.0;-58.0;-1564.0;-65.0
21;HF1: Overheid en soc. verzekering;2000;32733.0;10581.0;23854.0;5050.0;18805.0;-49.0;-1228.0;-424.0
22;HF1: Overheid en soc. verzekering;2001;36821.0;13365.0;21424.0;5101.0;16323.0;-82.0;1869.0;244.0
23;HF1: Overheid en soc. verzekering;2002;41117.0;14813.0;22330.0;5005.0;17325.0;-73.0;3733.0;315.0
24;HF1: Overheid en soc. verzekering;2003;44065.0;16358.0;28637.0;5805.0;22833.0;-175.0;-1010.0;255.0
25;HF1: Overheid en soc. verzekering;2004;44551.0;17686.0;28053.0;5738.0;22316.0;-179.0;-459.0;-553.0
26;HF1: Overheid en soc. verzekering;2005;46174.0;17530.0;28610.0;5446.0;23165.0;-256.0;2705.0;-2415.0
27;HF1: Overheid en soc. verzekering;2006;56978.0;16485.0;38792.0;9742.0;29050.0;-110.0;1272.0;542.0
28;HF1: Overheid en soc. verzekering;2007;60531.0;18596.0;40955.0;10077.0;30878.0;-181.0;768.0;393.0
29;HF1: Overheid en soc. verzekering;2008;63676.0;19755.0;43474.0;11700.0;31774.0;-118.0;904.0;-339.0
30;HF1: Overheid en soc. verzekering;2009;67516.0;20737.0;42408.0;11378.0;31030.0;-118.0;4049.0;441.0
31;HF1: Overheid en soc. verzekering;2010;70369.0;21271.0;45411.0;11636.0;33775.0;-131.0;5006.0;-1188.0
32;HF1: Overheid en soc. verzekering;2011;71478.0;21597.0;49947.0;12986.0;36961.0;-181.0;2052.0;-1937.0
33;HF1: Overheid en soc. verzekering;2012;74226.0;21659.0;51331.0;13938.0;37393.0;-187.0;3665.0;-2243.0
34;HF1: Overheid en soc. verzekering;2013;73959.0;19881.0;56199.0;14781.0;41419.0;-180.0;138.0;-2081.0
35;HF1: Overheid en soc. verzekering;2014;75043.0;20705.0;51084.0;14634.0;36450.0;19.0;4902.0;-1667.0
36;HF1: Overheid en soc. verzekering;2015;75335.0;26559.0;49839.0;13884.0;35955.0;-115.0;-454.0;-495.0
37;HF1: Overheid en soc. verzekering;2016;77266.0;26386.0;50939.0;13913.0;37026.0;-125.0;-1383.0;1447.0
38;HF11: Overheid;1998;5591.0;5591.0;;;;;;
39;HF11: Overheid;1999;6275.0;6275.0;;;;;;
40;HF11: Overheid;2000;6761.0;6761.0;;;;;;
41;HF11: Overheid;2001;7731.0;7731.0;;;;;;
42;HF11: Overheid;2002;8290.0;8290.0;;;;;;
43;HF11: Overheid;2003;8488.0;8488.0;;;;;;
44;HF11: Overheid;2004;8276.0;8276.0;;;;;;
45;HF11: Overheid;2005;8417.0;8417.0;;;;;;
46;HF11: Overheid;2006;8849.0;8849.0;;;;;;
47;HF11: Overheid;2007;11290.0;11290.0;;;;;;
48;HF11: Overheid;2008;11874.0;11874.0;;;;;;
49;HF11: Overheid;2009;12697.0;12697.0;;;;;;
50;HF11: Overheid;2010;13123.0;13123.0;;;;;;
51;HF11: Overheid;2011;12839.0;12839.0;;;;;;
52;HF11: Overheid;2012;12875.0;12875.0;;;;;;
53;HF11: Overheid;2013;11631.0;11631.0;;;;;;
54;HF11: Overheid;2014;12015.0;12015.0;;;;;;
55;HF11: Overheid;2015;17065.0;17065.0;;;;;;
56;HF11: Overheid;2016;17537.0;17537.0;;;;;;
57;HF121a: AWBZ, Wlz;1998;11350.0;120.0;10927.0;;10927.0;14.0;327.0;-38.0
58;HF121a: AWBZ, Wlz;1999;12109.0;225.0;12769.0;;12769.0;12.0;-1008.0;111.0
59;HF121a: AWBZ, Wlz;2000;13109.0;7.0;13305.0;;13305.0;12.0;-107.0;-108.0
60;HF121a: AWBZ, Wlz;2001;14642.0;1680.0;10750.0;;10750.0;10.0;2215.0;-13.0
61;HF121a: AWBZ, Wlz;2002;16934.0;2378.0;11538.0;;11538.0;10.0;3009.0;0.0
62;HF121a: AWBZ, Wlz;2003;18745.0;4200.0;15515.0;;15515.0;13.0;-1174.0;191.0
63;HF121a: AWBZ, Wlz;2004;19415.0;5419.0;15888.0;;15888.0;12.0;-1890.0;-16.0
64;HF121a: AWBZ, Wlz;2005;20192.0;5263.0;16051.0;;16051.0;10.0;-1074.0;-59.0
65;HF121a: AWBZ, Wlz;2006;21264.0;5151.0;16152.0;745.0;15408.0;12.0;65.0;-113.0
66;HF121a: AWBZ, Wlz;2007;21334.0;4916.0;16788.0;815.0;15972.0;-13.0;-368.0;10.0
67;HF121a: AWBZ, Wlz;2008;20335.0;4786.0;14214.0;;14214.0;-26.0;1115.0;246.0
68;HF121a: AWBZ, Wlz;2009;21572.0;4841.0;13555.0;;13555.0;-7.0;3283.0;-100.0
69;HF121a: AWBZ, Wlz;2010;22612.0;4824.0;15164.0;;15164.0;-8.0;2732.0;-100.0
70;HF121a: AWBZ, Wlz;2011;23410.0;5181.0;16213.0;;16213.0;-3.0;1986.0;33.0
71;HF121a: AWBZ, Wlz;2012;25820.0;5190.0;16063.0;;16063.0;-5.0;4824.0;-253.0
72;HF121a: AWBZ, Wlz;2013;25105.0;3583.0;19714.0;;19714.0;-1.0;2068.0;-260.0
73;HF121a: AWBZ, Wlz;2014;25560.0;4055.0;16328.0;;16328.0;-1.0;5235.0;-57.0
74;HF121a: AWBZ, Wlz;2015;17697.0;3250.0;15194.0;;15194.0;0.0;-694.0;-55.0
75;HF121a: AWBZ, Wlz;2016;18025.0;3382.0;14237.0;;14237.0;4.0;309.0;94.0
76;HF121b: Ziekenfonds;1998;11458.0;3475.0;7652.0;4323.0;3330.0;-64.0;164.0;231.0
77;HF121b: Ziekenfonds;1999;11906.0;3468.0;9240.0;4466.0;4774.0;-70.0;-556.0;-176.0
78;HF121b: Ziekenfonds;2000;12863.0;3813.0;10549.0;5050.0;5500.0;-61.0;-1121.0;-317.0
79;HF121b: Ziekenfonds;2001;14448.0;3954.0;10674.0;5101.0;5573.0;-92.0;-346.0;258.0
80;HF121b: Ziekenfonds;2002;15892.0;4145.0;10792.0;5005.0;5787.0;-83.0;724.0;314.0
81;HF121b: Ziekenfonds;2003;16832.0;3670.0;13122.0;5805.0;7318.0;-188.0;164.0;64.0
82;HF121b: Ziekenfonds;2004;16859.0;3991.0;12165.0;5738.0;6428.0;-191.0;1431.0;-537.0
83;HF121b: Ziekenfonds;2005;17566.0;3850.0;12559.0;5446.0;7114.0;-266.0;3779.0;-2356.0
84;HF121b: Ziekenfonds;2006;;;;;;;;
85;HF121b: Ziekenfonds;2007;;;;;;;;
86;HF121b: Ziekenfonds;2008;;;;;;;;
87;HF121b: Ziekenfonds;2009;;;;;;;;
88;HF121b: Ziekenfonds;2010;;;;;;;;
89;HF121b: Ziekenfonds;2011;;;;;;;;
90;HF121b: Ziekenfonds;2012;;;;;;;;
91;HF121b: Ziekenfonds;2013;;;;;;;;
92;HF121b: Ziekenfonds;2014;;;;;;;;
93;HF121b: Ziekenfonds;2015;;;;;;;;
94;HF121b: Ziekenfonds;2016;;;;;;;;
95;HF122: Verplichte premiegebonden verz.;1998;;;;;;;;
96;HF122: Verplichte premiegebonden verz.;1999;;;;;;;;
97;HF122: Verplichte premiegebonden verz.;2000;;;;;;;;
98;HF122: Verplichte premiegebonden verz.;2001;;;;;;;;
99;HF122: Verplichte premiegebonden verz.;2002;;;;;;;;
100;HF122: Verplichte premiegebonden verz.;2003;;;;;;;;
101;HF122: Verplichte premiegebonden verz.;2004;;;;;;;;
102;HF122: Verplichte premiegebonden verz.;2005;;;;;;;;
