ID;Geslacht;Leeftijd;Herkomstgroepering;DiagnoseIndelingISHMT;Cijfersoort;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;VerpleegdagenVanKlinischeOpnamen_3;VerpleegdagenPer10000Inwoners_4;GemVerpleegduurPerKlinischeOpname_5
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;1995;2222832.0;1438.1;14598821.0;9445.2;9.3
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;1996;2275014.0;1464.9;14666361.0;9444.0;9.3
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;1997;2311303.0;1480.5;14253216.0;9129.8;9.1
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;1998;2332380.0;1484.6;13777043.0;8769.2;9.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;1999;2346064.0;1483.7;13032621.0;8242.0;8.6
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2000;2354103.0;1478.0;12304636.0;7725.2;8.4
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2001;2440178.0;1520.9;11889627.0;7410.7;8.2
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2002;2615990.0;1620.0;11700003.0;7245.5;7.8
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2003;2783018.0;1715.3;11630869.0;7168.8;7.4
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2004;2993687.0;1839.1;11583194.0;7115.7;7.0
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2005;3130192.0;1918.4;11501518.0;7048.8;6.8
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2006;3307964.0;2023.8;11426069.0;6990.5;6.6
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2007;3472447.0;2119.9;11252116.0;6869.4;6.3
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;0;Aantallen;2008;3647542.0;2217.7;11182721.0;6799.0;6.1
