ID;Geslacht;Herkomstgroepering;Onderwijssoort;Leeftijd;SoortHuishouden;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;0;Totaal soort huishouden;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;0;Totaal soort huishouden;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;0;Totaal soort huishouden;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;0;Totaal soort huishouden;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;0;Totaal soort huishouden;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;0;Totaal thuiswonend;2004/'05;1174640.0;49990.0;1124640.0;4.3
6;Totaal mannen en vrouwen;0;0;0;Totaal thuiswonend;2005/'06;1255120.0;48010.0;1207110.0;3.8
7;Totaal mannen en vrouwen;0;0;0;Totaal thuiswonend;2006/'07;1259760.0;45730.0;1214030.0;3.6
8;Totaal mannen en vrouwen;0;0;0;Totaal thuiswonend;2007/'08;1277920.0;43760.0;1234170.0;3.4
9;Totaal mannen en vrouwen;0;0;0;Totaal thuiswonend;2008/'09;1275110.0;39620.0;1235490.0;3.1
10;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 2 ouders/verzorgers;2004/'05;988330.0;36390.0;951940.0;3.7
11;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 2 ouders/verzorgers;2005/'06;1048510.0;33910.0;1014600.0;3.2
12;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 2 ouders/verzorgers;2006/'07;1050950.0;31820.0;1019130.0;3.0
13;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 2 ouders/verzorgers;2007/'08;1060970.0;29920.0;1031050.0;2.8
14;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 2 ouders/verzorgers;2008/'09;1060580.0;27420.0;1033160.0;2.6
15;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 1 ouder/verzorger;2004/'05;186310.0;13600.0;172700.0;7.3
16;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 1 ouder/verzorger;2005/'06;206610.0;14100.0;192510.0;6.8
17;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 1 ouder/verzorger;2006/'07;208810.0;13910.0;194900.0;6.7
18;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 1 ouder/verzorger;2007/'08;216960.0;13840.0;203120.0;6.4
19;Totaal mannen en vrouwen;0;0;0;Thuiswonend, 1 ouder/verzorger;2008/'09;214540.0;12200.0;202330.0;5.7
20;Totaal mannen en vrouwen;0;0;0;Totaal eigen huishouden;2004/'05;101030.0;22170.0;78860.0;21.9
21;Totaal mannen en vrouwen;0;0;0;Totaal eigen huishouden;2005/'06;116430.0;22310.0;94120.0;19.2
22;Totaal mannen en vrouwen;0;0;0;Totaal eigen huishouden;2006/'07;122440.0;22190.0;100250.0;18.1
23;Totaal mannen en vrouwen;0;0;0;Totaal eigen huishouden;2007/'08;131710.0;24320.0;107390.0;18.5
24;Totaal mannen en vrouwen;0;0;0;Totaal eigen huishouden;2008/'09;131090.0;21350.0;109750.0;16.3
25;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, alleenstaand;2004/'05;42420.0;8650.0;33770.0;20.4
26;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, alleenstaand;2005/'06;50950.0;9030.0;41920.0;17.7
27;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, alleenstaand;2006/'07;55130.0;9390.0;45740.0;17.0
28;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, alleenstaand;2007/'08;55600.0;9490.0;46100.0;17.1
29;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, alleenstaand;2008/'09;50760.0;7910.0;42850.0;15.6
30;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, overig;2004/'05;58610.0;13510.0;45100.0;23.1
31;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, overig;2005/'06;65480.0;13280.0;52200.0;20.3
32;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, overig;2006/'07;67310.0;12800.0;54510.0;19.0
33;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, overig;2007/'08;76110.0;14830.0;61290.0;19.5
34;Totaal mannen en vrouwen;0;0;0;Eigen huishouden, overig;2008/'09;80340.0;13430.0;66900.0;16.7
35;Totaal mannen en vrouwen;0;0;0;Totaal overige huishoudens;2004/'05;24440.0;3990.0;20450.0;16.3
36;Totaal mannen en vrouwen;0;0;0;Totaal overige huishoudens;2005/'06;28160.0;4200.0;23970.0;14.9
37;Totaal mannen en vrouwen;0;0;0;Totaal overige huishoudens;2006/'07;37310.0;4690.0;32620.0;12.6
38;Totaal mannen en vrouwen;0;0;0;Totaal overige huishoudens;2007/'08;25080.0;3400.0;21670.0;13.6
39;Totaal mannen en vrouwen;0;0;0;Totaal overige huishoudens;2008/'09;28920.0;3300.0;25620.0;11.4
40;Totaal mannen en vrouwen;0;0;0;IIT-bewoner;2004/'05;4160.0;940.0;3220.0;22.6
41;Totaal mannen en vrouwen;0;0;0;IIT-bewoner;2005/'06;4580.0;980.0;3600.0;21.5
42;Totaal mannen en vrouwen;0;0;0;IIT-bewoner;2006/'07;4770.0;1030.0;3740.0;21.6
43;Totaal mannen en vrouwen;0;0;0;IIT-bewoner;2007/'08;4990.0;1160.0;3830.0;23.3
44;Totaal mannen en vrouwen;0;0;0;IIT-bewoner;2008/'09;5240.0;1170.0;4070.0;22.4
45;Totaal mannen en vrouwen;0;0;0;Overig en onbekend;2004/'05;20280.0;3050.0;17230.0;15.1
46;Totaal mannen en vrouwen;0;0;0;Overig en onbekend;2005/'06;23590.0;3210.0;20370.0;13.6
47;Totaal mannen en vrouwen;0;0;0;Overig en onbekend;2006/'07;32540.0;3660.0;28880.0;11.2
48;Totaal mannen en vrouwen;0;0;0;Overig en onbekend;2007/'08;20090.0;2240.0;17840.0;11.2
49;Totaal mannen en vrouwen;0;0;0;Overig en onbekend;2008/'09;23680.0;2120.0;21550.0;9.0
50;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal soort huishouden;2004/'05;1211960.0;55060.0;1156900.0;4.5
51;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal soort huishouden;2005/'06;1299580.0;53590.0;1245980.0;4.1
52;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal soort huishouden;2006/'07;1313120.0;51980.0;1261140.0;4.0
53;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal soort huishouden;2007/'08;1315100.0;48450.0;1266650.0;3.7
54;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal soort huishouden;2008/'09;1310060.0;43340.0;1266720.0;3.3
55;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal thuiswonend;2004/'05;1155940.0;46310.0;1109630.0;4.0
56;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal thuiswonend;2005/'06;1233790.0;44530.0;1189270.0;3.6
57;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal thuiswonend;2006/'07;1237360.0;42560.0;1194800.0;3.4
58;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal thuiswonend;2007/'08;1251890.0;40430.0;1211470.0;3.2
59;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal thuiswonend;2008/'09;1247390.0;36490.0;1210900.0;2.9
60;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 2 ouders/verzorgers;2004/'05;973550.0;33630.0;939920.0;3.5
61;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 2 ouders/verzorgers;2005/'06;1031800.0;31380.0;1000410.0;3.0
62;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 2 ouders/verzorgers;2006/'07;1033630.0;29580.0;1004050.0;2.9
63;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 2 ouders/verzorgers;2007/'08;1041000.0;27670.0;1013330.0;2.7
64;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 2 ouders/verzorgers;2008/'09;1039390.0;25300.0;1014090.0;2.4
65;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 1 ouder/verzorger;2004/'05;182390.0;12690.0;169710.0;7.0
66;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 1 ouder/verzorger;2005/'06;202000.0;13140.0;188850.0;6.5
67;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 1 ouder/verzorger;2006/'07;203730.0;12980.0;190750.0;6.4
68;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 1 ouder/verzorger;2007/'08;210890.0;12760.0;198130.0;6.1
69;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Thuiswonend, 1 ouder/verzorger;2008/'09;208010.0;11190.0;196820.0;5.4
70;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal eigen huishouden;2004/'05;35030.0;5730.0;29300.0;16.4
71;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal eigen huishouden;2005/'06;41930.0;5940.0;35990.0;14.2
72;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal eigen huishouden;2006/'07;44120.0;5930.0;38190.0;13.4
73;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal eigen huishouden;2007/'08;42560.0;5610.0;36950.0;13.2
74;Totaal mannen en vrouwen;0;0;22 jaar of jonger;Totaal eigen huishouden;2008/'09;38310.0;4470.0;33840.0;11.7
