ID;NACERev1;Period;Sales_1;Prices_2;Volume_3;Sales_4;Prices_5;Volume_6
0;521 to 526 Retail trade in total;1994 January;87.0;98.0;89.0;;;
1;521 to 526 Retail trade in total;1994 February;83.0;99.0;84.0;;;
2;521 to 526 Retail trade in total;1994 March;99.0;101.0;99.0;;;
3;521 to 526 Retail trade in total;1994 1st quarter;90.0;99.0;91.0;;;
4;521 to 526 Retail trade in total;1994 April;100.0;101.0;99.0;;;
5;521 to 526 Retail trade in total;1994 May;99.0;101.0;99.0;;;
6;521 to 526 Retail trade in total;1994 June;103.0;100.0;103.0;;;
7;521 to 526 Retail trade in total;1994 2nd quarter;101.0;101.0;100.0;;;
8;521 to 526 Retail trade in total;1994 July;98.0;98.0;100.0;;;
9;521 to 526 Retail trade in total;1994 August;95.0;99.0;96.0;;;
10;521 to 526 Retail trade in total;1994 September;103.0;101.0;101.0;;;
11;521 to 526 Retail trade in total;1994 3rd quarter;99.0;99.0;99.0;;;
12;521 to 526 Retail trade in total;1994 October;101.0;102.0;99.0;;;
13;521 to 526 Retail trade in total;1994 November;100.0;101.0;99.0;;;
14;521 to 526 Retail trade in total;1994 December;120.0;100.0;120.0;;;
15;521 to 526 Retail trade in total;1994 4th quarter;107.0;101.0;106.0;;;
16;521 to 526 Retail trade in total;1994;99.0;100.0;99.0;;;
17;521 to 526 Retail trade in total;1995 January;89.0;99.0;90.0;;;
18;521 to 526 Retail trade in total;1995 February;84.0;100.0;84.0;;;
19;521 to 526 Retail trade in total;1995 March;100.0;101.0;99.0;;;
20;521 to 526 Retail trade in total;1995 1st quarter;91.0;100.0;91.0;1.4;0.5;0.9
21;521 to 526 Retail trade in total;1995 April;98.0;101.0;97.0;;;
22;521 to 526 Retail trade in total;1995 May;103.0;101.0;102.0;;;
23;521 to 526 Retail trade in total;1995 June;107.0;100.0;107.0;;;
24;521 to 526 Retail trade in total;1995 2nd quarter;103.0;101.0;102.0;1.6;0.3;1.3
25;521 to 526 Retail trade in total;1995 July;98.0;98.0;101.0;;;
26;521 to 526 Retail trade in total;1995 August;98.0;98.0;99.0;;;
27;521 to 526 Retail trade in total;1995 September;105.0;100.0;105.0;;;
28;521 to 526 Retail trade in total;1995 3rd quarter;100.0;99.0;102.0;1.6;-0.6;2.2
29;521 to 526 Retail trade in total;1995 October;99.0;100.0;99.0;;;
30;521 to 526 Retail trade in total;1995 November;104.0;100.0;103.0;;;
31;521 to 526 Retail trade in total;1995 December;119.0;99.0;119.0;;;
32;521 to 526 Retail trade in total;1995 4th quarter;107.0;100.0;107.0;0.0;-0.9;0.9
33;521 to 526 Retail trade in total;1995;100.0;100.0;100.0;1.3;-0.2;1.5
34;521 to 526 Retail trade in total;1996 January;91.0;99.0;92.0;2.6;-0.1;2.7
35;521 to 526 Retail trade in total;1996 February;88.0;100.0;88.0;3.9;-0.5;4.3
36;521 to 526 Retail trade in total;1996 March;100.0;101.0;99.0;0.2;0.1;0.1
37;521 to 526 Retail trade in total;1996 1st quarter;93.0;100.0;93.0;1.9;-0.1;2.0
38;521 to 526 Retail trade in total;1996 April;101.0;101.0;100.0;3.8;0.0;3.7
39;521 to 526 Retail trade in total;1996 May;109.0;100.0;109.0;6.2;0.0;6.2
40;521 to 526 Retail trade in total;1996 June;106.0;100.0;107.0;0.1;-0.5;0.6
41;521 to 526 Retail trade in total;1996 2nd quarter;105.0;100.0;105.0;3.7;-0.2;3.8
42;521 to 526 Retail trade in total;1996 July;102.0;99.0;103.0;4.4;0.0;4.4
43;521 to 526 Retail trade in total;1996 August;104.0;99.0;105.0;7.4;-0.6;8.1
44;521 to 526 Retail trade in total;1996 September;101.0;100.0;102.0;-2.9;-0.2;-2.7
45;521 to 526 Retail trade in total;1996 3rd quarter;102.0;99.0;103.0;2.9;-0.3;3.2
46;521 to 526 Retail trade in total;1996 October;108.0;100.0;108.0;9.5;0.3;9.1
47;521 to 526 Retail trade in total;1996 November;107.0;100.0;107.0;4.0;0.1;3.9
48;521 to 526 Retail trade in total;1996 December;118.0;100.0;117.0;-0.4;0.6;-1.1
49;521 to 526 Retail trade in total;1996 4th quarter;111.0;100.0;111.0;4.2;0.4;3.8
50;521 to 526 Retail trade in total;1996;103.0;100.0;103.0;3.2;-0.1;3.3
51;521 to 526 Retail trade in total;1997 January;98.0;100.0;98.0;8.1;0.8;7.3
52;521 to 526 Retail trade in total;1997 February;90.0;100.0;92.0;2.4;0.3;2.1
53;521 to 526 Retail trade in total;1997 March;105.0;101.0;104.0;4.4;-0.3;4.7
54;521 to 526 Retail trade in total;1997 1st quarter;98.0;100.0;98.0;5.1;0.3;4.8
55;521 to 526 Retail trade in total;1997 April;106.0;101.0;105.0;4.0;-0.4;4.4
56;521 to 526 Retail trade in total;1997 May;118.0;101.0;117.0;7.9;0.9;7.0
57;521 to 526 Retail trade in total;1997 June;110.0;101.0;109.0;3.0;1.0;2.0
58;521 to 526 Retail trade in total;1997 2nd quarter;111.0;101.0;110.0;5.0;0.5;4.5
59;521 to 526 Retail trade in total;1997 July;111.0;100.0;111.0;8.1;0.9;7.2
60;521 to 526 Retail trade in total;1997 August;104.0;100.0;104.0;0.1;1.4;-1.3
61;521 to 526 Retail trade in total;1997 September;111.0;101.0;110.0;9.4;1.7;7.7
62;521 to 526 Retail trade in total;1997 3rd quarter;109.0;100.0;109.0;5.6;1.3;3.6
63;521 to 526 Retail trade in total;1997 October;119.0;101.0;119.0;9.6;1.5;8.1
64;521 to 526 Retail trade in total;1997 November;112.0;102.0;111.0;3.8;2.0;1.8
65;521 to 526 Retail trade in total;1997 December;128.0;102.0;127.0;9.2;1.4;7.8
66;521 to 526 Retail trade in total;1997 4th quarter;120.0;102.0;119.0;7.4;1.6;5.8
67;521 to 526 Retail trade in total;1997;109.0;101.0;108.0;5.9;0.9;5.0
68;521 to 526 Retail trade in total;1998 January;107.0;100.0;107.0;8.8;0.9;7.8
69;521 to 526 Retail trade in total;1998 February;95.0;101.0;94.0;6.3;2.1;4.1
70;521 to 526 Retail trade in total;1998 March;107.0;104.0;103.0;2.4;2.4;0.1
71;521 to 526 Retail trade in total;1998 1st quarter;103.0;102.0;101.0;5.8;1.8;3.9
72;521 to 526 Retail trade in total;1998 April;115.0;104.0;111.0;9.2;2.5;6.5
73;521 to 526 Retail trade in total;1998 May;123.0;104.0;118.0;4.6;1.9;2.7
74;521 to 526 Retail trade in total;1998 June;117.0;103.0;114.0;7.0;2.2;4.7
75;521 to 526 Retail trade in total;1998 2nd quarter;118.0;104.0;114.0;6.8;2.2;4.5
76;521 to 526 Retail trade in total;1998 July;121.0;101.0;119.0;9.5;2.4;7.0
77;521 to 526 Retail trade in total;1998 August;109.0;101.0;107.0;5.6;2.0;3.5
78;521 to 526 Retail trade in total;1998 September;116.0;104.0;111.0;4.9;1.5;3.3
79;521 to 526 Retail trade in total;1998 3rd quarter;115.0;102.0;113.0;6.7;2.0;4.6
80;521 to 526 Retail trade in total;1998 October;125.0;104.0;121.0;6.3;1.8;4.5
81;521 to 526 Retail trade in total;1998 November;114.0;104.0;110.0;3.1;1.6;1.5
82;521 to 526 Retail trade in total;1998 December;139.0;104.0;134.0;8.4;1.8;6.5
83;521 to 526 Retail trade in total;1998 4th quarter;126.0;104.0;121.0;6.1;1.7;4.3
84;521 to 526 Retail trade in total;1998;116.0;103.0;112.0;6.4;1.9;4.3
85;521 to 526 Retail trade in total;1999 January;106.0;102.0;104.0;-0.2;2.5;-2.6
86;521 to 526 Retail trade in total;1999 February;99.0;103.0;96.0;3.9;2.1;1.7
87;521 to 526 Retail trade in total;1999 March;118.0;106.0;111.0;10.0;1.9;8.0
88;521 to 526 Retail trade in total;1999 1st quarter;108.0;104.0;104.0;4.6;2.2;2.4
89;521 to 526 Retail trade in total;1999 April;121.0;106.0;115.0;5.5;1.6;3.9
90;521 to 526 Retail trade in total;1999 May;124.0;106.0;118.0;1.2;1.8;-0.6
