ID;Geslacht;Onderwijssoort;Leeftijd;VerdachtVanMisdrijf;InkomstenUitEenBaan;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal populatie;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal populatie;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal populatie;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal populatie;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal populatie;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen inkomsten uit een baan;2004/'05;881840.0;34670.0;847170.0;3.9
6;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen inkomsten uit een baan;2005/'06;950750.0;36320.0;914430.0;3.8
7;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen inkomsten uit een baan;2006/'07;946610.0;34420.0;912190.0;3.6
8;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen inkomsten uit een baan;2007/'08;905840.0;29850.0;875980.0;3.3
9;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen inkomsten uit een baan;2008/'09;892750.0;26830.0;865920.0;3.0
10;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel inkomsten uit een baan;2004/'05;418260.0;41480.0;376780.0;9.9
11;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel inkomsten uit een baan;2005/'06;448950.0;38190.0;410760.0;8.5
