ID;Inkomensgroepen;DuurInkomenspositie;Geslacht;OverigeKenmerken;Perioden;PersonenInParticuliereHuishoudens_1;PersonenVanDeDoelpopulatie_2
0;901;931;310;301;2000;15650.0;104.6
1;901;931;310;301;2001;15785.0;104.3
2;901;931;310;301;2002;15864.0;103.9
3;901;931;310;301;2003;15905.0;104.1
4;901;931;310;301;2004;15954.0;104.3
5;901;931;310;301;2005;16006.0;104.6
6;901;931;310;301;2006;16034.0;103.7
7;901;931;310;301;2007;16090.0;103.5
8;901;931;310;301;2008;16186.0;103.4
9;901;931;310;301;2009;16258.0;103.5
10;901;931;310;301;2010;16303.0;103.7
11;901;931;310;301;2011;16392.0;103.7
12;901;931;310;301;2012;16442.0;103.6
13;901;931;310;301;2013;16452.0;103.7
14;901;931;310;301;2014;16524.0;103.9
15;901;931;310;381;2000;2944.0;104.5
16;901;931;310;381;2001;2971.0;104.0
17;901;931;310;381;2002;2982.0;103.1
18;901;931;310;381;2003;2987.0;103.3
19;901;931;310;381;2004;2982.0;103.3
20;901;931;310;381;2005;2959.0;103.7
21;901;931;310;381;2006;2933.0;102.1
22;901;931;310;381;2007;2911.0;101.9
23;901;931;310;381;2008;2904.0;101.8
24;901;931;310;381;2009;2893.0;101.9
25;901;931;310;381;2010;2878.0;101.8
26;901;931;310;381;2011;2880.0;101.8
27;901;931;310;381;2012;2858.0;101.8
28;901;931;310;381;2013;2830.0;101.8
29;901;931;310;381;2014;2807.0;102.1
30;901;931;310;382;2000;1862.0;114.2
31;901;931;310;382;2001;1876.0;113.6
32;901;931;310;382;2002;1887.0;113.9
33;901;931;310;382;2003;1896.0;115.2
34;901;931;310;382;2004;1902.0;116.2
35;901;931;310;382;2005;1915.0;117.2
36;901;931;310;382;2006;1923.0;116.2
37;901;931;310;382;2007;1942.0;116.1
38;901;931;310;382;2008;1966.0;115.8
39;901;931;310;382;2009;1982.0;116.1
40;901;931;310;382;2010;1986.0;118.1
41;901;931;310;382;2011;1991.0;118.3
42;901;931;310;382;2012;1993.0;118.0
43;901;931;310;382;2013;2000.0;118.3
44;901;931;310;382;2014;2010.0;119.5
45;901;931;310;383;2000;4915.0;104.8
