ID;Countries;SITC;Periods;TotalImportValue_1;TotalExportValue_2
0;Total countries;51 Organic chemicals;2015 January;1255.0;1348.0
1;Total countries;51 Organic chemicals;2015 February;1152.0;1288.0
2;Total countries;51 Organic chemicals;2015 March;1320.0;1448.0
3;Total countries;51 Organic chemicals;2015 April;1351.0;1479.0
4;Total countries;51 Organic chemicals;2015 May;1263.0;1468.0
5;Total countries;51 Organic chemicals;2015 June;1557.0;1614.0
6;Total countries;51 Organic chemicals;2015 July;1376.0;1570.0
7;Total countries;51 Organic chemicals;2015 August;1378.0;1407.0
8;Total countries;51 Organic chemicals;2015 September;1300.0;1471.0
9;Total countries;51 Organic chemicals;2015 October;1372.0;1530.0
10;Total countries;51 Organic chemicals;2015 November;1124.0;1510.0
11;Total countries;51 Organic chemicals;2015 December;1196.0;1357.0
12;Total countries;51 Organic chemicals;2015;15646.0;17489.0
13;Total countries;51 Organic chemicals;2016 January;1231.0;1430.0
14;Total countries;51 Organic chemicals;2016 February;1149.0;1424.0
15;Total countries;51 Organic chemicals;2016 March;1143.0;1403.0
16;Total countries;51 Organic chemicals;2016 April;1096.0;1353.0
17;Total countries;51 Organic chemicals;2016 May;1056.0;1361.0
18;Total countries;51 Organic chemicals;2016 June;1104.0;1482.0
19;Total countries;51 Organic chemicals;2016 July;1130.0;1386.0
20;Total countries;51 Organic chemicals;2016 August;1134.0;1321.0
21;Total countries;51 Organic chemicals;2016 September;1104.0;1354.0
22;Total countries;51 Organic chemicals;2016 October;1027.0;1417.0
23;Total countries;51 Organic chemicals;2016 November;1068.0;1400.0
24;Total countries;51 Organic chemicals;2016 December;990.0;1388.0
25;Total countries;51 Organic chemicals;2016;13233.0;16719.0
26;Total countries;51 Organic chemicals;2017 January;1168.0;1502.0
27;Total countries;51 Organic chemicals;2017 February;1170.0;1660.0
28;Total countries;51 Organic chemicals;2017 March;1451.0;1776.0
29;Total countries;51 Organic chemicals;2017 April;1097.0;1423.0
30;Total countries;51 Organic chemicals;2017 May;1405.0;1739.0
31;Total countries;51 Organic chemicals;2017 June;1236.0;1547.0
32;Total countries;51 Organic chemicals;2017 July;1201.0;1558.0
33;Total countries;51 Organic chemicals;2017 August;1348.0;1440.0
34;Total countries;51 Organic chemicals;2017 September;1213.0;1561.0
35;Total countries;51 Organic chemicals;2017 October;1269.0;1523.0
36;Total countries;51 Organic chemicals;2017 November;1266.0;1642.0
37;Total countries;51 Organic chemicals;2017 December;1197.0;1443.0
38;Total countries;51 Organic chemicals;2017;15022.0;18813.0
39;Total countries;51 Organic chemicals;2018 January;1385.0;1801.0
40;Total countries;51 Organic chemicals;2018 February;1255.0;1653.0
41;Total countries;51 Organic chemicals;2018 March;1303.0;1727.0
42;Total countries;51 Organic chemicals;2018 April;1275.0;1575.0
43;Total countries;51 Organic chemicals;2018 May;1283.0;1740.0
44;Total countries;51 Organic chemicals;2018 June;1212.0;1643.0
45;Total countries;51 Organic chemicals;2018 July;1322.0;1539.0
46;Total countries;51 Organic chemicals;2018 August;1351.0;2189.0
47;Total countries;51 Organic chemicals;2018 September;1198.0;2251.0
48;Total countries;51 Organic chemicals;2018 October;1356.0;1739.0
49;Total countries;51 Organic chemicals;2018 November;1255.0;1617.0
50;Total countries;51 Organic chemicals;2018 December;1134.0;1495.0
51;Total countries;51 Organic chemicals;2018;15330.0;20970.0
52;Total countries;51 Organic chemicals;2019 January;1423.0;1835.0
53;Total countries;51 Organic chemicals;2019 February;1280.0;1552.0
54;Total countries;51 Organic chemicals;2019 March;1220.0;1537.0
55;Total countries;51 Organic chemicals;2019 April;1341.0;1585.0
56;Total countries;51 Organic chemicals;2019 May;1401.0;1700.0
57;Total countries;51 Organic chemicals;2019 June;1358.0;1594.0
58;Total countries;51 Organic chemicals;2019 July;1462.0;1611.0
59;Total countries;51 Organic chemicals;2019 August;1357.0;1353.0
60;Total countries;51 Organic chemicals;2019 September;1319.0;1468.0
61;Total countries;51 Organic chemicals;2019 October;1207.0;1475.0
62;Total countries;51 Organic chemicals;2019 November;1198.0;1364.0
63;Total countries;51 Organic chemicals;2019 December;1176.0;1421.0
64;Total countries;51 Organic chemicals;2019;15742.0;18496.0
65;Total countries;51 Organic chemicals;2020 January;1276.0;1636.0
66;Total countries;51 Organic chemicals;2020 February;1195.0;1545.0
67;Total countries;51 Organic chemicals;2020 March;1263.0;1628.0
68;Total countries;51 Organic chemicals;2020 April;1126.0;1253.0
69;Total countries;51 Organic chemicals;2020 May;1068.0;1132.0
70;Total countries;51 Organic chemicals;2020 June;999.0;1156.0
71;Total countries;51 Organic chemicals;2020 July;993.0;1312.0
72;Total countries;51 Organic chemicals;2020 August;1008.0;1250.0
73;Total countries;51 Organic chemicals;2020 September;1093.0;1452.0
74;Total countries;51 Organic chemicals;2020 October;1072.0;1361.0
75;Total countries;51 Organic chemicals;2020 November;1079.0;1343.0
76;Total countries;51 Organic chemicals;2020 December;1087.0;1375.0
77;Total countries;51 Organic chemicals;2020;13260.0;16443.0
78;Total countries;51 Organic chemicals;2021 January;;
79;Total countries;51 Organic chemicals;2021 February;;
80;Total countries;51 Organic chemicals;2021 March;;
81;Total countries;51 Organic chemicals;2021 April;;
82;Total countries;51 Organic chemicals;2021 May;;
83;Total countries;51 Organic chemicals;2021 June;;
84;Total countries;51 Organic chemicals;2021 July;;
85;Total countries;51 Organic chemicals;2021 August;;
86;Total countries;51 Organic chemicals;2021 September;;
87;Total countries;51 Organic chemicals;2021 October;;
88;Total countries;51 Organic chemicals;2021 November;;
89;Total countries;51 Organic chemicals;2021 December;;
90;Total countries;51 Organic chemicals;2021;;
91;Total countries;51 Organic chemicals;2022 January;1807.0;2070.0
92;Total countries;51 Organic chemicals;2022 February;1820.0;2055.0
93;Total countries;51 Organic chemicals;2022 March;2294.0;2554.0
94;Total countries;51 Organic chemicals;2022 April;2127.0;2482.0
95;Total countries;51 Organic chemicals;2022 May;2239.0;2743.0
96;Total countries;51 Organic chemicals;2022 June;2334.0;2651.0
97;Total countries;51 Organic chemicals;2022 July;2237.0;2518.0
98;Total countries;51 Organic chemicals;2022 August;2329.0;2309.0
99;Total countries;51 Organic chemicals;2022 September;2109.0;2276.0
100;Total countries;51 Organic chemicals;2022 October;1967.0;2245.0
101;Total countries;51 Organic chemicals;2022 November;1825.0;2367.0
102;Total countries;51 Organic chemicals;2022 December;1620.0;1847.0
103;Total countries;51 Organic chemicals;2022;24709.0;28118.0
104;Total countries;51 Organic chemicals;2023 January;1687.0;2134.0
105;Total countries;51 Organic chemicals;2023 February;1641.0;2007.0
106;Total countries;51 Organic chemicals;2023 March;1819.0;2263.0
107;Total countries;51 Organic chemicals;2023 April;1643.0;1875.0
108;Total countries;51 Organic chemicals;2023 May;1779.0;2040.0
109;Total countries;51 Organic chemicals;2023 June;1563.0;1892.0
110;Total countries;51 Organic chemicals;2023 July;1475.0;1792.0
111;Total countries;51 Organic chemicals;2023 August;1451.0;1778.0
112;Total countries;51 Organic chemicals;2023 September;1548.0;1723.0
113;Total countries;51 Organic chemicals;2023 October;1444.0;1899.0
114;Total countries;51 Organic chemicals;2023 November;1373.0;1750.0
115;Total countries;51 Organic chemicals;2023 December;1405.0;1540.0
116;Total countries;51 Organic chemicals;2023;18828.0;22693.0
117;Total countries;51 Organic chemicals;2024 January;1433.0;1771.0
118;Total countries;51 Organic chemicals;2024 February;1560.0;1890.0
119;Total countries;51 Organic chemicals;2024 March;1606.0;2072.0
120;Total countries;51 Organic chemicals;2024 April;1636.0;1965.0
121;Total countries;51 Organic chemicals;2024 May;1763.0;1888.0
122;Total countries;51 Organic chemicals;2024 June;1574.0;2109.0
123;Total countries;51 Organic chemicals;2024 July;1726.0;2068.0
124;Total countries;51 Organic chemicals;2024 August;1647.0;1743.0
125;Total countries;51 Organic chemicals;2024 September;1565.0;2318.0
126;Total countries;51 Organic chemicals;2024 October;1625.0;1818.0
127;Total countries;51 Organic chemicals;2024 November;1441.0;1845.0
128;Total countries;51 Organic chemicals;2024 January-November;17576.0;21488.0
