ID;PolitiekeGroeperingen;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6;TotaalMannenEnVrouwen_7;TotaalMannenEnVrouwenRelatief_8;Mannen_9;Vrouwen_10;TotaalMannenEnVrouwen_11;TotaalMannenEnVrouwenRelatief_12;Mannen_13;Vrouwen_14
0;0;5750835;100.0;756;100.0;526;230;72;100.0;58;14;12;100.0;11;1
1;1;59040;1.0;9;1.2;7;2;0;0.0;0;0;0;0.0;0;0
2;2;206159;3.6;21;2.8;17;4;0;0.0;0;0;0;0.0;0;0
3;3;7084;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
4;4;1800;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
5;5;56978;1.0;3;0.4;3;0;0;0.0;0;0;0;0.0;0;0
6;6;7789;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
7;7;1317882;22.9;186;24.6;133;53;25;34.7;24;1;5;41.7;5;0
8;8;28231;0.5;1;0.1;0;1;0;0.0;0;0;0;0.0;0;0
9;9;3159;0.1;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
10;Democraten 66;528836;9.2;67;8.9;36;31;2;2.8;0;2;1;8.3;1;0
11;FEDERATIE B.O.F.;13410;0.2;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
12;Federatie Gemeentebelangen Frl.;6517;0.1;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
13;Fryske Nasjonale Partij;17046;0.3;3;0.4;2;1;0;0.0;0;0;0;0.0;0;0
14;Gereformeerd Politiek Verbond;46014;0.8;9;1.2;9;0;0;0.0;0;0;0;0.0;0;0
15;GPV/RPF;140014;2.4;15;2.0;14;1;0;0.0;0;0;0;0.0;0;0
16;GPV/RPF/SGP;12758;0.2;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
17;Groen Brabant;4430;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
18;GROENLINKS;248198;4.3;32;4.2;17;15;0;0.0;0;0;0;0.0;0;0
19;GROENLINKS/De Groenen;61530;1.1;4;0.5;1;3;0;0.0;0;0;0;0.0;0;0
20;Het Nederlands Blok;14173;0.2;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
21;LIJST LINSSEN;2533;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
22;Lok. Onafh. Groep. Overijssel;4589;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
23;Natuurwetpartij;11027;0.2;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
24;Nieuwe Communistische Partij-NCPN;7175;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
25;Onafhankelijke Partijen Drenthe O.P.D.;7167;0.1;2;0.3;2;0;0;0.0;0;0;0;0.0;0;0
26;OUDEREN-UNIE 55+;30935;0.5;3;0.4;1;2;0;0.0;0;0;0;0.0;0;0
27;Partij KANS Limburg;1292;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
28;Partij Nieuw Gelderland (Fed Lok Gr);13085;0.2;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
29;Partij Nieuw Limburg;30275;0.5;5;0.7;4;1;0;0.0;0;0;0;0.0;0;0
30;Partij van de Arbeid;979450;17.0;142;18.8;81;61;20;27.8;13;7;3;25.0;3;0
31;Patriottisch Democratisch Appèl;1414;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
32;Reformatorische Politieke Federatie;27147;0.5;6;0.8;6;0;0;0.0;0;0;0;0.0;0;0
33;RPF/SGP;15649;0.3;3;0.4;3;0;0;0.0;0;0;0;0.0;0;0
34;Socialistiese Arbeiderspartij;548;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
35;Socialistische Partij;121912;2.1;12;1.6;11;1;0;0.0;0;0;0;0.0;0;0
36;Staatkundig Gereformeerde Partij;144124;2.5;19;2.5;19;0;0;0.0;0;0;0;0.0;0;0
37;Volkspartij voor Vrijheid en Democratie;1564007;27.2;207;27.4;153;54;25;34.7;21;4;3;25.0;2;1
38;Zeeuwsch Vlaamse Volkspartij;7458;0.1;2;0.3;2;0;0;0.0;0;0;0;0.0;0;0
