ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
0;Total domestic and foreign;Total Jobs;Total;Total ;2010;7874.0;5933.0
1;Total domestic and foreign;Total Jobs;Total;Total ;2011;7954.0;5936.0
2;Total domestic and foreign;Total Jobs;Total;Total ;2012;7900.0;5878.0
3;Total domestic and foreign;Total Jobs;Total;Total ;2013;7766.0;5785.0
4;Total domestic and foreign;Total Jobs;Total;Total ;2014;7726.0;5752.0
5;Total domestic and foreign;Total Jobs;Total;Total ;2015;7802.0;5805.0
6;Total domestic and foreign;Total Jobs;Total;Total ;2016;7909.0;5913.0
7;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2010;2277.0;1479.0
8;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2011;2342.0;1501.0
9;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2012;2390.0;1520.0
10;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2013;2387.0;1519.0
11;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2014;2452.0;1564.0
12;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2015;2629.0;1681.0
13;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2016;2782.0;1802.0
14;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2010;5373.0;4255.0
15;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2011;5387.0;4237.0
16;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2012;5286.0;4162.0
17;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2013;5157.0;4072.0
18;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2014;5051.0;3995.0
19;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2015;4945.0;3926.0
20;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2016;4893.0;3910.0
21;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2010;224.0;199.0
22;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2011;225.0;198.0
23;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2012;224.0;197.0
24;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2013;222.0;194.0
25;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2014;223.0;193.0
26;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2015;228.0;198.0
27;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2016;234.0;202.0
28;Total domestic and foreign;Total Jobs;Total;Sex: Male;2010;4170.0;3558.0
29;Total domestic and foreign;Total Jobs;Total;Sex: Male;2011;4195.0;3549.0
30;Total domestic and foreign;Total Jobs;Total;Sex: Male;2012;4143.0;3494.0
31;Total domestic and foreign;Total Jobs;Total;Sex: Male;2013;4061.0;3427.0
32;Total domestic and foreign;Total Jobs;Total;Sex: Male;2014;4040.0;3402.0
33;Total domestic and foreign;Total Jobs;Total;Sex: Male;2015;4089.0;3435.0
34;Total domestic and foreign;Total Jobs;Total;Sex: Male;2016;4148.0;3493.0
35;Total domestic and foreign;Total Jobs;Total;Sex: Female;2010;3704.0;2374.0
36;Total domestic and foreign;Total Jobs;Total;Sex: Female;2011;3759.0;2387.0
37;Total domestic and foreign;Total Jobs;Total;Sex: Female;2012;3757.0;2384.0
38;Total domestic and foreign;Total Jobs;Total;Sex: Female;2013;3705.0;2358.0
39;Total domestic and foreign;Total Jobs;Total;Sex: Female;2014;3686.0;2350.0
40;Total domestic and foreign;Total Jobs;Total;Sex: Female;2015;3713.0;2370.0
41;Total domestic and foreign;Total Jobs;Total;Sex: Female;2016;3762.0;2421.0
42;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2010;2999.0;2077.0
43;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2011;3028.0;2062.0
44;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2012;2996.0;2022.0
45;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2013;2928.0;1974.0
46;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2014;2918.0;1957.0
47;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2015;2968.0;1984.0
48;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2016;3028.0;2040.0
49;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2010;3691.0;2954.0
50;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2011;3672.0;2927.0
51;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2012;3612.0;2880.0
52;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2013;3516.0;2811.0
53;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2014;3450.0;2762.0
54;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2015;3420.0;2741.0
55;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2016;3404.0;2741.0
56;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2010;1184.0;901.0
