ID;Geslacht;Leeftijd;GeboortelandOuders;Herkomstland;Onderwijsniveau;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2013 1e kwartaal;13670
1;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2013 2e kwartaal;13690
2;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2013 3e kwartaal;13710
3;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2013 4e kwartaal;13727
4;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2013;13699
5;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2014 1e kwartaal;13744
6;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2014 2e kwartaal;13755
7;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2014 3e kwartaal;13759
8;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2014 4e kwartaal;13768
9;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2014;13756
10;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2015 1e kwartaal;13784
11;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2015 2e kwartaal;13798
12;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2015 3e kwartaal;13818
13;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2015 4e kwartaal;13842
14;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2015;13810
15;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2016 1e kwartaal;13873
16;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2016 2e kwartaal;13921
17;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2016 3e kwartaal;13958
18;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2016 4e kwartaal;13997
19;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2016;13937
20;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2017 1e kwartaal;14026
21;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2017 2e kwartaal;14047
22;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2017 3e kwartaal;14068
23;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2017 4e kwartaal;14103
24;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2017;14061
25;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2018 1e kwartaal;14132
26;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2018 2e kwartaal;14149
27;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2018 3e kwartaal;14168
28;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2018 4e kwartaal;14185
29;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2018;14158
30;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2019 1e kwartaal;14217
31;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2019 2e kwartaal;14250
32;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2019 3e kwartaal;14292
33;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2019 4e kwartaal;14335
34;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2019;14274
35;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2020 1e kwartaal;14353
36;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2020 2e kwartaal;14387
37;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2020 3e kwartaal;14398
38;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2020 4e kwartaal;14416
39;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2020;14388
40;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2021 1e kwartaal;14437
41;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2021 2e kwartaal;14446
42;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2021 3e kwartaal;14465
43;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2021 4e kwartaal;14529
44;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2021;14469
45;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2022 1e kwartaal;14549
46;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2022 2e kwartaal;14603
47;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2022 3e kwartaal;14645
48;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2022 4e kwartaal;14721
49;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2022;14629
50;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2023 1e kwartaal;14751
51;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2023 2e kwartaal;14766
52;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2023 3e kwartaal;14792
53;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2023 4e kwartaal;14859
54;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2023;14792
55;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2024 1e kwartaal;14879
56;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2024 2e kwartaal;14890
57;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2024 3e kwartaal;14908
58;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2024 4e kwartaal;14961
59;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;Totaal;2024;14909
60;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 1e kwartaal;4356
61;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 2e kwartaal;4273
62;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 3e kwartaal;4247
63;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013 4e kwartaal;4269
64;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2013;4286
65;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 1e kwartaal;4335
66;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 2e kwartaal;4346
67;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 3e kwartaal;4311
68;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014 4e kwartaal;4352
69;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2014;4336
70;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 1e kwartaal;4378
71;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 2e kwartaal;4361
72;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 3e kwartaal;4286
73;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015 4e kwartaal;4313
74;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2015;4335
75;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 1e kwartaal;4343
76;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 2e kwartaal;4337
77;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 3e kwartaal;4248
78;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016 4e kwartaal;4263
79;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2016;4298
80;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 1e kwartaal;4268
81;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 2e kwartaal;4260
82;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 3e kwartaal;4144
83;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017 4e kwartaal;4216
84;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2017;4222
85;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 1e kwartaal;4254
86;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 2e kwartaal;4264
87;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 3e kwartaal;4178
88;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018 4e kwartaal;4204
89;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2018;4225
90;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 1e kwartaal;4208
91;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 2e kwartaal;4200
92;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 3e kwartaal;4092
93;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019 4e kwartaal;4137
94;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2019;4159
95;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 1e kwartaal;4129
96;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 2e kwartaal;4115
97;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 3e kwartaal;4056
98;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020 4e kwartaal;4056
99;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2020;4089
100;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2021 1e kwartaal;4087
101;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2021 2e kwartaal;4089
102;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2021 3e kwartaal;4049
103;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2021 4e kwartaal;4055
104;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2021;4070
105;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2022 1e kwartaal;4120
106;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2022 2e kwartaal;4147
107;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2022 3e kwartaal;4017
108;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2022 4e kwartaal;4091
109;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2022;4094
110;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2023 1e kwartaal;4215
111;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2023 2e kwartaal;4244
112;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2023 3e kwartaal;4187
113;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2023 4e kwartaal;4216
114;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2023;4215
115;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2024 1e kwartaal;4239
116;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2024 2e kwartaal;4199
117;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2024 3e kwartaal;4077
118;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2024 4e kwartaal;4103
119;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;1 Basisonderwijs, vmbo, mbo1;2024;4155
120;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2013 1e kwartaal;1488
121;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2013 2e kwartaal;1448
122;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2013 3e kwartaal;1363
123;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2013 4e kwartaal;1330
124;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2013;1407
125;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2014 1e kwartaal;1349
126;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2014 2e kwartaal;1349
127;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2014 3e kwartaal;1300
128;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2014 4e kwartaal;1333
129;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2014;1333
130;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2015 1e kwartaal;1376
131;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2015 2e kwartaal;1401
132;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2015 3e kwartaal;1331
133;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2015 4e kwartaal;1336
134;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2015;1361
135;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2016 1e kwartaal;1368
136;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2016 2e kwartaal;1356
137;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2016 3e kwartaal;1269
138;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2016 4e kwartaal;1274
139;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2016;1317
140;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2017 1e kwartaal;1312
141;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2017 2e kwartaal;1317
142;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2017 3e kwartaal;1246
143;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2017 4e kwartaal;1277
144;Totaal mannen en vrouwen;15 jaar of ouder;Totaal;Totaal;11 Basisonderwijs;2017;1288
