ID;Inkomensgroepen;DuurInkomenspositie;KenmerkenVanHetHuishouden;RegioS;Perioden;AantalHuishoudens_1;AantalPersonen_2;AantalMinderjarigeKinderen_3;HuishoudensInVanDeDoelpopulatie_4;PersonenInVanDeDoelpopulatie_5;MinderjarigeKinderenInDoelpopulatie_6
0;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2005;7051.6;15989.1;3447.9;106.9;104.2;102.4
1;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2006;7099.9;16019.0;3429.3;105.7;103.2;101.4
2;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2007;7156.6;16076.4;3410.8;105.9;103.3;101.3
3;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2008;7228.1;16162.0;3394.0;105.8;103.2;101.3
4;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2009 voor methodewijziging;7307.3;16254.4;3382.4;105.8;103.2;101.3
5;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2009 na methodewijziging;7281.3;16209.2;3423.3;105.5;103.2;101.3
6;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2010;7337.3;16292.5;3411.0;105.5;103.2;101.3
7;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2011;7406.4;16368.0;3394.8;105.6;103.2;101.3
8;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2012;7458.1;16414.9;3370.5;105.6;103.3;101.4
9;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2013;7480.8;16431.4;3350.5;105.8;103.4;101.6
10;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Nederland;2014;7556.3;16510.7;3334.7;106.1;103.7;101.7
11;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2005;738.6;1666.0;353.4;107.6;104.4;102.1
12;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2006;743.4;1668.1;351.3;106.6;103.6;101.2
13;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2007;748.6;1671.1;349.7;106.8;103.6;101.1
14;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2008;754.1;1674.5;346.7;106.7;103.6;101.1
15;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2009 voor methodewijziging;761.2;1680.6;345.2;106.7;103.6;101.1
16;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2009 na methodewijziging;757.9;1674.5;349.4;106.5;103.6;101.1
17;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2010;762.1;1678.2;346.9;106.5;103.6;101.1
18;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2011;767.5;1679.3;344.1;106.6;103.7;101.1
19;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2012;771.4;1678.3;340.3;106.5;103.7;101.1
20;Totaal particuliere huishoudens;Ten minste 1 jaar;Totaal huishouden;Noord-Nederland (LD);2013;772.3;1673.8;336.1;106.7;103.8;101.2
