ID;Huishoudenskenmerken;Perioden;ZeerMoeilijkRondkomen_1;MaandelijkseWoonkostenZijnZwareLast_2;LeningenZijnZwareLast_3;EenWarmeMaaltijdOmDeAndereDag_4;HetRegelmatigKopenVanNieuweKleding_5;HetVerwarmenVanHetHuis_6;HetVervangenVanVersletenMeubels_7;HetTeEtenVragenVanFamilieKennissen_8;JaarlijksEenWeekVakantie_9;OnverwachteNoodzakelijkeUitgaven_10;MinstensEenVanDeGenoemdeItems_11;HuurOfHypotheek_12;GasWaterEnElektriciteit_13;OpAfbetalingGekochteArtikelen_14;OpMinstensEenVanDeGenoemdeItems_15
0;Particuliere huishoudens;2005;17;18;3;3;17;3;27;10;20;28;41;4;3;1;6
1;Particuliere huishoudens;2006;15;16;3;3;14;3;24;9;18;26;37;3;3;1;5
2;Particuliere huishoudens;2007;11;13;2;2;12;2;22;7;17;24;35;3;2;1;4
3;Particuliere huishoudens;2008;12;12;2;2;12;2;20;7;16;22;33;2;2;1;3
4;Particuliere huishoudens;2009;11;10;2;2;12;2;21;7;15;21;32;3;2;1;4
5;Particuliere huishoudens;2010;13;12;2;3;14;3;22;8;18;25;36;3;2;1;5
6;Particuliere huishoudens;2011;14;12;3;3;14;2;23;8;20;25;36;3;2;1;5
7;Particuliere huishoudens;2012;14;12;2;3;15;2;24;9;20;25;37;4;2;1;5
8;Particuliere huishoudens;2013;17;13;2;3;18;3;25;10;22;26;39;4;2;1;5
9;Particuliere huishoudens;2014;16;13;3;3;17;3;26;10;20;26;38;4;3;1;6
10;Particuliere huishoudens;2015;15;11;3;3;17;4;25;10;19;27;37;4;3;1;5
11;Particuliere huishoudens;2016;15;12;3;3;16;3;24;11;19;26;38;3;2;1;5
12;Particuliere huishoudens;2017;14;11;3;3;16;3;23;11;18;25;35;4;2;1;5
13;Particuliere huishoudens;2018;12;10;2;3;15;3;22;11;17;25;35;3;2;1;4
14;Particuliere huishoudens;2019;12;10;2;3;16;4;23;12;18;25;37;3;2;1;4
15;Particuliere huishoudens;2020;9;7;2;2;14;3;20;11;16;23;34;2;1;0;3
16;Particuliere huishoudens;2021;7;7;2;2;14;3;20;11;16;19;31;2;1;1;3
17;Particuliere huishoudens;2022;9;7;2;3;15;7;21;12;16;18;33;2;2;1;3
18;Particuliere huishoudens;2023;9;7;1;4;15;9;22;13;16;20;35;2;1;2;3
19;Type: Eenpersoonshuishouden;2005;22;22;4;5;23;4;37;13;28;39;53;4;3;1;6
20;Type: Eenpersoonshuishouden;2006;21;20;4;6;21;5;34;13;26;36;49;4;4;0;6
21;Type: Eenpersoonshuishouden;2007;15;14;2;4;17;4;31;11;25;33;46;3;2;1;5
22;Type: Eenpersoonshuishouden;2008;16;14;2;4;17;3;28;10;22;31;45;2;2;1;4
23;Type: Eenpersoonshuishouden;2009;15;13;2;5;16;4;29;11;21;31;45;4;3;1;6
24;Type: Eenpersoonshuishouden;2010;18;16;3;6;21;4;32;11;26;38;51;5;3;2;7
25;Type: Eenpersoonshuishouden;2011;18;15;3;5;20;3;32;10;28;35;50;4;3;1;6
26;Type: Eenpersoonshuishouden;2012;19;15;2;6;23;4;33;13;28;36;50;5;2;1;6
27;Type: Eenpersoonshuishouden;2013;23;18;3;6;27;5;34;15;31;37;52;4;3;1;6
28;Type: Eenpersoonshuishouden;2014;20;16;4;5;25;5;35;14;28;37;51;5;4;1;6
29;Type: Eenpersoonshuishouden;2015;21;15;3;5;25;5;35;16;26;39;51;6;4;1;7
30;Type: Eenpersoonshuishouden;2016;20;16;4;5;25;6;37;17;28;37;52;4;3;1;6
31;Type: Eenpersoonshuishouden;2017;20;17;4;4;26;6;35;17;28;37;50;5;3;1;6
32;Type: Eenpersoonshuishouden;2018;17;13;3;5;24;5;33;16;25;37;48;4;2;1;5
33;Type: Eenpersoonshuishouden;2019;17;15;4;5;25;6;35;17;26;37;51;4;2;0;5
34;Type: Eenpersoonshuishouden;2020;15;11;3;4;22;5;32;16;25;34;48;3;2;1;4
35;Type: Eenpersoonshuishouden;2021;13;10;3;4;24;6;33;17;26;31;49;3;2;2;5
36;Type: Eenpersoonshuishouden;2022;14;11;2;5;24;11;33;18;24;29;48;2;1;1;4
37;Type: Eenpersoonshuishouden;2023;13;12;2;8;24;14;36;19;25;33;52;3;1;3;5
38;Type: Paar, totaal;2005;13;14;2;2;11;2;19;6;14;20;31;3;2;1;4
39;Type: Paar, totaal;2006;9;12;2;1;8;1;15;5;10;17;26;2;2;1;3
40;Type: Paar, totaal;2007;7;10;2;1;7;1;14;4;10;15;24;2;1;1;3
41;Type: Paar, totaal;2008;8;9;1;1;7;1;13;4;10;13;23;2;1;0;2
42;Type: Paar, totaal;2009;7;7;2;1;7;1;13;5;9;13;22;2;1;0;3
43;Type: Paar, totaal;2010;8;9;2;1;7;1;14;5;11;15;24;2;1;1;3
44;Type: Paar, totaal;2011;9;9;2;2;8;1;15;5;12;15;24;2;1;0;3
45;Type: Paar, totaal;2012;9;8;2;1;8;1;15;4;11;15;25;2;2;1;3
46;Type: Paar, totaal;2013;11;9;2;2;10;2;16;5;13;16;27;2;2;0;3
47;Type: Paar, totaal;2014;11;10;2;2;10;1;17;6;13;17;26;3;2;1;4
48;Type: Paar, totaal;2015;9;7;2;2;9;1;15;5;12;15;25;3;2;1;4
49;Type: Paar, totaal;2016;9;8;2;1;9;1;14;7;11;15;25;2;1;1;3
50;Type: Paar, totaal;2017;7;6;2;1;7;1;12;7;10;13;22;2;1;1;3
51;Type: Paar, totaal;2018;7;6;2;1;8;1;13;7;10;14;23;1;1;0;2
52;Type: Paar, totaal;2019;7;6;2;1;9;2;13;8;10;15;24;1;1;1;2
53;Type: Paar, totaal;2020;5;4;1;1;7;1;11;6;9;13;21;1;1;0;2
54;Type: Paar, totaal;2021;3;3;0;1;6;1;9;6;8;8;17;1;1;0;1
55;Type: Paar, totaal;2022;4;4;1;1;8;3;11;7;8;9;20;1;1;1;2
56;Type: Paar, totaal;2023;4;4;1;1;8;4;11;7;8;8;20;1;1;1;1
57;Type: Paar, zonder kind;2005;10;13;2;2;10;2;17;6;13;17;28;2;1;1;3
58;Type: Paar, zonder kind;2006;6;9;1;1;7;1;13;5;9;13;23;1;1;0;2
59;Type: Paar, zonder kind;2007;6;8;1;1;7;0;11;5;10;13;22;1;1;1;2
60;Type: Paar, zonder kind;2008;8;8;1;2;8;1;12;6;11;12;22;1;1;0;1
61;Type: Paar, zonder kind;2009;6;6;2;1;7;0;12;5;10;11;20;1;1;0;1
62;Type: Paar, zonder kind;2010;7;7;1;1;7;1;12;5;11;12;22;1;1;0;2
63;Type: Paar, zonder kind;2011;7;7;1;1;7;1;13;4;11;12;22;1;1;0;1
64;Type: Paar, zonder kind;2012;6;6;1;1;7;1;13;4;11;12;22;2;1;0;2
65;Type: Paar, zonder kind;2013;10;7;1;1;9;1;15;6;12;13;25;1;1;0;2
66;Type: Paar, zonder kind;2014;9;8;1;1;9;1;14;6;11;13;23;1;1;0;2
67;Type: Paar, zonder kind;2015;7;6;1;1;8;1;14;5;11;13;23;2;1;0;2
68;Type: Paar, zonder kind;2016;9;7;1;1;9;1;13;8;11;13;24;1;1;0;2
69;Type: Paar, zonder kind;2017;7;6;1;1;8;1;11;8;10;11;21;1;1;0;1
70;Type: Paar, zonder kind;2018;6;5;1;1;8;1;12;8;10;13;23;1;0;0;2
71;Type: Paar, zonder kind;2019;6;5;1;1;8;1;12;8;10;14;23;1;0;0;1
72;Type: Paar, zonder kind;2020;4;4;1;1;7;1;10;6;8;11;21;1;0;0;1
73;Type: Paar, zonder kind;2021;2;3;0;1;7;2;9;7;8;7;18;0;0;0;1
74;Type: Paar, zonder kind;2022;4;3;1;2;9;3;12;8;9;7;21;1;1;0;1
75;Type: Paar, zonder kind;2023;3;3;1;1;9;4;11;9;8;8;21;0;0;0;1
76;Type: Paar, alle kinderen < 18 jr;2005;16;16;4;2;13;2;22;7;14;22;34;4;3;1;7
77;Type: Paar, alle kinderen < 18 jr;2006;11;14;3;2;9;2;16;5;11;20;29;3;2;1;4
78;Type: Paar, alle kinderen < 18 jr;2007;7;11;2;1;7;0;15;3;9;17;25;2;2;1;3
79;Type: Paar, alle kinderen < 18 jr;2008;7;10;1;1;7;1;13;3;8;14;22;2;2;0;4
80;Type: Paar, alle kinderen < 18 jr;2009;8;9;2;1;7;1;14;4;8;15;23;2;2;1;3
81;Type: Paar, alle kinderen < 18 jr;2010;8;11;3;1;7;1;14;4;9;18;25;3;2;1;5
82;Type: Paar, alle kinderen < 18 jr;2011;10;10;3;3;8;1;17;5;11;18;27;4;2;1;4
83;Type: Paar, alle kinderen < 18 jr;2012;12;10;3;2;10;2;18;5;11;19;28;3;3;1;4
84;Type: Paar, alle kinderen < 18 jr;2013;14;11;3;3;13;3;19;5;13;22;30;4;2;1;5
85;Type: Paar, alle kinderen < 18 jr;2014;13;11;3;2;11;3;19;6;14;21;29;5;3;1;6
86;Type: Paar, alle kinderen < 18 jr;2015;10;9;3;2;9;2;17;4;13;20;27;4;3;2;6
87;Type: Paar, alle kinderen < 18 jr;2016;10;9;2;2;10;1;16;6;11;19;27;3;2;1;5
88;Type: Paar, alle kinderen < 18 jr;2017;8;6;3;1;7;1;13;5;9;16;23;3;2;1;4
89;Type: Paar, alle kinderen < 18 jr;2018;7;8;2;1;8;1;14;6;8;16;22;2;1;1;3
90;Type: Paar, alle kinderen < 18 jr;2019;7;7;2;1;9;1;15;7;8;17;24;2;1;1;3
91;Type: Paar, alle kinderen < 18 jr;2020;4;4;1;2;7;1;12;5;8;14;21;2;1;0;3
92;Type: Paar, alle kinderen < 18 jr;2021;3;4;0;1;5;1;9;4;6;9;16;1;1;0;2
93;Type: Paar, alle kinderen < 18 jr;2022;4;4;1;1;6;3;10;5;7;11;18;1;2;1;3
94;Type: Paar, alle kinderen < 18 jr;2023;4;4;1;2;6;4;11;5;6;9;18;1;1;1;2
95;Type: Paar, minstens één kind >= 18 jr;2005;16;14;3;1;13;2;21;7;14;22;34;3;3;0;4
96;Type: Paar, minstens één kind >= 18 jr;2006;13;13;2;1;9;1;17;6;11;18;29;2;2;1;4
97;Type: Paar, minstens één kind >= 18 jr;2007;9;13;3;1;8;1;17;5;12;18;29;4;3;1;5
98;Type: Paar, minstens één kind >= 18 jr;2008;10;10;1;1;6;1;13;3;14;17;27;2;2;1;4
99;Type: Paar, minstens één kind >= 18 jr;2009;8;7;1;0;7;1;14;5;10;13;23;3;3;0;4
