ID;Arbeidspositie;Onderwijs;Geslacht;Leeftijd;Perioden;BeroepsEnNietBeroepsbevolking_1
0;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2013 1e kwartaal;12617
1;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2013 2e kwartaal;12631
2;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2013 3e kwartaal;12645
3;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2013 4e kwartaal;12659
4;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2013;12638
5;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2014 1e kwartaal;12665
6;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2014 2e kwartaal;12665
7;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2014 3e kwartaal;12664
8;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2014 4e kwartaal;12664
9;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2014;12665
10;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2015 1e kwartaal;12669
11;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2015 2e kwartaal;12680
12;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2015 3e kwartaal;12691
13;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2015 4e kwartaal;12701
14;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2015 ;12685
15;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2016 1e kwartaal;12722
16;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2016 2e kwartaal;12753
17;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2016 3e kwartaal;12783
18;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2016 4e kwartaal;12814
19;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2016;12768
20;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2017 1e kwartaal;12840
21;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2017 2e kwartaal;12860
22;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2017 3e kwartaal;12880
23;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2017 4e kwartaal;12901
24;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2017;12870
25;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2018 1e kwartaal;12917
26;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2018 2e kwartaal;12930
27;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2018 3e kwartaal;12943
28;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2018 4e kwartaal;12956
29;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2018;12936
30;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2019 1e kwartaal;12975
31;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2019 2e kwartaal;13002
32;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2019 3e kwartaal;13029
33;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2019 4e kwartaal;13055
34;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2019;13015
35;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2020 1e kwartaal;13075
36;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2020 2e kwartaal;13088
37;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2020 3e kwartaal;13101
38;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2020 4e kwartaal;13113
39;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2020;13094
40;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2021 1e kwartaal;13148
41;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2021 2e kwartaal;13139
42;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2021 3e kwartaal;13128
43;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2021 4e kwartaal;13170
44;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2021;13147
45;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2022 1e kwartaal;13175
46;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2022 2e kwartaal;13212
47;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2022 3e kwartaal;13232
48;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2022 4e kwartaal;13291
49;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2022;13228
50;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2023 1e kwartaal;13307
51;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2023 2e kwartaal;13310
52;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2023 3e kwartaal;13317
53;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2023 4e kwartaal;13368
54;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2023;13326
55;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2024 1e kwartaal;13375
56;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2024 2e kwartaal;13377
57;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2024 3e kwartaal;13379
58;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2024 4e kwartaal;13418
59;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 75 jaar;2024;13387
60;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2013 1e kwartaal;2036
61;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2013 2e kwartaal;2038
62;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2013 3e kwartaal;2041
63;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2013 4e kwartaal;2044
64;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2013;2040
65;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2014 1e kwartaal;2045
66;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2014 2e kwartaal;2045
67;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2014 3e kwartaal;2045
68;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2014 4e kwartaal;2045
69;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2014;2045
70;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2015 1e kwartaal;2046
71;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2015 2e kwartaal;2048
72;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2015 3e kwartaal;2049
73;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2015 4e kwartaal;2050
74;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2015 ;2048
75;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2016 1e kwartaal;2055
76;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2016 2e kwartaal;2062
77;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2016 3e kwartaal;2069
78;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2016 4e kwartaal;2076
79;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2016;2065
80;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;15 tot 25 jaar;2017 1e kwartaal;2082
