ID;ArbeidspositieEindePeriode;LangdurigeAandoening;Geslacht;KinderenInHuishouden;Perioden;Personen15Tot65JaarBeginPeriode_1;WerkzameBeroepsbevolkingBeginPeriode_2;WerklozenNietActievenBeginPeriode_3
0;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2003 1e kwartaal;10893;6945;3948
1;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2003 2e kwartaal;10906;6959;3948
2;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2003 3e kwartaal;10906;7022;3884
3;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2003 4e kwartaal;10913;6945;3968
4;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2003;10903;6969;3934
5;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2004 1e kwartaal;10919;6894;4025
6;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2004 2e kwartaal;10923;6933;3990
7;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2004 3e kwartaal;10927;7004;3923
8;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2004 4e kwartaal;10931;6933;3998
9;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2004;10925;6941;3984
10;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2005 1e kwartaal;10935;6881;4054
11;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2005 2e kwartaal;10938;6959;3979
12;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2005 3e kwartaal;10941;7042;3900
13;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2005 4e kwartaal;10945;7010;3934
14;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2005;10940;6973;3967
15;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2006 1e kwartaal;10948;6994;3953
16;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2006 2e kwartaal;10950;7060;3890
17;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2006 3e kwartaal;10951;7170;3781
18;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2006 4e kwartaal;10956;7165;3791
19;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2006;10952;7097;3854
20;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2008 1e kwartaal;10984;7396;3588
21;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2008 2e kwartaal;10992;7495;3497
22;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2008 3e kwartaal;11001;7578;3423
23;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2008 4e kwartaal;11010;7534;3476
24;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2008;10997;7501;3496
25;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2009 1e kwartaal;11014;7500;3514
26;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2009 2e kwartaal;11014;7495;3518
27;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2009 3e kwartaal;11014;7499;3514
28;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2009 4e kwartaal;11013;7382;3631
29;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2009;11014;7469;3545
30;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2010 1e kwartaal;11014;7312;3702
31;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2010 2e kwartaal;11016;7370;3646
32;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2010 3e kwartaal;11018;7455;3563
33;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Totaal wel/geen kinderen in huishouden;2010 4e kwartaal;11020;7426;3595
34;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2003 1e kwartaal;6199;3969;2230
35;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2003 2e kwartaal;6202;3996;2206
36;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2003 3e kwartaal;6178;4047;2131
37;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2003 4e kwartaal;6202;3984;2218
38;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2003;6104;3944;2160
39;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2004 1e kwartaal;6236;3969;2267
40;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2004 2e kwartaal;6245;3986;2259
41;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2004 3e kwartaal;6221;4032;2189
42;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2004 4e kwartaal;6236;3966;2270
43;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2004;6166;3928;2238
44;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2005 1e kwartaal;6206;3936;2270
45;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2005 2e kwartaal;6201;3988;2213
46;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2005 3e kwartaal;6199;4054;2145
47;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2005 4e kwartaal;6210;4032;2177
48;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2005;6143;3959;2184
49;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2006 1e kwartaal;6213;4022;2191
50;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2006 2e kwartaal;6190;4042;2148
51;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2006 3e kwartaal;6160;4100;2060
52;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2006 4e kwartaal;6193;4117;2077
53;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2006;6110;4019;2091
54;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2008 1e kwartaal;6239;4270;1969
55;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2008 2e kwartaal;6246;4310;1936
56;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2008 3e kwartaal;6266;4393;1873
57;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2008 4e kwartaal;6280;4347;1933
58;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2008;6201;4305;1896
59;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2009 1e kwartaal;6272;4299;1974
60;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2009 2e kwartaal;6287;4334;1953
61;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2009 3e kwartaal;6278;4350;1928
62;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2009 4e kwartaal;6238;4216;2022
63;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2009;6173;4235;1938
64;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2010 1e kwartaal;6219;4175;2044
65;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2010 2e kwartaal;6226;4211;2014
66;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2010 3e kwartaal;6175;4221;1954
67;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met kinderen;2010 4e kwartaal;6171;4183;1987
68;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2003 1e kwartaal;4711;3034;1677
69;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2003 2e kwartaal;4712;3055;1657
70;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2003 3e kwartaal;4708;3108;1601
71;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2003 4e kwartaal;4706;3047;1659
72;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2003;4629;3020;1609
73;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2004 1e kwartaal;4716;3029;1687
74;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2004 2e kwartaal;4677;3010;1667
75;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2004 3e kwartaal;4670;3057;1613
76;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2004 4e kwartaal;4689;3009;1680
77;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2004;4640;2995;1646
78;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2005 1e kwartaal;4695;2994;1701
79;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2005 2e kwartaal;4671;3021;1650
80;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2005 3e kwartaal;4659;3063;1596
81;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2005 4e kwartaal;4686;3065;1622
82;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2005;4635;3012;1623
83;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2006 1e kwartaal;4702;3077;1625
84;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2006 2e kwartaal;4672;3079;1594
85;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2006 3e kwartaal;4662;3136;1526
86;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2006 4e kwartaal;4670;3139;1531
87;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2006;4619;3068;1551
88;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2008 1e kwartaal;4623;3191;1431
89;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2008 2e kwartaal;4621;3213;1407
90;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2008 3e kwartaal;4634;3275;1359
91;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2008 4e kwartaal;4636;3249;1387
92;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2008;4627;3261;1366
93;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2009 1e kwartaal;4641;3226;1415
94;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2009 2e kwartaal;4624;3229;1394
95;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2009 3e kwartaal;4613;3240;1374
96;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2009 4e kwartaal;4604;3156;1448
97;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2009;4629;3220;1409
98;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2010 1e kwartaal;4594;3133;1461
99;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2010 2e kwartaal;4571;3157;1414
100;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2010 3e kwartaal;4576;3194;1382
101;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind < 18 jaar;2010 4e kwartaal;4508;3113;1395
102;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2003 1e kwartaal;1488;935;553
103;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2003 2e kwartaal;1490;941;549
104;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2003 3e kwartaal;1470;939;530
105;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2003 4e kwartaal;1495;937;558
106;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2003;1474;924;551
107;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2004 1e kwartaal;1520;940;580
108;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2004 2e kwartaal;1569;977;592
109;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2004 3e kwartaal;1551;975;576
110;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2004 4e kwartaal;1547;957;591
111;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2004;1525;933;592
112;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2005 1e kwartaal;1511;942;568
113;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2005 2e kwartaal;1530;967;563
114;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2005 3e kwartaal;1540;991;549
115;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2005 4e kwartaal;1523;968;555
116;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2005;1508;947;562
117;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2006 1e kwartaal;1511;945;566
118;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2006 2e kwartaal;1518;963;554
119;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2006 3e kwartaal;1498;964;534
120;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2006 4e kwartaal;1523;978;545
121;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2006;1491;951;540
122;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2008 1e kwartaal;1616;1078;537
123;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2008 2e kwartaal;1626;1097;529
124;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2008 3e kwartaal;1632;1118;514
125;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2008 4e kwartaal;1645;1098;547
126;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2008;1575;1044;530
127;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2009 1e kwartaal;1631;1072;559
128;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2009 2e kwartaal;1663;1105;559
129;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2009 3e kwartaal;1664;1110;554
130;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2009 4e kwartaal;1634;1059;574
131;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2009;1544;1015;529
132;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2010 1e kwartaal;1625;1042;582
133;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2010 2e kwartaal;1655;1054;600
134;Potentiële beroepsbevolking 15 tot 65 jr;Totaal wel of geen langdurige aandoening;1;Huishouden met jongste kind >= 18 jaar;2010 3e kwartaal;1599;1027;573
