ID;Geslacht;OnderwijssoortInDetail;Herkomstland;GeboortelandOuders;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2011/'12;96820.0;89390.0;92.0
1;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2012/'13;99880.0;92750.0;93.0
2;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2013/'14;101980.0;96330.0;94.0
3;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2014/'15;105390.0;100280.0;95.0
4;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2015/'16;108060.0;102890.0;95.0
5;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2016/'17;109060.0;103200.0;95.0
6;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2017/'18;106130.0;99950.0;94.0
7;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2018/'19;103410.0;97750.0;95.0
8;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2019/'20;100090.0;99430.0;99.0
9;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2020/'21;94100.0;91890.0;98.0
10;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2021/'22;89010.0;86500.0;97.0
11;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2022/'23;86850.0;80660.0;93.0
12;Totaal mannen en vrouwen;Vmbo;Totaal;Totaal;2023/'24;91770.0;85940.0;94.0
13;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2011/'12;91840.0;84970.0;93.0
14;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2012/'13;94740.0;88210.0;93.0
15;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2013/'14;96830.0;91630.0;95.0
16;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2014/'15;100610.0;95840.0;95.0
17;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2015/'16;103340.0;98520.0;95.0
18;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2016/'17;104550.0;99040.0;95.0
19;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2017/'18;101780.0;95980.0;94.0
20;Totaal mannen en vrouwen;Vmbo;Totaal;Geboren in Nederland;2018/'19;98910.0;93610.0;95.0
