ID;Bedrijfsgroep;Geslacht;BurgerlijkeStaat;Personen_1
0;0;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;7935565
1;0;Totaal mannen en vrouwen;Ongehuwd;4532234
2;0;Totaal mannen en vrouwen;Gehuwd;3029082
3;0;Totaal mannen en vrouwen;Gescheiden van tafel en bed;8200
4;0;Totaal mannen en vrouwen;Weduwstaat;335159
5;0;Totaal mannen en vrouwen;Gescheiden van echt;30844
6;0;Totaal mannen en vrouwen;Burgerlijke staat onbekend;46
7;0;Mannen;Totaal alle burgerlijke staten;3942676
8;0;Mannen;Ongehuwd;2295230
9;0;Mannen;Gehuwd;1512875
10;0;Mannen;Gescheiden van tafel en bed;3682
11;0;Mannen;Weduwstaat;118700
12;0;Mannen;Gescheiden van echt;12152
13;0;Mannen;Burgerlijke staat onbekend;37
14;0;Vrouwen;Totaal alle burgerlijke staten;3992889
15;0;Vrouwen;Ongehuwd;2237004
16;0;Vrouwen;Gehuwd;1516207
17;0;Vrouwen;Gescheiden van tafel en bed;4518
18;0;Vrouwen;Weduwstaat;216459
19;0;Vrouwen;Gescheiden van echt;18692
20;0;Vrouwen;Burgerlijke staat onbekend;9
21;1;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;4749749
22;1;Totaal mannen en vrouwen;Ongehuwd;2965282
23;1;Totaal mannen en vrouwen;Gehuwd;1533429
24;1;Totaal mannen en vrouwen;Gescheiden van tafel en bed;3721
25;1;Totaal mannen en vrouwen;Weduwstaat;234626
26;1;Totaal mannen en vrouwen;Gescheiden van echt;12651
27;1;Totaal mannen en vrouwen;Burgerlijke staat onbekend;40
28;1;Mannen;Totaal alle burgerlijke staten;1524439
29;1;Mannen;Ongehuwd;1350645
30;1;Mannen;Gehuwd;115254
31;1;Mannen;Gescheiden van tafel en bed;697
32;1;Mannen;Weduwstaat;56050
33;1;Mannen;Gescheiden van echt;1757
34;1;Mannen;Burgerlijke staat onbekend;36
35;1;Vrouwen;Totaal alle burgerlijke staten;3225310
36;1;Vrouwen;Ongehuwd;1614637
37;1;Vrouwen;Gehuwd;1418175
38;1;Vrouwen;Gescheiden van tafel en bed;3024
39;1;Vrouwen;Weduwstaat;178576
40;1;Vrouwen;Gescheiden van echt;10894
41;1;Vrouwen;Burgerlijke staat onbekend;4
42;2;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;3185816
43;2;Totaal mannen en vrouwen;Ongehuwd;1566952
44;2;Totaal mannen en vrouwen;Gehuwd;1495653
45;2;Totaal mannen en vrouwen;Gescheiden van tafel en bed;4479
46;2;Totaal mannen en vrouwen;Weduwstaat;100533
47;2;Totaal mannen en vrouwen;Gescheiden van echt;18193
48;2;Totaal mannen en vrouwen;Burgerlijke staat onbekend;6
49;2;Mannen;Totaal alle burgerlijke staten;2418237
50;2;Mannen;Ongehuwd;944585
51;2;Mannen;Gehuwd;1397621
52;2;Mannen;Gescheiden van tafel en bed;2985
53;2;Mannen;Weduwstaat;62650
54;2;Mannen;Gescheiden van echt;10395
55;2;Mannen;Burgerlijke staat onbekend;1
56;2;Vrouwen;Totaal alle burgerlijke staten;767579
57;2;Vrouwen;Ongehuwd;622367
58;2;Vrouwen;Gehuwd;98032
59;2;Vrouwen;Gescheiden van tafel en bed;1494
60;2;Vrouwen;Weduwstaat;37883
61;2;Vrouwen;Gescheiden van echt;7798
62;2;Vrouwen;Burgerlijke staat onbekend;5
63;3;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;2635081
64;3;Totaal mannen en vrouwen;Ongehuwd;1175865
65;3;Totaal mannen en vrouwen;Gehuwd;1353829
66;3;Totaal mannen en vrouwen;Gescheiden van tafel en bed;3328
67;3;Totaal mannen en vrouwen;Weduwstaat;89129
68;3;Totaal mannen en vrouwen;Gescheiden van echt;12928
69;3;Totaal mannen en vrouwen;Burgerlijke staat onbekend;2
70;3;Mannen;Totaal alle burgerlijke staten;2208698
71;3;Mannen;Ongehuwd;870659
72;3;Mannen;Gehuwd;1268380
73;3;Mannen;Gescheiden van tafel en bed;2576
74;3;Mannen;Weduwstaat;58327
75;3;Mannen;Gescheiden van echt;8755
76;3;Mannen;Burgerlijke staat onbekend;1
77;3;Vrouwen;Totaal alle burgerlijke staten;426383
78;3;Vrouwen;Ongehuwd;305206
79;3;Vrouwen;Gehuwd;85449
80;3;Vrouwen;Gescheiden van tafel en bed;752
81;3;Vrouwen;Weduwstaat;30802
82;3;Vrouwen;Gescheiden van echt;4173
83;3;Vrouwen;Burgerlijke staat onbekend;1
84;4;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;1235912
85;4;Totaal mannen en vrouwen;Ongehuwd;589289
86;4;Totaal mannen en vrouwen;Gehuwd;613033
87;4;Totaal mannen en vrouwen;Gescheiden van tafel en bed;1588
88;4;Totaal mannen en vrouwen;Weduwstaat;26707
89;4;Totaal mannen en vrouwen;Gescheiden van echt;5293
90;4;Totaal mannen en vrouwen;Burgerlijke staat onbekend;2
91;4;Mannen;Totaal alle burgerlijke staten;1066049
92;4;Mannen;Ongehuwd;435798
93;4;Mannen;Gehuwd;601785
94;4;Mannen;Gescheiden van tafel en bed;1330
95;4;Mannen;Weduwstaat;23167
96;4;Mannen;Gescheiden van echt;3968
97;4;Mannen;Burgerlijke staat onbekend;1
98;4;Vrouwen;Totaal alle burgerlijke staten;169863
99;4;Vrouwen;Ongehuwd;153491
100;4;Vrouwen;Gehuwd;11248
101;4;Vrouwen;Gescheiden van tafel en bed;258
102;4;Vrouwen;Weduwstaat;3540
103;4;Vrouwen;Gescheiden van echt;1325
104;4;Vrouwen;Burgerlijke staat onbekend;1
105;5;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;550735
106;5;Totaal mannen en vrouwen;Ongehuwd;391087
107;5;Totaal mannen en vrouwen;Gehuwd;141824
108;5;Totaal mannen en vrouwen;Gescheiden van tafel en bed;1151
109;5;Totaal mannen en vrouwen;Weduwstaat;11404
110;5;Totaal mannen en vrouwen;Gescheiden van echt;5265
111;5;Totaal mannen en vrouwen;Burgerlijke staat onbekend;4
112;5;Mannen;Totaal alle burgerlijke staten;209539
113;5;Mannen;Ongehuwd;73926
114;5;Mannen;Gehuwd;129241
115;5;Mannen;Gescheiden van tafel en bed;409
116;5;Mannen;Weduwstaat;4323
117;5;Mannen;Gescheiden van echt;1640
118;5;Mannen;Burgerlijke staat onbekend;0
119;5;Vrouwen;Totaal alle burgerlijke staten;341196
120;5;Vrouwen;Ongehuwd;317161
121;5;Vrouwen;Gehuwd;12583
122;5;Vrouwen;Gescheiden van tafel en bed;742
123;5;Vrouwen;Weduwstaat;7081
124;5;Vrouwen;Gescheiden van echt;3625
125;5;Vrouwen;Burgerlijke staat onbekend;4
126;100;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;40084
127;100;Totaal mannen en vrouwen;Ongehuwd;17755
128;100;Totaal mannen en vrouwen;Gehuwd;21333
129;100;Totaal mannen en vrouwen;Gescheiden van tafel en bed;29
130;100;Totaal mannen en vrouwen;Weduwstaat;897
131;100;Totaal mannen en vrouwen;Gescheiden van echt;70
132;100;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
133;100;Mannen;Totaal alle burgerlijke staten;38034
134;100;Mannen;Ongehuwd;16001
135;100;Mannen;Gehuwd;21097
136;100;Mannen;Gescheiden van tafel en bed;28
137;100;Mannen;Weduwstaat;842
138;100;Mannen;Gescheiden van echt;66
139;100;Mannen;Burgerlijke staat onbekend;0
140;100;Vrouwen;Totaal alle burgerlijke staten;2050
141;100;Vrouwen;Ongehuwd;1754
142;100;Vrouwen;Gehuwd;236
143;100;Vrouwen;Gescheiden van tafel en bed;1
144;100;Vrouwen;Weduwstaat;55
145;100;Vrouwen;Gescheiden van echt;4
146;100;Vrouwen;Burgerlijke staat onbekend;0
147;101;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;17502
148;101;Totaal mannen en vrouwen;Ongehuwd;7254
149;101;Totaal mannen en vrouwen;Gehuwd;9777
150;101;Totaal mannen en vrouwen;Gescheiden van tafel en bed;12
151;101;Totaal mannen en vrouwen;Weduwstaat;440
152;101;Totaal mannen en vrouwen;Gescheiden van echt;19
153;101;Totaal mannen en vrouwen;Burgerlijke staat onbekend;0
