ID;Geslacht;Persoonskenmerken;Arbeidsgehandicapten;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal mannen en vrouwen;Totaal personen;Totaal;2015;12685;8907;8294;6971;5283;1688;1323;985;291;47;0;4053;1658;984;675;2395;1181;1213;4241;614;6.9;3778;70.2;65.4
1;Totaal mannen en vrouwen;Totaal personen;Totaal;2016;12768;8942;8403;7076;5289;1787;1328;984;311;32;0;4077;1631;949;682;2446;1145;1301;4326;539;6.0;3826;70.0;65.8
2;Totaal mannen en vrouwen;Totaal personen;Totaal;2017;12870;9017;8579;7228;5344;1883;1352;1011;315;27;0;4191;1644;961;682;2547;1198;1349;4388;438;4.9;3853;70.1;66.7
3;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2015;1703;634;551;447;349;98;104;86;14;4;0;342;148;82;66;193;102;92;210;83;13.1;1069;37.2;32.4
4;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2016;1737;587;508;424;334;90;84;64;17;4;0;320;135;72;64;184;101;84;188;79;13.5;1149;33.8;29.3
5;Totaal mannen en vrouwen;Totaal personen;Arbeidsgehandicapten;2017;1871;666;603;497;385;112;106;85;18;3;0;383;164;87;77;219;116;103;220;64;9.6;1205;35.6;32.2
6;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2015;10982;8273;7742;6524;4934;1590;1218;898;277;43;0;3711;1510;902;608;2201;1080;1122;4031;531;6.4;2709;75.3;70.5
7;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2016;11031;8354;7895;6652;4955;1697;1243;920;294;29;0;3757;1495;877;618;2262;1044;1217;4138;459;5.5;2677;75.7;71.6
8;Totaal mannen en vrouwen;Totaal personen;Niet-arbeidsgehandicapten;2017;10999;8351;7977;6731;4959;1772;1246;926;296;24;0;3808;1480;874;606;2329;1082;1247;4169;374;4.5;2648;75.9;72.5
9;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;2015;2048;1402;1245;1176;390;786;68;61;2;5;0;972;745;564;181;227;108;119;273;158;11.3;646;68.5;60.8
10;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;2016;2065;1408;1256;1187;376;811;69;62;2;6;0;988;741;558;183;248;116;132;268;152;10.8;657;68.2;60.8
11;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;2017;2088;1427;1300;1242;368;873;58;53;2;4;0;1018;769;579;190;249;120;129;282;126;8.9;661;68.3;62.3
12;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Arbeidsgehandicapten;2015;126;60;49;44;13;31;4;4;0;0;0;42;30;21;8;12;5;7;7;11;18.2;67;47.2;38.6
13;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Arbeidsgehandicapten;2016;120;47;38;36;10;25;2;2;0;0;0;33;21;18;3;12;6;6;5;9;19.9;72;39.7;31.8
14;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Arbeidsgehandicapten;2017;126;57;47;45;14;31;2;2;0;0;0;38;27;20;7;12;5;6;9;10;16.9;69;45.0;37.4
15;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Niet-arbeidsgehandicapten;2015;1922;1343;1196;1132;377;755;64;56;2;5;0;930;715;543;173;215;103;112;265;147;10.9;579;69.9;62.2
16;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Niet-arbeidsgehandicapten;2016;1946;1361;1218;1152;366;786;66;59;2;5;0;956;720;540;180;236;109;126;262;143;10.5;585;69.9;62.6
17;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Niet-arbeidsgehandicapten;2017;1962;1370;1253;1197;355;842;56;51;2;3;0;980;742;559;183;238;115;123;273;117;8.5;592;69.8;63.9
18;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Totaal;2015;10950;8726;8121;6895;5246;1649;1226;901;282;44;0;3915;1562;908;653;2353;1152;1201;4206;605;6.9;2224;79.7;74.2
19;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Totaal;2016;10988;8755;8224;6983;5242;1741;1242;907;304;31;0;3930;1524;870;654;2406;1119;1287;4294;531;6.1;2233;79.7;74.9
20;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Totaal;2017;11044;8810;8381;7129;5285;1844;1251;920;306;26;0;4029;1535;885;650;2494;1167;1327;4352;429;4.9;2234;79.8;75.9
21;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Arbeidsgehandicapten;2015;1430;621;538;442;346;96;96;80;13;3;0;334;143;78;65;191;100;91;205;83;13.3;808;43.5;37.7
22;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Arbeidsgehandicapten;2016;1391;576;497;417;329;88;80;60;16;4;0;311;130;68;62;181;99;83;186;79;13.7;815;41.4;35.7
23;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Arbeidsgehandicapten;2017;1504;647;585;487;380;107;98;77;18;3;0;369;154;78;76;214;114;101;216;62;9.6;857;43.0;38.9
24;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Niet-arbeidsgehandicapten;2015;9521;8105;7583;6453;4900;1553;1130;821;269;41;0;3581;1419;830;589;2162;1052;1111;4001;522;6.4;1416;85.1;79.6
25;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Niet-arbeidsgehandicapten;2016;9597;8179;7727;6566;4913;1653;1162;847;287;27;0;3618;1394;802;592;2224;1020;1205;4109;452;5.5;1418;85.2;80.5
26;Totaal mannen en vrouwen;Leeftijd: 15 tot 65 jaar;Niet-arbeidsgehandicapten;2017;9540;8162;7795;6642;4905;1737;1153;842;288;23;0;3660;1381;807;574;2279;1053;1226;4135;367;4.5;1377;85.6;81.7
27;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Totaal;2015;4176;3674;3469;2988;2393;595;480;349;113;19;0;1420;344;134;210;1076;509;566;2049;205;5.6;502;88.0;83.1
28;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Totaal;2016;4165;3646;3479;2990;2363;626;489;355;124;10;0;1392;308;118;189;1085;475;609;2087;167;4.6;518;87.6;83.5
29;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Totaal;2017;4177;3646;3510;3019;2373;645;492;356;127;9;0;1396;295;118;177;1101;495;606;2114;136;3.7;531;87.3;84.0
30;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Arbeidsgehandicapten;2015;394;194;167;141;106;35;26;23;2;1;0;98;32;13;19;66;33;33;69;27;13.8;200;49.2;42.4
31;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Arbeidsgehandicapten;2016;383;185;157;136;105;31;21;16;4;2;0;94;30;11;19;63;32;31;63;28;14.9;198;48.2;41.0
32;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Arbeidsgehandicapten;2017;425;212;189;162;120;42;27;24;2;1;0;114;38;19;19;76;42;34;75;23;10.8;213;50.0;44.6
