ID;Geslacht;Arbeidskenmerken;GeregistreerdWerkzoekendeBijUWV;Onderwijsvolgend;Persoonskenmerken;Uitkering;Perioden;Jongeren15Tot27Jaar_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2005;2349100.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2006;2361800.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2007;2373500.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2008;2391300.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2009;2417300.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2010;2441900.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2011;2458700.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2012;2469600.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2013;2475500.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2014;2489100.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2015;2511900.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2016;2542800.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2017;2560600.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2018;2575900.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2019;2591600.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2020;2585900.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2021;2596700.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2022;2640100.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Totaal met of zonder uitkering;2023;2668500.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2005;129600.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2006;115700.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2007;115400.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2008;115600.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2009;146800.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2010;153300.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2011;158100.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2012;168800.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2013;184600.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2014;178200.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2015;169100.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2016;161000.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2017;148300.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2018;131300.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2019;118800.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2020;173900.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2021;131500.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2022;113500.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Met uitkering sociale zekerheid;2023;115700.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2005;2219500.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2006;2246200.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2007;2258000.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2008;2275700.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2009;2270500.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2010;2288600.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2011;2300600.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2012;2300800.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2013;2290900.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2014;2310900.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2015;2342800.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2016;2381800.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2017;2412300.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2018;2444600.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2019;2472800.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2020;2411900.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2021;2465300.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2022;2526600.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal personen;Zonder uitkering sociale zekerheid;2023;2552700.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Leeftijd: 15 tot 20 jaar;Totaal met of zonder uitkering;2005;988400.0
