ID;SamenstellingVanHetHuishouden;HerkomstlandHuishouden;GeboortelandReferentiepersoon;GeboortelandPartner;Perioden;ParticuliereHuishoudens_1
0;Totaal particuliere huishoudens;Totaal;Totaal;Totaal;2022;8138591.0
1;Totaal particuliere huishoudens;Totaal;Totaal;Totaal;2023;8270244.0
2;Totaal particuliere huishoudens;Totaal;Totaal;Totaal;2024;8374404.0
3;Totaal particuliere huishoudens;Totaal;Totaal;Zelfde land als referentiepersoon;2022;3788291.0
4;Totaal particuliere huishoudens;Totaal;Totaal;Zelfde land als referentiepersoon;2023;3797022.0
5;Totaal particuliere huishoudens;Totaal;Totaal;Zelfde land als referentiepersoon;2024;3802398.0
6;Totaal particuliere huishoudens;Totaal;Totaal;Ander land dan referentiepersoon;2022;539503.0
7;Totaal particuliere huishoudens;Totaal;Totaal;Ander land dan referentiepersoon;2023;554020.0
8;Totaal particuliere huishoudens;Totaal;Totaal;Ander land dan referentiepersoon;2024;566338.0
9;Totaal particuliere huishoudens;Totaal;Totaal;Overig;2022;3810797.0
10;Totaal particuliere huishoudens;Totaal;Totaal;Overig;2023;3919202.0
11;Totaal particuliere huishoudens;Totaal;Totaal;Overig;2024;4005668.0
12;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Totaal;2022;6681076.0
13;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Totaal;2023;6680220.0
14;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Totaal;2024;6712300.0
15;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Zelfde land als referentiepersoon;2022;3439286.0
16;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Zelfde land als referentiepersoon;2023;3422241.0
17;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Zelfde land als referentiepersoon;2024;3406401.0
18;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Ander land dan referentiepersoon;2022;265025.0
19;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Ander land dan referentiepersoon;2023;269421.0
20;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Ander land dan referentiepersoon;2024;273969.0
21;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Overig;2022;2976765.0
22;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Overig;2023;2988558.0
23;Totaal particuliere huishoudens;Totaal;Geboren in Nederland;Overig;2024;3031930.0
24;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Totaal;2022;1457515.0
25;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Totaal;2023;1590024.0
26;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Totaal;2024;1662104.0
27;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Zelfde land als referentiepersoon;2022;349005.0
28;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Zelfde land als referentiepersoon;2023;374781.0
29;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Zelfde land als referentiepersoon;2024;395997.0
30;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Ander land dan referentiepersoon;2022;274478.0
31;Totaal particuliere huishoudens;Totaal;Geboren buiten Nederland;Ander land dan referentiepersoon;2023;284599.0
