ID;Geslacht;Leeftijd;Herkomstland;GeboortelandOuders;DuurVanDeUitkeringssituatie;Perioden;PersonenVanWieBijstandIsBeeindigd_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2012;109580.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2013;117110.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2014;127020.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2015;125930.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2016;119920.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2017;118100.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2018;113610.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2019;99980.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2020;85510.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2021;98030.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2022;83550.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2023;72560.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2012;39770.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2013;41700.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2014;42580.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2015;37030.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2016;34840.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2017;30450.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2018;26020.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2019;22520.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2020;28480.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2021;25040.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2022;17250.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;0 tot 6 maanden;2023;16100.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2012;24690.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2013;25380.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2014;28880.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2015;26670.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2016;24350.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2017;21880.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2018;17970.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2019;15300.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2020;13360.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2021;18050.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2022;12160.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;6 tot 12 maanden;2023;10980.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2012;16610.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2013;24790.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2014;25040.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2015;27360.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2016;24140.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2017;24080.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2018;22710.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2019;17580.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2020;12450.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2021;18450.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2022;16040.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1 tot 2 jaar;2023;12360.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2012;8710.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2013;7990.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2014;12630.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2015;12600.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2016;13210.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2017;13810.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2018;14970.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2019;12850.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2020;7630.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2021;8640.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2022;9430.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2 tot 3 jaar;2023;8020.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2012;4730.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2013;4650.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2014;5050.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2015;7960.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2016;7430.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2017;8720.0
66;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2018;9400.0
67;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2019;9030.0
68;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2020;5980.0
69;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2021;6260.0
70;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2022;5940.0
71;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;3 tot 4 jaar;2023;5290.0
72;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2012;2820.0
73;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2013;2920.0
74;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2014;3290.0
75;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2015;3680.0
76;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2016;5270.0
77;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2017;5550.0
78;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2018;6070.0
79;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2019;5850.0
80;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2020;4350.0
81;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2021;5000.0
82;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2022;4520.0
83;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;4 tot 5 jaar;2023;3640.0
84;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2012;12240.0
85;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2013;9680.0
86;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2014;9560.0
87;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2015;10620.0
88;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2016;10680.0
89;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2017;13620.0
90;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2018;16460.0
91;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2019;16850.0
92;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2020;13270.0
93;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2021;16600.0
94;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2022;18200.0
95;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;5 jaar of langer;2023;16170.0
96;Totaal mannen en vrouwen;Totaal;Totaal;Geboren in Nederland;Totaal;2012;65610.0
97;Totaal mannen en vrouwen;Totaal;Totaal;Geboren in Nederland;Totaal;2013;73510.0
98;Totaal mannen en vrouwen;Totaal;Totaal;Geboren in Nederland;Totaal;2014;81220.0
