ID;Geslacht;Leeftijden;TypeZorg;Inkomensgroepen;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;0;2009;620890;4.76;99194;160;7.6
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;0;2010;629155;4.79;101725;162;7.7
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;1;2009;45490;3.77;6977;153;5.7
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;1;2010;36915;3.07;5506;149;4.5
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;2;2009;166160;13.13;30059;181;23.7
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;2;2010;151040;11.97;27266;181;21.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;3;2009;129905;10.22;22276;171;17.5
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;3;2010;148885;11.47;26229;176;20.2
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4;2009;80530;6.41;12757;158;10.1
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4;2010;92145;7.21;15012;163;11.7
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;5;2009;53830;4.23;7907;147;6.2
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;5;2010;56465;4.4;8480;150;6.6
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;6;2009;40170;3.1;5514;137;4.2
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;6;2010;41225;3.16;5800;141;4.4
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;7;2009;33440;2.51;4462;133;3.3
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;7;2010;33565;2.51;4513;134;3.3
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;8;2009;27305;1.99;3492;128;2.5
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;8;2010;26930;1.96;3492;130;2.5
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;9;2009;23120;1.65;2919;126;2.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;9;2010;22090;1.58;2776;126;1.9
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;10e 10%-inkomensgroep (hoog inkomen);2009;20945;1.51;2832;135;2.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;10e 10%-inkomensgroep (hoog inkomen);2010;19890;1.43;2652;133;1.9
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;1e 20%-inkomensgroep (laag inkomen);2009;211650;8.56;37036;175;14.9
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;1e 20%-inkomensgroep (laag inkomen);2010;187960;7.62;32772;174;13.2
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;2e 20%-inkomensgroep;2009;210435;8.33;35032;166;13.8
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;2e 20%-inkomensgroep;2010;241030;9.36;41241;171;16.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;3e 20%-inkomensgroep;2009;94000;3.66;13421;143;5.2
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;3e 20%-inkomensgroep;2010;97690;3.77;14280;146;5.5
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4e 20%-inkomensgroep;2009;60745;2.25;7954;131;2.9
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;4e 20%-inkomensgroep;2010;60495;2.23;8004;132;2.9
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;5e 20%-inkomensgroep (hoog inkomen);2009;44065;1.58;5751;131;2.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;5e 20%-inkomensgroep (hoog inkomen);2010;41980;1.5;5428;129;1.9
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;0;2009;243535;1.87;28900;119;2.2
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;0;2010;242320;1.84;29442;122;2.2
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;1;2009;20700;1.71;2435;118;2.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;1;2010;17145;1.42;2031;118;1.6
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;2;2009;72750;5.75;9181;126;7.2
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;2;2010;67410;5.34;8594;127;6.8
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;3;2009;53920;4.24;6603;122;5.2
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;3;2010;60325;4.65;7613;126;5.8
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4;2009;33000;2.63;3921;119;3.1
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4;2010;37155;2.91;4527;122;3.5
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;5;2009;20585;1.62;2335;113;1.8
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;5;2010;20895;1.63;2440;117;1.9
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;6;2009;13945;1.08;1490;107;1.1
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;6;2010;13545;1.04;1487;110;1.1
