ID;Geslacht;Leeftijd;Afstudeerrichting;Herkomstgroepering;Peilmoment;Arbeidsmarktposities;Perioden;AfgestudeerdenHogerOnderwijs_1;AfgestudeerdenTotaal_2;AfgestudeerdenBachelor_3;AfgestudeerdenMasterVervolgopleiding_4;AfgestudeerdenTotaal_5;AfgestudeerdenBachelor_6;AfgestudeerdenDoctoraalMaster_7;AfgestudeerdenVervolgopleiding_8
0;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2004/'05;55180.0;33060.0;32480.0;580.0;22120.0;800.0;18980.0;2340.0
1;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2005/'06;58760.0;34180.0;33570.0;610.0;24580.0;1190.0;20930.0;2470.0
2;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2006/'07;62530.0;36500.0;35880.0;610.0;26030.0;1430.0;21970.0;2630.0
3;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2007/'08;61730.0;37290.0;36640.0;640.0;24440.0;1610.0;20240.0;2600.0
4;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2004/'05;43570.0;26830.0;26390.0;440.0;16740.0;510.0;14410.0;1820.0
5;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2005/'06;46250.0;27340.0;26890.0;450.0;18910.0;750.0;16170.0;1990.0
6;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2006/'07;50080.0;30110.0;29640.0;470.0;19970.0;910.0;16860.0;2200.0
7;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2007/'08;50140.0;31370.0;30890.0;480.0;18770.0;1080.0;15510.0;2180.0
8;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2004/'05;42700.0;26280.0;25900.0;380.0;16420.0;490.0;14190.0;1740.0
9;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2005/'06;45090.0;26610.0;26210.0;400.0;18480.0;710.0;15900.0;1860.0
10;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2006/'07;48790.0;29350.0;28970.0;380.0;19450.0;870.0;16560.0;2020.0
11;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2007/'08;48750.0;30440.0;30050.0;390.0;18320.0;1030.0;15280.0;2010.0
12;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2004/'05;18850.0;10560.0;10480.0;80.0;8300.0;170.0;6830.0;1300.0
13;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2005/'06;18830.0;9780.0;9710.0;70.0;9050.0;230.0;7480.0;1340.0
14;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2006/'07;21420.0;11200.0;11120.0;80.0;10220.0;300.0;8390.0;1520.0
15;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2007/'08;20900.0;11240.0;11160.0;80.0;9670.0;400.0;7770.0;1500.0
16;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2004/'05;23850.0;15730.0;15420.0;310.0;8120.0;320.0;7360.0;430.0
17;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2005/'06;26260.0;16830.0;16500.0;330.0;9430.0;480.0;8420.0;520.0
18;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2006/'07;27370.0;18140.0;17840.0;300.0;9230.0;560.0;8160.0;510.0
19;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2007/'08;27850.0;19200.0;18890.0;310.0;8650.0;630.0;7510.0;510.0
20;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2004/'05;870.0;540.0;490.0;50.0;320.0;20.0;220.0;90.0
21;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2005/'06;1170.0;730.0;670.0;60.0;430.0;30.0;270.0;130.0
22;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2006/'07;1290.0;760.0;670.0;90.0;530.0;50.0;310.0;170.0
23;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2007/'08;1390.0;940.0;840.0;90.0;460.0;50.0;230.0;170.0
24;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2004/'05;1490.0;950.0;920.0;30.0;540.0;40.0;470.0;40.0
25;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2005/'06;1000.0;550.0;530.0;20.0;450.0;40.0;370.0;30.0
26;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2006/'07;810.0;440.0;420.0;20.0;380.0;60.0;280.0;30.0
27;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2007/'08;750.0;430.0;400.0;30.0;320.0;40.0;260.0;20.0
28;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2004/'05;130.0;80.0;70.0;0.0;50.0;0.0;40.0;10.0
29;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2005/'06;130.0;80.0;80.0;0.0;50.0;10.0;40.0;0.0
30;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2006/'07;160.0;90.0;90.0;0.0;70.0;20.0;60.0;0.0
31;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2007/'08;140.0;80.0;80.0;0.0;60.0;20.0;50.0;0.0
32;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2004/'05;180.0;110.0;110.0;0.0;70.0;0.0;70.0;0.0
33;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2005/'06;90.0;50.0;40.0;0.0;50.0;10.0;40.0;0.0
34;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2006/'07;80.0;40.0;40.0;0.0;40.0;0.0;30.0;0.0
35;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2007/'08;90.0;60.0;50.0;0.0;40.0;0.0;30.0;0.0
36;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2004/'05;520.0;300.0;300.0;0.0;220.0;10.0;190.0;20.0
37;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2005/'06;250.0;130.0;130.0;0.0;120.0;10.0;90.0;20.0
38;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2006/'07;170.0;100.0;90.0;0.0;70.0;20.0;50.0;10.0
39;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2007/'08;140.0;70.0;70.0;0.0;60.0;10.0;50.0;10.0
40;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Andere uitkering;Cohort 2004/'05;670.0;470.0;450.0;20.0;200.0;20.0;170.0;20.0
41;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Andere uitkering;Cohort 2005/'06;530.0;290.0;270.0;20.0;240.0;20.0;210.0;10.0
42;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Andere uitkering;Cohort 2006/'07;400.0;210.0;200.0;10.0;190.0;30.0;150.0;20.0
43;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Andere uitkering;Cohort 2007/'08;380.0;220.0;200.0;20.0;160.0;10.0;140.0;10.0
44;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Doorstuderende afgestudeerden;Cohort 2004/'05;830.0;610.0;610.0;0.0;220.0;50.0;150.0;20.0
45;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Doorstuderende afgestudeerden;Cohort 2005/'06;2120.0;1520.0;1500.0;20.0;590.0;90.0;470.0;30.0
46;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Doorstuderende afgestudeerden;Cohort 2006/'07;1970.0;1340.0;1320.0;20.0;630.0;110.0;500.0;20.0
47;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Doorstuderende afgestudeerden;Cohort 2007/'08;660.0;490.0;490.0;0.0;170.0;50.0;100.0;20.0
48;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Overige afgestudeerden;Cohort 2004/'05;9300.0;4680.0;4560.0;120.0;4620.0;210.0;3950.0;460.0
49;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Overige afgestudeerden;Cohort 2005/'06;9400.0;4770.0;4650.0;120.0;4630.0;310.0;3910.0;410.0
50;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Overige afgestudeerden;Cohort 2006/'07;9670.0;4620.0;4500.0;110.0;5050.0;350.0;4320.0;380.0
51;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Overige afgestudeerden;Cohort 2007/'08;10170.0;5000.0;4860.0;140.0;5170.0;430.0;4360.0;380.0
52;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Emigratie/sterfte;Cohort 2004/'05;;;;;;;;
53;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Emigratie/sterfte;Cohort 2005/'06;;;;;;;;
54;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Emigratie/sterfte;Cohort 2006/'07;;;;;;;;
55;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Emigratie/sterfte;Cohort 2007/'08;;;;;;;;
56;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2004/'05;55180.0;33060.0;32480.0;580.0;22120.0;800.0;18980.0;2340.0
57;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2005/'06;58760.0;34180.0;33570.0;610.0;24580.0;1190.0;20930.0;2470.0
58;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2006/'07;62530.0;36500.0;35880.0;610.0;26030.0;1430.0;21970.0;2630.0
59;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2007/'08;;;;;;;;
60;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2004/'05;48530.0;29200.0;28760.0;440.0;19330.0;540.0;16640.0;2150.0
61;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2005/'06;52100.0;30450.0;29940.0;500.0;21650.0;810.0;18540.0;2310.0
62;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2006/'07;55550.0;32810.0;32340.0;480.0;22740.0;950.0;19330.0;2460.0
63;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2007/'08;;;;;;;;
64;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2004/'05;47220.0;28330.0;27960.0;370.0;18890.0;510.0;16350.0;2030.0
65;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2005/'06;50580.0;29450.0;29030.0;420.0;21130.0;760.0;18230.0;2140.0
66;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2006/'07;53870.0;31740.0;31380.0;360.0;22130.0;900.0;18980.0;2250.0
67;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2007/'08;;;;;;;;
68;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2004/'05;30000.0;16550.0;16440.0;110.0;13450.0;250.0;11610.0;1590.0
69;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2005/'06;32870.0;17560.0;17450.0;110.0;15310.0;420.0;13230.0;1670.0
70;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2006/'07;35410.0;19180.0;19050.0;130.0;16230.0;510.0;13920.0;1810.0
71;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2007/'08;;;;;;;;
72;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2004/'05;17220.0;11780.0;11530.0;250.0;5440.0;260.0;4740.0;440.0
73;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2005/'06;17710.0;11900.0;11580.0;310.0;5820.0;350.0;5000.0;470.0
74;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2006/'07;18460.0;12570.0;12330.0;230.0;5900.0;390.0;5060.0;440.0
75;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2007/'08;;;;;;;;
76;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2004/'05;1310.0;870.0;800.0;80.0;440.0;30.0;280.0;130.0
77;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2005/'06;1510.0;990.0;910.0;80.0;520.0;40.0;310.0;170.0
78;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2006/'07;1680.0;1070.0;960.0;110.0;610.0;50.0;350.0;210.0
79;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2007/'08;;;;;;;;
80;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2004/'05;1010.0;700.0;680.0;20.0;320.0;40.0;260.0;20.0
81;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2005/'06;800.0;580.0;560.0;20.0;220.0;40.0;170.0;10.0
82;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2006/'07;950.0;650.0;620.0;30.0;300.0;60.0;220.0;20.0
83;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2007/'08;;;;;;;;
84;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2004/'05;120.0;80.0;80.0;0.0;40.0;10.0;30.0;0.0
85;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2005/'06;110.0;70.0;70.0;0.0;40.0;10.0;30.0;0.0
86;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2006/'07;140.0;80.0;70.0;0.0;70.0;20.0;40.0;0.0
