ID;Geslacht;Migratieachtergrond;Generatie;Regiokenmerken;Perioden;TotaalDeelnemersVavo_1;VavoDeelnemersVmboT_2;VavoDeelnemersHavo_3;VavoDeelnemersVwo_4
0;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2006/'07;11986.0;2714.0;6631.0;2641.0
1;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2007/'08;13078.0;2719.0;7337.0;3022.0
2;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2008/'09;15364.0;2453.0;9509.0;3402.0
3;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2009/'10;16665.0;2540.0;9387.0;4738.0
4;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2010/'11;15175.0;2256.0;9108.0;3811.0
5;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2011/'12;13721.0;2143.0;8222.0;3356.0
6;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2012/'13;13334.0;2181.0;7555.0;3598.0
7;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2013/'14;13453.0;2327.0;7907.0;3219.0
8;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2014/'15;13791.0;2285.0;7955.0;3551.0
9;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2015/'16;15522.0;2480.0;9106.0;3936.0
10;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2016/'17;16250.0;2513.0;9603.0;4134.0
11;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2017/'18;16674.0;2723.0;9654.0;4297.0
12;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2018/'19;16200.0;2448.0;9385.0;4367.0
13;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2019/'20;15558.0;2338.0;8769.0;4451.0
14;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2020/'21;9876.0;1335.0;6035.0;2506.0
15;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Nederland;2021/'22;12252.0;1445.0;7227.0;3580.0
16;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2006/'07;689.0;86.0;440.0;163.0
17;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2007/'08;846.0;83.0;538.0;225.0
18;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2008/'09;1113.0;87.0;763.0;263.0
19;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2009/'10;1279.0;93.0;772.0;414.0
20;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2010/'11;1179.0;83.0;776.0;320.0
21;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2011/'12;1123.0;88.0;728.0;307.0
22;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2012/'13;1145.0;120.0;698.0;327.0
23;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2013/'14;979.0;95.0;621.0;263.0
24;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2014/'15;982.0;89.0;606.0;287.0
25;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;Noord-Nederland (LD);2015/'16;1166.0;106.0;715.0;345.0
