ID;Geslacht;Leeftijd;BurgerlijkeStaat;Migratieachtergrond;Perioden;GemiddeldAantalVerzekerdeJarenAOW_1;GemiddeldOpbouwpercentageAOW_2
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2004;23.0;93.9
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2005;24.0;94.1
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2006;24.0;94.2
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2007;24.0;94.2
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2008;24.0;94.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2009;24.0;93.9
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2010;24.0;93.9
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2011;24.0;93.9
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2012;24.0;93.6
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2013;23.0;93.8
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2014;23.0;93.7
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2015;23.0;93.8
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2004;25.0;98.6
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2005;25.0;98.7
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2006;26.0;98.7
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2007;26.0;98.7
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2008;26.0;98.7
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2009;26.0;98.8
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2010;26.0;98.8
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2011;26.0;98.9
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2012;26.0;98.9
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2013;25.0;98.9
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2014;25.0;98.9
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederlandse achtergrond;2015;25.0;99.0
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2004;16.0;75.1
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2005;17.0;75.9
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2006;17.0;76.5
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2007;17.0;76.5
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2008;17.0;76.0
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2009;17.0;75.9
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2010;17.0;76.0
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2011;17.0;76.4
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2012;17.0;75.6
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2013;17.0;76.5
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2014;17.0;76.7
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Met migratieachtergrond;2015;17.0;77.3
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2004;14.0;61.4
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2005;15.0;62.3
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2006;15.0;62.8
39;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2007;15.0;62.8
40;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2008;16.0;62.0
41;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2009;16.0;61.7
42;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2010;16.0;61.8
43;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2011;16.0;62.5
44;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2012;16.0;60.9
45;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2013;16.0;63.2
46;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2014;16.0;63.3
47;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;1e generatie migratieachtergrond;2015;16.0;64.4
48;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2004;20.0;97.8
49;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2005;20.0;97.9
50;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2006;19.0;98.0
51;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2007;19.0;98.0
52;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2008;19.0;98.0
53;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2009;19.0;98.0
54;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2010;19.0;98.0
55;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2011;19.0;98.0
56;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2e generatie migratieachtergrond;2012;19.0;98.1
