ID;Institutionalinvestors;Periods;TotalForeignInvestments_1;DirectProperty_2;EquityInvestmentFundSharesOrUnits_3;DebtSecurities_4;LongTermLoans_5;OtherInvestments_6
0;Total institutional investors;1980;8.7;1.7;4.0;1.5;1.2;0.3
1;Total institutional investors;1981;9.8;1.9;4.4;1.8;1.4;0.4
2;Total institutional investors;1982;12.5;2.1;4.5;3.2;1.9;0.8
3;Total institutional investors;1983;17.4;2.6;7.3;4.0;2.5;1.0
4;Total institutional investors;1984;20.8;3.0;7.9;5.3;3.2;1.3
5;Total institutional investors;1985;24.8;3.2;9.5;6.7;4.1;1.4
6;Total institutional investors;1986;30.8;3.8;12.4;9.4;4.3;1.0
7;Total institutional investors;1987;33.4;4.6;11.9;10.5;4.2;2.1
8;Total institutional investors;1988;41.6;5.9;16.8;11.9;4.1;2.9
9;Total institutional investors;1989;45.4;7.4;22.1;10.9;4.0;1.0
10;Total institutional investors;1990;42.0;7.5;19.0;10.6;3.9;0.9
11;Total institutional investors;1991;51.5;8.9;25.8;12.1;4.1;0.6
12;Total institutional investors;1992;55.4;8.3;27.8;13.5;4.2;1.5
13;Total institutional investors;1993;79.3;8.5;42.3;20.9;4.5;3.2
14;Total institutional investors;1994;80.2;8.8;45.3;20.7;3.8;1.5
15;Total institutional investors;1995;98.6;9.0;55.6;29.0;4.3;0.6
16;Total institutional investors;1996;125.5;10.6;70.1;39.9;4.2;0.7
17;Total institutional investors;1997;175.4;12.1;97.3;59.8;4.7;1.6
18;Total institutional investors;1998;235.0;13.0;130.4;85.4;4.8;1.4
19;Total institutional investors;1999;370.1;15.1;230.4;116.3;5.6;2.6
20;Total institutional investors;2000;411.9;21.4;236.1;146.5;5.1;2.8
21;Total institutional investors;2001;442.7;23.2;234.2;177.6;5.1;2.6
22;Total institutional investors;2002;406.8;15.7;181.8;202.1;4.0;3.3
23;Total institutional investors;2003;473.0;14.9;221.1;230.7;2.8;3.5
24;Total institutional investors;2004;556.2;13.6;251.6;281.9;2.0;7.1
25;Total institutional investors;2005 1st quarter;590.6;14.2;278.2;288.3;2.2;7.6
26;Total institutional investors;2005 2nd quarter;635.7;14.9;303.3;309.9;2.2;5.4
27;Total institutional investors;2005 3rd quarter;667.9;15.4;324.0;318.7;2.2;7.6
28;Total institutional investors;2005 4th quarter;688.8;16.4;336.7;325.8;1.5;8.5
29;Total institutional investors;2005;688.8;16.4;336.7;325.8;1.5;8.5
30;Total institutional investors;2006 1st quarter;712.4;17.2;345.2;326.9;1.9;21.1
31;Total institutional investors;2006 2nd quarter;704.0;17.9;328.1;331.5;1.8;24.7
32;Total institutional investors;2006 3rd quarter;742.8;18.6;348.7;348.1;1.9;25.5
33;Total institutional investors;2006 4th quarter;770.3;19.3;369.5;352.3;1.8;27.4
34;Total institutional investors;2006;770.3;19.3;369.5;352.3;1.8;27.4
35;Total institutional investors;2007 1st quarter;786.8;19.0;378.9;360.0;2.5;26.3
36;Total institutional investors;2007 2nd quarter;790.7;12.1;397.0;357.5;2.4;21.6
37;Total institutional investors;2007 3rd quarter;796.7;12.5;408.3;353.8;2.6;19.5
38;Total institutional investors;2007 4th quarter;805.9;13.8;409.9;359.8;3.4;19.0
39;Total institutional investors;2007;805.9;13.8;409.9;359.8;3.4;19.0
40;Total institutional investors;2008 1st quarter;773.0;13.9;375.8;345.9;6.8;30.7
41;Total institutional investors;2008 2nd quarter;769.2;13.8;383.5;347.0;3.0;22.1
42;Total institutional investors;2008 3rd quarter;764.2;13.9;359.6;370.6;3.1;17.0
43;Total institutional investors;2008 4th quarter before revision;687.0;14.0;289.2;349.4;4.2;30.2
44;Total institutional investors;2008 4th quarter after revision;749.2;1.2;296.9;406.2;6.8;38.2
45;Total institutional investors;2008 before revision;687.0;14.0;289.2;349.4;4.2;30.2
46;Total institutional investors;2008 after revision;749.2;1.2;296.9;406.2;6.8;38.2
47;Total institutional investors;2009 1st quarter;807.7;1.0;345.2;424.7;7.2;29.6
48;Total institutional investors;2009 2nd quarter;827.2;1.0;368.5;421.1;6.9;29.6
49;Total institutional investors;2009 3rd quarter;827.2;1.0;368.5;421.1;6.9;29.6
50;Total institutional investors;2009 4th quarter;827.2;1.0;368.5;421.1;6.9;29.6
51;Total institutional investors;2009;827.2;1.0;368.5;421.1;6.9;29.6
52;Total institutional investors;2010 1st quarter;855.9;1.1;393.1;428.2;7.7;25.7
53;Total institutional investors;2010 2nd quarter;837.4;1.2;379.9;425.6;8.4;22.3
54;Total institutional investors;2010 3rd quarter;864.1;1.2;391.6;435.1;8.7;27.4
55;Total institutional investors;2010 4th quarter;861.6;1.2;416.7;413.9;9.9;20.0
56;Total institutional investors;2010;861.6;1.2;416.7;413.9;9.9;20.0
57;Total institutional investors;2011 1st quarter;858.3;1.2;410.6;416.3;10.2;20.1
58;Total institutional investors;2011 2nd quarter;860.3;1.1;412.0;417.6;10.2;19.3
59;Total institutional investors;2011 3rd quarter;841.4;1.2;388.1;422.6;10.4;19.1
60;Total institutional investors;2011 4th quarter;868.0;1.2;414.4;426.1;10.4;15.9
61;Total institutional investors;2011;868.0;1.2;414.4;426.1;10.4;15.9
62;Total institutional investors;2012 1st quarter;921.3;1.1;443.5;445.4;13.8;17.5
63;Total institutional investors;2012 2nd quarter;943.1;1.1;447.7;458.5;14.1;21.8
64;Total institutional investors;2012 3rd quarter;983.1;1.1;467.2;480.4;15.1;19.3
65;Total institutional investors;2012 4th quarter;1007.6;1.0;471.7;501.8;15.2;17.9
66;Total institutional investors;2012;1007.6;1.0;471.7;501.8;15.2;17.9
67;Total institutional investors;2013 1st quarter;1046.6;0.8;508.5;502.5;15.8;19.0
68;Total institutional investors;2013 2nd quarter;1021.4;0.8;487.0;498.9;15.8;18.9
69;Total institutional investors;2013 3rd quarter;1030.8;0.8;496.0;500.4;16.2;17.3
70;Total institutional investors;2013 4th quarter;1046.2;0.8;508.7;504.0;15.3;17.4
71;Total institutional investors;2013;1046.2;0.8;508.7;504.0;15.3;17.4
72;Total institutional investors;2014 1st quarter;1089.5;0.8;529.9;526.4;16.0;16.5
73;Total institutional investors;2014 2nd quarter;1146.8;0.8;561.8;549.4;16.3;18.5
74;Total institutional investors;2014 3rd quarter;1206.5;0.8;593.8;577.9;17.2;16.8
75;Total institutional investors;2014 4th quarter;1251.8;0.8;618.3;594.5;17.4;20.8
76;Total institutional investors;2014;1251.8;0.8;618.3;594.5;17.4;20.8
77;Total institutional investors;2015 1st quarter;1368.1;0.8;675.8;651.8;15.8;23.9
78;Total institutional investors;2015 2nd quarter;1293.7;0.8;638.6;616.5;15.8;22.1
79;Total institutional investors;2015 3rd quarter;1249.4;0.9;594.1;618.9;15.0;20.6
80;Total institutional investors;2015 4th quarter;1279.4;0.9;622.6;621.6;14.8;19.5
81;Total institutional investors;2015;1279.4;0.9;622.6;621.6;14.8;19.5
82;Total institutional investors;2016 1st quarter;1300.1;0.8;612.5;651.4;14.9;20.5
