ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;4058077;100.0;100;97;3
1;2;21191;0.5;0;0;0
2;1;9038;0.2;0;0;0
3;3;665501;16.4;17;17;0
4;5;85004;2.1;2;2;0
5;4;20487;0.5;0;0;0
6;6;302829;7.5;8;7;1
7;7;136026;3.4;3;3;0
8;8;24543;0.6;0;0;0
9;9;27665;0.7;0;0;0
10;Liberale Staatspartij;160260;3.9;4;4;0
11;NBTMP;6891;0.2;0;0;0
12;Nederlandsch Volksfascisme;8178;0.2;0;0;0
13;NSB;171137;4.2;4;4;0
14;NSNAP;998;0.0;0;0;0
15;Roomsch-Katholieke Staatspartij;1170431;28.8;31;31;0
16;RSAP;32846;0.8;0;0;0
17;SDAP;890661;21.9;23;22;1
18;SGP;78619;1.9;2;2;0
19;Verbond voor Nationaal Herstel;6270;0.2;0;0;0
20;Vrijzinnig-Democratische Bond;239502;5.9;6;5;1
