ID;Geslacht;LeerlingEnStudentkenmerken;CaribischNederland;Perioden;LeerlingenEnStudenten_1
0;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2009/'10;2215.0
1;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2010/'11;2097.0
2;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2011/'12;2136.0
3;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2012/'13;2144.0
4;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2013/'14;2165.0
5;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2014/'15;2222.0
6;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2015/'16;2274.0
7;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2016/'17;2334.0
8;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2017/'18;2424.0
9;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2018/'19;2385.0
10;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2019/'20;2437.0
11;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2020/'21;2446.0
12;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2021/'22;2445.0
13;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2022/'23;2407.0
14;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2023/'24;2425.0
15;Totaal mannen en vrouwen;Totaal primair onderwijs;Caribisch Nederland;2024/'25;2555.0
16;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2009/'10;1678.0
17;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2010/'11;1597.0
18;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2011/'12;1640.0
19;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2012/'13;1627.0
20;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2013/'14;1679.0
21;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2014/'15;1727.0
22;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2015/'16;1778.0
23;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2016/'17;1843.0
24;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2017/'18;1893.0
25;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2018/'19;1899.0
26;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2019/'20;1946.0
27;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2020/'21;1955.0
28;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2021/'22;1953.0
29;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2022/'23;1951.0
30;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2023/'24;1976.0
31;Totaal mannen en vrouwen;Totaal primair onderwijs;Bonaire;2024/'25;2015.0
32;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2009/'10;377.0
33;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2010/'11;345.0
34;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2011/'12;350.0
35;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2012/'13;363.0
36;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2013/'14;336.0
37;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2014/'15;337.0
38;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2015/'16;331.0
39;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2016/'17;325.0
40;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2017/'18;364.0
41;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2018/'19;337.0
42;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2019/'20;333.0
43;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2020/'21;332.0
44;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2021/'22;322.0
45;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2022/'23;305.0
46;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2023/'24;296.0
47;Totaal mannen en vrouwen;Totaal primair onderwijs;Sint Eustatius;2024/'25;311.0
48;Totaal mannen en vrouwen;Totaal primair onderwijs;Saba;2009/'10;160.0
49;Totaal mannen en vrouwen;Totaal primair onderwijs;Saba;2010/'11;155.0
