ID;Geslacht;Leeftijden;TypeZorg;BurgerlijkeStaat;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal burgerlijke staat;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2004;60100;1.54;8482;141;2.18
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2005;61360;1.54;8865;144;2.23
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2006;63835;1.58;9449;148;2.35
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2007;64600;1.59;9491;147;2.33
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2008;66270;1.6;9734;147;2.35
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2009;66190;1.57;9944;150;2.36
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Ongehuwd;2010;67530;1.57;10336;153;2.4
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gehuwd/partnerschap;2004;219075;3.13;24994;114;3.57
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gehuwd/partnerschap;2005;206515;2.96;23910;116;3.43
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gehuwd/partnerschap;2006;208970;3.02;24734;118;3.57
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gehuwd/partnerschap;2007;208160;3.02;24680;119;3.58
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Gehuwd/partnerschap;2008;210095;3.06;24926;119;3.63
