ID;SIC2008;Periods;Value_1;Price_2;Volume_3;Value_4;Price_5;Volume_6
0;Retail trade, no dispensing chemists ..;2000 January;81.9;98.7;82.9;;;
1;Retail trade, no dispensing chemists ..;2000 February;81.9;99.4;82.4;;;
2;Retail trade, no dispensing chemists ..;2000 March;94.2;100.8;93.5;;;
3;Retail trade, no dispensing chemists ..;2000 1st quarter;86.0;99.6;86.3;;;
4;Retail trade, no dispensing chemists ..;2000 April;94.4;101.0;93.4;;;
5;Retail trade, no dispensing chemists ..;2000 May;99.7;101.0;98.7;;;
6;Retail trade, no dispensing chemists ..;2000 June;97.8;100.3;97.6;;;
7;Retail trade, no dispensing chemists ..;2000 2nd quarter;97.3;100.8;96.6;;;
8;Retail trade, no dispensing chemists ..;2000 July;94.4;98.1;96.3;;;
9;Retail trade, no dispensing chemists ..;2000 August;92.8;99.0;93.7;;;
10;Retail trade, no dispensing chemists ..;2000 September;98.2;101.3;96.9;;;
11;Retail trade, no dispensing chemists ..;2000 3rd quarter;95.1;99.5;95.6;;;
12;Retail trade, no dispensing chemists ..;2000 October;96.0;101.8;94.3;;;
13;Retail trade, no dispensing chemists ..;2000 November;100.5;102.1;98.4;;;
14;Retail trade, no dispensing chemists ..;2000 December;116.1;101.2;114.7;;;
15;Retail trade, no dispensing chemists ..;2000 4th quarter;104.2;101.7;102.4;;;
16;Retail trade, no dispensing chemists ..;2000;95.6;100.4;95.3;;;
17;Retail trade, no dispensing chemists ..;2001 January;88.8;100.3;88.5;8.5;1.6;6.8
18;Retail trade, no dispensing chemists ..;2001 February;85.0;102.0;83.3;3.8;2.6;1.2
19;Retail trade, no dispensing chemists ..;2001 March;102.4;104.2;98.3;8.7;3.4;5.2
20;Retail trade, no dispensing chemists ..;2001 1st quarter;92.1;102.2;90.1;7.1;2.5;4.4
21;Retail trade, no dispensing chemists ..;2001 April;97.5;104.9;93.0;3.3;3.8;-0.4
22;Retail trade, no dispensing chemists ..;2001 May;108.5;105.0;103.4;8.8;3.9;4.7
23;Retail trade, no dispensing chemists ..;2001 June;105.6;104.1;101.4;7.9;3.8;4.0
24;Retail trade, no dispensing chemists ..;2001 2nd quarter;103.9;104.6;99.3;6.7;3.8;2.8
25;Retail trade, no dispensing chemists ..;2001 July;97.8;102.1;95.8;3.7;4.2;-0.5
26;Retail trade, no dispensing chemists ..;2001 August;99.9;102.8;97.2;7.7;3.8;3.7
27;Retail trade, no dispensing chemists ..;2001 September;102.2;105.5;96.9;4.1;4.2;-0.1
28;Retail trade, no dispensing chemists ..;2001 3rd quarter;100.0;103.5;96.6;5.1;4.0;1.0
29;Retail trade, no dispensing chemists ..;2001 October;104.7;105.7;99.1;9.1;3.8;5.1
30;Retail trade, no dispensing chemists ..;2001 November;107.9;105.5;102.3;7.4;3.3;4.0
31;Retail trade, no dispensing chemists ..;2001 December;119.7;104.8;114.2;3.1;3.6;-0.5
32;Retail trade, no dispensing chemists ..;2001 4th quarter;110.8;105.3;105.2;6.3;3.6;2.7
33;Retail trade, no dispensing chemists ..;2001;101.7;103.9;97.9;6.3;3.5;2.7
34;Retail trade, no dispensing chemists ..;2002 January;93.3;104.4;89.3;5.0;4.1;0.9
35;Retail trade, no dispensing chemists ..;2002 February;88.3;105.4;83.8;4.0;3.4;0.6
36;Retail trade, no dispensing chemists ..;2002 March;105.1;107.1;98.2;2.7;2.8;-0.1
37;Retail trade, no dispensing chemists ..;2002 1st quarter;95.6;105.6;90.5;3.8;3.4;0.4
38;Retail trade, no dispensing chemists ..;2002 April;103.9;107.2;96.9;6.6;2.3;4.2
39;Retail trade, no dispensing chemists ..;2002 May;111.3;107.1;103.9;2.5;2.0;0.5
40;Retail trade, no dispensing chemists ..;2002 June;106.3;106.2;100.2;0.7;2.0;-1.3
41;Retail trade, no dispensing chemists ..;2002 2nd quarter;107.2;106.8;100.3;3.2;2.1;1.1
42;Retail trade, no dispensing chemists ..;2002 July;104.0;104.0;100.0;6.3;1.8;4.4
43;Retail trade, no dispensing chemists ..;2002 August;104.9;104.5;100.4;5.0;1.7;3.2
44;Retail trade, no dispensing chemists ..;2002 September;102.4;106.7;96.0;0.2;1.1;-0.9
45;Retail trade, no dispensing chemists ..;2002 3rd quarter;103.8;105.1;98.8;3.8;1.5;2.2
46;Retail trade, no dispensing chemists ..;2002 October;110.2;106.3;103.6;5.2;0.6;4.6
47;Retail trade, no dispensing chemists ..;2002 November;108.7;105.8;102.7;0.7;0.3;0.4
48;Retail trade, no dispensing chemists ..;2002 December;120.1;104.9;114.5;0.3;0.0;0.3
49;Retail trade, no dispensing chemists ..;2002 4th quarter;113.0;105.7;106.9;2.0;0.3;1.7
50;Retail trade, no dispensing chemists ..;2002;104.9;105.8;99.1;3.1;1.8;1.3
51;Retail trade, no dispensing chemists ..;2003 January;96.9;103.4;93.7;3.9;-0.9;4.9
52;Retail trade, no dispensing chemists ..;2003 February;90.7;104.2;87.1;2.7;-1.1;3.9
53;Retail trade, no dispensing chemists ..;2003 March;101.9;106.5;95.7;-3.1;-0.5;-2.5
