ID;Marges;Kenmerken;MateVanEenzaamheid;Perioden;Eenzaamheid_1;SocialeEenzaamheid_2;EmotioneleEenzaamheid_3
0;Waarde;Totaal persoonskenmerken;Niet;2019;65.6;60.1;65.6
1;Waarde;Totaal persoonskenmerken;Niet;2021;57.5;58.6;52.6
2;Waarde;Totaal persoonskenmerken;Niet;2022;60.1;57.2;58.4
3;Waarde;Totaal persoonskenmerken;Niet;2023;60.6;57.0;59.4
4;Waarde;Totaal persoonskenmerken;Enigszins;2019;25.7;28.1;26.5
5;Waarde;Totaal persoonskenmerken;Enigszins;2021;31.5;27.3;36.6
6;Waarde;Totaal persoonskenmerken;Enigszins;2022;29.2;29.2;31.2
7;Waarde;Totaal persoonskenmerken;Enigszins;2023;28.6;29.2;29.5
8;Waarde;Totaal persoonskenmerken;Sterk;2019;8.7;11.9;7.9
9;Waarde;Totaal persoonskenmerken;Sterk;2021;11.0;14.1;10.7
10;Waarde;Totaal persoonskenmerken;Sterk;2022;10.7;13.7;10.4
11;Waarde;Totaal persoonskenmerken;Sterk;2023;10.8;13.8;11.0
12;Waarde;Geslacht: Mannen;Niet;2019;65.2;57.2;67.8
13;Waarde;Geslacht: Mannen;Niet;2021;57.8;55.3;54.9
14;Waarde;Geslacht: Mannen;Niet;2022;59.7;54.4;59.8
15;Waarde;Geslacht: Mannen;Niet;2023;59.0;53.1;60.8
16;Waarde;Geslacht: Mannen;Enigszins;2019;27.0;30.4;25.5
17;Waarde;Geslacht: Mannen;Enigszins;2021;32.0;29.6;36.2
18;Waarde;Geslacht: Mannen;Enigszins;2022;29.9;30.5;31.3
19;Waarde;Geslacht: Mannen;Enigszins;2023;30.0;31.3;29.5
20;Waarde;Geslacht: Mannen;Sterk;2019;7.8;12.4;6.7
21;Waarde;Geslacht: Mannen;Sterk;2021;10.2;15.1;8.9
22;Waarde;Geslacht: Mannen;Sterk;2022;10.4;15.1;8.9
23;Waarde;Geslacht: Mannen;Sterk;2023;11.0;15.6;9.8
24;Waarde;Geslacht: Vrouwen;Niet;2019;66.0;62.9;63.3
25;Waarde;Geslacht: Vrouwen;Niet;2021;57.3;61.8;50.4
26;Waarde;Geslacht: Vrouwen;Niet;2022;60.5;60.0;57.1
27;Waarde;Geslacht: Vrouwen;Niet;2023;62.1;60.9;58.1
28;Waarde;Geslacht: Vrouwen;Enigszins;2019;24.4;25.7;27.5
29;Waarde;Geslacht: Vrouwen;Enigszins;2021;31.0;25.1;37.1
30;Waarde;Geslacht: Vrouwen;Enigszins;2022;28.5;27.9;31.0
31;Waarde;Geslacht: Vrouwen;Enigszins;2023;27.3;27.2;29.6
32;Waarde;Geslacht: Vrouwen;Sterk;2019;9.6;11.4;9.1
33;Waarde;Geslacht: Vrouwen;Sterk;2021;11.8;13.1;12.5
34;Waarde;Geslacht: Vrouwen;Sterk;2022;11.0;12.2;11.9
35;Waarde;Geslacht: Vrouwen;Sterk;2023;10.6;12.0;12.3
36;Waarde;Leeftijd: 15 tot 25 jaar;Niet;2019;65.7;62.0;62.2
37;Waarde;Leeftijd: 15 tot 25 jaar;Niet;2021;55.0;58.3;43.3
38;Waarde;Leeftijd: 15 tot 25 jaar;Niet;2022;54.4;51.0;49.1
39;Waarde;Leeftijd: 15 tot 25 jaar;Niet;2023;55.4;52.9;51.7
40;Waarde;Leeftijd: 15 tot 25 jaar;Enigszins;2019;25.2;27.9;29.6
41;Waarde;Leeftijd: 15 tot 25 jaar;Enigszins;2021;33.6;31.1;43.1
42;Waarde;Leeftijd: 15 tot 25 jaar;Enigszins;2022;33.5;36.3;37.3
43;Waarde;Leeftijd: 15 tot 25 jaar;Enigszins;2023;34.2;35.2;34.6
44;Waarde;Leeftijd: 15 tot 25 jaar;Sterk;2019;9.0;10.1;8.2
45;Waarde;Leeftijd: 15 tot 25 jaar;Sterk;2021;11.4;10.6;13.5
46;Waarde;Leeftijd: 15 tot 25 jaar;Sterk;2022;12.1;12.7;13.6
47;Waarde;Leeftijd: 15 tot 25 jaar;Sterk;2023;10.4;11.9;13.7
48;Waarde;Leeftijd: 25 tot 35 jaar;Niet;2019;67.5;62.6;66.4
49;Waarde;Leeftijd: 25 tot 35 jaar;Niet;2021;56.8;61.0;48.0
50;Waarde;Leeftijd: 25 tot 35 jaar;Niet;2022;60.1;62.5;53.2
51;Waarde;Leeftijd: 25 tot 35 jaar;Niet;2023;60.4;60.4;56.2
52;Waarde;Leeftijd: 25 tot 35 jaar;Enigszins;2019;24.6;27.6;25.7
53;Waarde;Leeftijd: 25 tot 35 jaar;Enigszins;2021;29.9;23.9;40.8
54;Waarde;Leeftijd: 25 tot 35 jaar;Enigszins;2022;29.1;26.0;36.9
55;Waarde;Leeftijd: 25 tot 35 jaar;Enigszins;2023;27.8;26.8;31.3
56;Waarde;Leeftijd: 25 tot 35 jaar;Sterk;2019;7.9;9.7;7.9
57;Waarde;Leeftijd: 25 tot 35 jaar;Sterk;2021;13.4;15.1;11.2
58;Waarde;Leeftijd: 25 tot 35 jaar;Sterk;2022;10.7;11.5;9.9
59;Waarde;Leeftijd: 25 tot 35 jaar;Sterk;2023;11.7;12.8;12.5
60;Waarde;Leeftijd: 35 tot 45 jaar;Niet;2019;66.3;59.4;66.3
61;Waarde;Leeftijd: 35 tot 45 jaar;Niet;2021;59.1;60.2;51.3
62;Waarde;Leeftijd: 35 tot 45 jaar;Niet;2022;59.1;56.7;56.9
