ID;Zorgfuncties;Zorgaanbieders;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;1998;39380
1;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;1999;42394
2;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2000;45361
3;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2001;50767
4;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2002;56663
5;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2003;60888
6;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2004;63003
7;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2005;65424
8;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2006;68495
9;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2007;72713
10;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2008;77705
11;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2009;82298
12;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2010;85790
13;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2011;88125
14;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2012;90622
15;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2013;90954
16;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2014;91927
17;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2015;92323
18;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2016;94842
19;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2017;96972
20;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2018;101031
21;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2019;107429
22;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2020;116384
23;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2021;124794
24;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders zorg en welzijn;2022;127306
25;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;1998;37022
26;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;1999;39633
27;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2000;42258
28;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2001;47247
29;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2002;52965
30;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2003;56938
31;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2004;59136
32;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2005;61458
33;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2006;64356
34;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2007;67953
35;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2008;72154
36;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2009;76296
37;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2010;79665
38;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2011;82045
39;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2012;84806
40;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2013;85550
41;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2014;86824
42;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2015;87890
43;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2016;90015
44;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2017;91755
45;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2018;95280
46;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2019;101031
47;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2020;109608
48;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2021;117478
49;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2022;119121
50;Totaal uitgaven aan zorg en welzijn;HP1: Ziekenhuizen;1998;10582
