ID;Sales;Products;Periods;IndexNumbers_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;IndexNumbers_4;MonthOnMonthDevelopment_5;YearOnYearDevelopment_6
55;Total sales;C MINING AND QUARRYING;2004 April;106.0;-1.6;-9.3;106.0;-1.6;-9.3
56;Total sales;C MINING AND QUARRYING;2004 May;105.4;-0.6;-10.4;105.4;-0.6;-10.4
57;Total sales;C MINING AND QUARRYING;2004 June;105.9;0.5;-10.4;105.9;0.5;-10.4
58;Total sales;C MINING AND QUARRYING;2004 July;107.7;1.7;0.9;107.7;1.7;0.9
59;Total sales;C MINING AND QUARRYING;2004 August;107.9;0.1;1.9;107.9;0.1;1.9
60;Total sales;C MINING AND QUARRYING;2004 September;109.7;1.7;5.3;109.7;1.7;5.3
61;Total sales;C MINING AND QUARRYING;2004 October;118.0;7.6;12.8;118.0;7.6;12.8
62;Total sales;C MINING AND QUARRYING;2004 November;119.4;1.2;12.8;119.4;1.2;12.8
63;Total sales;C MINING AND QUARRYING;2004 December;118.8;-0.5;8.5;118.8;-0.5;8.5
64;Total sales;C MINING AND QUARRYING;2004;110.2;;-1.4;110.2;;-1.4
65;Total sales;C MINING AND QUARRYING;2005 January;127.2;7.0;18.1;127.2;7.0;18.1
66;Total sales;C MINING AND QUARRYING;2005 February;127.9;0.6;18.2;127.9;0.6;18.2
67;Total sales;C MINING AND QUARRYING;2005 March;129.6;1.3;20.2;129.6;1.3;20.2
68;Total sales;C MINING AND QUARRYING;2005 April;135.2;4.4;27.5;135.2;4.4;27.5
69;Total sales;C MINING AND QUARRYING;2005 May;134.0;-0.9;27.2;134.0;-0.9;27.2
70;Total sales;C MINING AND QUARRYING;2005 June;137.8;2.8;30.1;137.8;2.8;30.1
71;Total sales;C MINING AND QUARRYING;2005 July;143.9;4.4;33.6;143.9;4.4;33.6
72;Total sales;C MINING AND QUARRYING;2005 August;148.4;3.1;37.6;148.4;3.1;37.6
73;Total sales;C MINING AND QUARRYING;2005 September;151.7;2.2;38.3;151.7;2.2;38.3
74;Total sales;C MINING AND QUARRYING;2005 October;162.2;6.9;37.5;162.2;6.9;37.5
75;Total sales;C MINING AND QUARRYING;2005 November;162.2;0.0;35.9;162.2;0.0;35.9
76;Total sales;C MINING AND QUARRYING;2005 December;171.1;5.5;44.0;171.1;5.5;44.0
77;Total sales;C MINING AND QUARRYING;2005;144.3;;30.9;144.3;;30.9
78;Total sales;C MINING AND QUARRYING;2006 January;178.0;4.1;40.0;178.0;4.1;40.0
79;Total sales;C MINING AND QUARRYING;2006 February;178.0;0.0;39.2;178.0;0.0;39.2
80;Total sales;C MINING AND QUARRYING;2006 March;180.0;1.1;38.9;180.0;1.1;38.9
81;Total sales;C MINING AND QUARRYING;2006 April;185.7;3.1;37.3;185.7;3.1;37.3
82;Total sales;C MINING AND QUARRYING;2006 May;192.4;3.6;43.6;192.4;3.6;43.6
83;Total sales;C MINING AND QUARRYING;2006 June;192.3;-0.1;39.5;192.3;-0.1;39.5
84;Total sales;C MINING AND QUARRYING;2006 July;191.6;-0.3;33.1;191.6;-0.3;33.1
85;Total sales;C MINING AND QUARRYING;2006 August;191.4;-0.1;29.0;191.4;-0.1;29.0
86;Total sales;C MINING AND QUARRYING;2006 September;192.0;0.3;26.5;192.0;0.3;26.5
87;Total sales;C MINING AND QUARRYING;2006 October;190.3;-0.9;17.3;190.3;-0.9;17.3
88;Total sales;C MINING AND QUARRYING;2006 November;188.9;-0.8;16.5;188.9;-0.8;16.5
89;Total sales;C MINING AND QUARRYING;2006 December;189.5;0.4;10.8;189.5;0.4;10.8
90;Total sales;C MINING AND QUARRYING;2006;187.5;;30.0;187.5;;30.0
91;Total sales;C MINING AND QUARRYING;2007 January;191.7;1.1;7.7;191.7;1.1;7.7
92;Total sales;C MINING AND QUARRYING;2007 February;189.1;-1.3;6.2;189.1;-1.3;6.2
93;Total sales;C MINING AND QUARRYING;2007 March;190.6;0.8;5.8;190.6;0.8;5.8
94;Total sales;C MINING AND QUARRYING;2007 April;190.2;-0.2;2.5;190.2;-0.2;2.5
95;Total sales;C MINING AND QUARRYING;2007 May;188.0;-1.2;-2.3;188.0;-1.2;-2.3
96;Total sales;C MINING AND QUARRYING;2007 June;184.6;-1.8;-4.0;184.6;-1.8;-4.0
97;Total sales;C MINING AND QUARRYING;2007 July;193.5;4.8;1.0;193.5;4.8;1.0
98;Total sales;C MINING AND QUARRYING;2007 August;191.0;-1.3;-0.2;191.0;-1.3;-0.2
99;Total sales;C MINING AND QUARRYING;2007 September;188.4;-1.4;-1.9;188.4;-1.4;-1.9
100;Total sales;C MINING AND QUARRYING;2007 October;192.0;1.9;0.9;192.0;1.9;0.9
101;Total sales;C MINING AND QUARRYING;2007 November;193.0;0.5;2.2;193.0;0.5;2.2
102;Total sales;C MINING AND QUARRYING;2007 December;194.7;0.9;2.7;194.7;0.9;2.7
103;Total sales;C MINING AND QUARRYING;2007;190.6;;1.6;190.6;;1.6
104;Total sales;C MINING AND QUARRYING;2008 January;202.5;4.0;5.7;202.5;4.0;5.7
105;Total sales;C MINING AND QUARRYING;2008 February;207.7;2.5;9.8;207.7;2.5;9.8
106;Total sales;C MINING AND QUARRYING;2008 March;212.5;2.3;11.5;212.5;2.3;11.5
107;Total sales;C MINING AND QUARRYING;2008 April;221.9;4.4;16.7;221.9;4.4;16.7
108;Total sales;C MINING AND QUARRYING;2008 May;236.2;6.4;25.6;236.2;6.4;25.6
109;Total sales;C MINING AND QUARRYING;2008 June;249.4;5.6;35.1;249.4;5.6;35.1
110;Total sales;C MINING AND QUARRYING;2008 July;270.0;8.3;39.6;270.0;8.3;39.6
111;Total sales;C MINING AND QUARRYING;2008 August;272.9;1.1;42.9;272.9;1.1;42.9
112;Total sales;C MINING AND QUARRYING;2008 September;264.2;-3.2;40.2;264.2;-3.2;40.2
113;Total sales;C MINING AND QUARRYING;2008 October;267.3;1.2;39.2;267.3;1.2;39.2
114;Total sales;C MINING AND QUARRYING;2008 November;255.2;-4.5;32.2;255.2;-4.5;32.2
115;Total sales;C MINING AND QUARRYING;2008 December;254.3;-0.3;30.6;254.3;-0.3;30.6
116;Total sales;C MINING AND QUARRYING;2008;242.8;;27.4;242.8;;27.4
117;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 January;79.7;;;79.7;;
118;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 February;81.6;2.4;;81.6;2.4;
119;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 March;83.0;1.7;;83.0;1.7;
120;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 April;92.7;11.7;;92.7;11.7;
121;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 May;97.0;4.6;;97.0;4.6;
122;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 June;98.4;1.4;;98.4;1.4;
123;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 July;106.1;7.8;;106.1;7.8;
124;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 August;107.7;1.6;;107.7;1.6;
125;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 September;109.6;1.7;;109.6;1.7;
126;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 October;114.0;4.1;;114.0;4.1;
127;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 November;114.7;0.6;;114.7;0.6;
128;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 December;115.6;0.8;;115.6;0.8;
129;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000;100.0;;;100.0;;
130;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 January;120.1;3.9;50.7;120.1;3.9;50.7
131;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 February;124.3;3.5;52.3;124.3;3.5;52.3
132;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 March;124.2;-0.1;49.7;124.2;-0.1;49.7
133;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 April;118.4;-4.7;27.7;118.4;-4.7;27.7
134;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 May;119.2;0.7;22.9;119.2;0.7;22.9
135;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 June;120.9;1.4;22.9;120.9;1.4;22.9
136;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 July;118.1;-2.2;11.4;118.1;-2.2;11.4
137;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 August;113.8;-3.7;5.6;113.8;-3.7;5.6
138;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 September;111.2;-2.3;1.5;111.2;-2.3;1.5
139;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 October;107.3;-3.5;-5.9;107.3;-3.5;-5.9
140;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 November;104.9;-2.2;-8.5;104.9;-2.2;-8.5
141;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 December;103.4;-1.4;-10.5;103.4;-1.4;-10.5
142;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001;115.5;;15.5;115.5;;15.5
143;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 January;100.4;-2.9;-16.4;100.4;-2.9;-16.4
144;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 February;102.1;1.6;-17.9;102.1;1.6;-17.9
145;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 March;101.4;-0.7;-18.4;101.4;-0.7;-18.4
146;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 April;102.4;1.0;-13.5;102.4;1.0;-13.5
147;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 May;101.7;-0.7;-14.7;101.7;-0.7;-14.7
148;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 June;98.9;-2.7;-18.2;98.9;-2.7;-18.2
149;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 July;103.9;5.1;-12.0;103.9;5.1;-12.0
150;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 August;103.7;-0.3;-8.9;103.7;-0.3;-8.9
151;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 September;103.2;-0.4;-7.2;103.2;-0.4;-7.2
152;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 October;108.1;4.7;0.8;108.1;4.7;0.8
153;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 November;108.8;0.7;3.7;108.8;0.7;3.7
154;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 December;112.5;3.4;8.8;112.5;3.4;8.8
155;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002;103.9;;-10.0;103.9;;-10.0
156;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 January;117.1;4.1;16.6;117.1;4.1;16.6
157;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 February;117.9;0.7;15.5;117.9;0.7;15.5
158;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 March;116.7;-1.0;15.1;116.7;-1.0;15.1
159;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 April;117.2;0.4;14.4;117.2;0.4;14.4
160;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 May;118.2;0.9;16.3;118.2;0.9;16.3
161;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 June;118.9;0.5;20.2;118.9;0.5;20.2
162;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 July;106.4;-10.5;2.3;106.4;-10.5;2.3
163;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 August;105.7;-0.7;1.9;105.7;-0.7;1.9
164;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 September;103.7;-1.8;0.5;103.7;-1.8;0.5
165;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 October;104.3;0.5;-3.5;104.3;0.5;-3.5
166;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 November;105.7;1.4;-2.8;105.7;1.4;-2.8
167;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 December;109.8;3.8;-2.4;109.8;3.8;-2.4
168;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003;111.8;;7.6;111.8;;7.6
169;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 January;107.7;-1.9;-8.0;107.7;-1.9;-8.0
170;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 February;108.3;0.5;-8.2;108.3;0.5;-8.2
171;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 March;107.8;-0.4;-7.6;107.8;-0.4;-7.6
172;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 April;105.9;-1.7;-9.6;105.9;-1.7;-9.6
173;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 May;105.2;-0.7;-11.0;105.2;-0.7;-11.0
174;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 June;105.8;0.6;-11.0;105.8;0.6;-11.0
175;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 July;107.8;1.9;1.3;107.8;1.9;1.3
176;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 August;107.9;0.1;2.1;107.9;0.1;2.1
177;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 September;109.9;1.9;6.0;109.9;1.9;6.0
178;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 October;119.0;8.3;14.1;119.0;8.3;14.1
179;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 November;120.5;1.2;13.9;120.5;1.2;13.9
180;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 December;119.9;-0.4;9.2;119.9;-0.4;9.2
181;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004;110.5;;-1.2;110.5;;-1.2
182;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 January;128.9;7.5;19.7;128.9;7.5;19.7
183;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 February;129.7;0.6;19.8;129.7;0.6;19.8
184;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 March;131.5;1.4;21.9;131.5;1.4;21.9
185;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 April;137.7;4.7;29.9;137.7;4.7;29.9
186;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 May;136.5;-0.9;29.7;136.5;-0.9;29.7
187;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 June;140.6;3.0;32.9;140.6;3.0;32.9
188;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 July;147.2;4.7;36.6;147.2;4.7;36.6
189;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 August;152.1;3.3;40.9;152.1;3.3;40.9
190;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 September;155.7;2.4;41.6;155.7;2.4;41.6
191;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 October;167.1;7.3;40.4;167.1;7.3;40.4
192;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 November;167.0;-0.1;38.6;167.0;-0.1;38.6
193;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 December;176.7;5.8;47.4;176.7;5.8;47.4
194;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005;147.6;;33.6;147.6;;33.6
195;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 January;184.4;4.4;43.1;184.4;4.4;43.1
196;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 February;184.4;0.0;42.2;184.4;0.0;42.2
197;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 March;186.6;1.2;42.0;186.6;1.2;42.0
198;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 April;192.7;3.3;40.0;192.7;3.3;40.0
199;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 May;200.2;3.9;46.7;200.2;3.9;46.7
200;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 June;200.0;-0.1;42.2;200.0;-0.1;42.2
201;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 July;199.3;-0.3;35.4;199.3;-0.3;35.4
202;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 August;199.0;-0.2;30.8;199.0;-0.2;30.8
203;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 September;199.6;0.3;28.2;199.6;0.3;28.2
204;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 October;197.7;-0.9;18.3;197.7;-0.9;18.3
205;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 November;196.2;-0.8;17.5;196.2;-0.8;17.5
206;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 December;196.8;0.3;11.4;196.8;0.3;11.4
207;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006;194.7;;32.0;194.7;;32.0
208;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 January;199.0;1.1;7.9;199.0;1.1;7.9
209;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 February;196.1;-1.5;6.3;196.1;-1.5;6.3
210;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 March;197.7;0.8;6.0;197.7;0.8;6.0
211;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 April;197.4;-0.2;2.4;197.4;-0.2;2.4
212;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 May;195.1;-1.2;-2.5;195.1;-1.2;-2.5
213;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 June;191.3;-1.9;-4.3;191.3;-1.9;-4.3
214;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 July;200.9;5.0;0.8;200.9;5.0;0.8
215;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 August;198.3;-1.3;-0.4;198.3;-1.3;-0.4
216;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 September;195.3;-1.5;-2.1;195.3;-1.5;-2.1
217;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 October;199.3;2.0;0.8;199.3;2.0;0.8
218;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 November;200.2;0.4;2.0;200.2;0.4;2.0
219;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007 December;202.0;0.9;2.6;202.0;0.9;2.6
220;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2007;197.7;;1.5;197.7;;1.5
221;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 January;210.2;4.0;5.6;210.2;4.0;5.6
222;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 February;215.7;2.6;10.0;215.7;2.6;10.0
223;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 March;220.7;2.3;11.6;220.7;2.3;11.6
224;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 April;231.1;4.7;17.1;231.1;4.7;17.1
225;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 May;246.7;6.8;26.5;246.7;6.8;26.5
226;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 June;261.2;5.9;36.5;261.2;5.9;36.5
227;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 July;283.6;8.6;41.2;283.6;8.6;41.2
228;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 August;286.7;1.1;44.6;286.7;1.1;44.6
229;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 September;277.1;-3.4;41.8;277.1;-3.4;41.8
230;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 October;280.2;1.1;40.6;280.2;1.1;40.6
231;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 November;266.9;-4.8;33.3;266.9;-4.8;33.3
232;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008 December;265.9;-0.4;31.6;265.9;-0.4;31.6
233;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2008;253.8;;28.4;253.8;;28.4
234;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 January;;;;;;
235;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 February;;;;;;
236;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 March;;;;;;
237;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 April;;;;;;
238;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 May;;;;;;
239;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 June;;;;;;
240;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 July;;;;;;
241;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 August;;;;;;
242;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 September;;;;;;
243;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 October;;;;;;
244;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 November;;;;;;
