ID;Huishoudenskenmerken;Perioden;MedianeKoopkrachtontwikkeling_1;PersonenMetKoopkrachtdaling_2;PersonenMetKoopkrachtstijging_3;k_20ePercentiel_4;k_40ePercentiel_5;k_60ePercentiel_6;k_80ePercentiel_7
0;Totaal personen;2012;-1.1;57.8;42.2;-9.4;-2.5;0.4;7.1
1;Totaal personen;2013;-1.1;56.0;44.0;-9.6;-2.8;0.8;7.9
2;Totaal personen;2014;1.9;37.6;62.4;-6.5;0.4;3.7;11.6
3;Totaal personen;2015;1.3;40.4;59.6;-6.8;-0.1;3.3;11.4
4;Totaal personen;2016;3.0;32.3;67.7;-4.6;1.2;5.4;13.9
5;Totaal personen;2017;0.7;43.9;56.1;-6.4;-0.5;2.6;11.5
6;Totaal personen;2018;0.6;45.6;54.4;-6.3;-0.5;2.7;11.6
7;Totaal personen;2019;1.5;35.6;64.4;-5.4;0.5;3.6;12.3
8;Totaal personen;2020;2.5;32.0;68.0;-5.6;1.2;4.8;13.4
9;Totaal personen;2021;1.4;41.8;58.2;-5.8;-0.2;3.7;13.0
10;Totaal personen;2022;-1.1;54.5;45.5;-8.4;-2.9;1.5;9.6
11;Totaal personen;2023;0.3;47.9;52.1;-7.1;-1.2;2.1;9.3
12;Type: Eenpersoonshuishouden;2012;-1.1;63.9;36.1;-5.8;-1.8;-0.4;4.2
13;Type: Eenpersoonshuishouden;2013;-1.5;63.5;36.5;-6.9;-2.4;-0.4;4.4
14;Type: Eenpersoonshuishouden;2014;1.6;32.5;67.5;-3.2;0.8;2.4;7.7
15;Type: Eenpersoonshuishouden;2015;0.9;36.6;63.4;-3.4;0.3;1.5;6.6
16;Type: Eenpersoonshuishouden;2016;1.6;29.7;70.3;-2.3;1.0;2.4;8.3
17;Type: Eenpersoonshuishouden;2017;0.3;44.3;55.7;-3.7;-0.3;0.8;5.7
18;Type: Eenpersoonshuishouden;2018;-0.1;51.9;48.1;-3.3;-0.4;0.4;5.8
19;Type: Eenpersoonshuishouden;2019;0.9;30.3;69.7;-2.1;0.5;1.5;6.6
20;Type: Eenpersoonshuishouden;2020;1.7;24.3;75.7;-1.5;1.3;2.4;7.9
21;Type: Eenpersoonshuishouden;2021;0.1;46.6;53.4;-2.3;-0.2;1.1;7.2
22;Type: Eenpersoonshuishouden;2022;-1.3;55.2;44.8;-4.8;-2.6;1.5;6.5
23;Type: Eenpersoonshuishouden;2023;-0.1;51.0;49.0;-4.8;-1.1;0.9;5.1
24;Type: Meerpersoonshuishouden;2012;-1.1;56.9;43.1;-9.3;-2.6;0.6;7.0
25;Type: Meerpersoonshuishouden;2013;-0.9;54.8;45.2;-9.2;-2.8;1.1;7.9
26;Type: Meerpersoonshuishouden;2014;2.0;37.8;62.2;-6.2;0.4;4.0;11.5
27;Type: Meerpersoonshuishouden;2015;1.6;40.4;59.6;-6.5;-0.1;3.7;11.5
28;Type: Meerpersoonshuishouden;2016;3.5;32.0;68.0;-4.3;1.4;5.8;14.0
29;Type: Meerpersoonshuishouden;2017;0.9;43.6;56.4;-6.3;-0.5;3.0;11.6
30;Type: Meerpersoonshuishouden;2018;0.9;44.3;55.7;-6.2;-0.5;3.2;11.7
31;Type: Meerpersoonshuishouden;2019;1.9;36.0;64.0;-5.3;0.5;4.0;12.4
32;Type: Meerpersoonshuishouden;2020;2.9;32.6;67.4;-5.5;1.2;5.3;13.5
33;Type: Meerpersoonshuishouden;2021;1.8;40.7;59.3;-5.8;-0.1;4.1;13.0
34;Type: Meerpersoonshuishouden;2022;-1.1;54.5;45.5;-8.5;-3.0;1.4;9.6
35;Type: Meerpersoonshuishouden;2023;0.5;47.1;52.9;-7.0;-1.2;2.4;9.4
36;Type: Eenoudergezin;2012;-1.3;57.2;42.8;-10.3;-3.0;0.6;7.7
37;Type: Eenoudergezin;2013;-0.7;53.7;46.3;-9.8;-2.3;1.3;8.9
38;Type: Eenoudergezin;2014;2.2;37.5;62.5;-6.7;0.6;4.2;12.6
39;Type: Eenoudergezin;2015;2.9;36.0;64.0;-6.1;0.8;5.7;14.9
40;Type: Eenoudergezin;2016;3.6;32.1;67.9;-5.1;1.5;6.0;14.5
41;Type: Eenoudergezin;2017;1.5;38.5;61.5;-6.3;0.2;3.7;12.8
42;Type: Eenoudergezin;2018;1.1;42.3;57.7;-6.6;-0.3;3.5;12.8
43;Type: Eenoudergezin;2019;1.9;36.3;63.7;-5.9;0.5;4.2;13.4
44;Type: Eenoudergezin;2020;2.7;33.2;66.8;-5.8;1.3;5.0;13.8
45;Type: Eenoudergezin;2021;2.1;38.0;62.0;-5.7;0.3;4.5;13.9
46;Type: Eenoudergezin;2022;1.1;45.9;54.1;-7.4;-1.5;3.5;12.1
47;Type: Eenoudergezin;2023;3.4;34.4;65.6;-5.1;1.4;5.5;13.7
48;Type: Paar, totaal;2012;-1.0;56.9;43.1;-8.5;-2.5;0.6;6.6
49;Type: Paar, totaal;2013;-0.9;54.9;45.1;-8.5;-2.7;1.0;7.4
50;Type: Paar, totaal;2014;2.0;37.1;62.9;-5.5;0.5;4.0;10.9
51;Type: Paar, totaal;2015;1.5;40.3;59.7;-5.9;0.0;3.5;10.6
52;Type: Paar, totaal;2016;3.5;31.1;68.9;-3.6;1.5;5.8;13.4
53;Type: Paar, totaal;2017;0.8;43.9;56.1;-5.7;-0.5;2.9;10.8
54;Type: Paar, totaal;2018;0.9;44.2;55.8;-5.5;-0.5;3.1;10.9
55;Type: Paar, totaal;2019;1.9;35.2;64.8;-4.6;0.5;3.9;11.8
56;Type: Paar, totaal;2020;3.0;31.6;68.4;-4.8;1.3;5.3;12.9
57;Type: Paar, totaal;2021;1.7;40.7;59.3;-5.2;-0.1;4.0;12.3
58;Type: Paar, totaal;2022;-1.3;55.6;44.4;-8.0;-3.0;1.1;8.8
59;Type: Paar, totaal;2023;0.3;48.3;51.7;-6.7;-1.3;2.0;8.5
60;Type: Paar, zonder kind;2012;-1.3;63.2;36.8;-6.6;-2.2;-0.4;4.1
61;Type: Paar, zonder kind;2013;-2.2;65.2;34.8;-7.7;-3.4;-0.8;3.9
62;Type: Paar, zonder kind;2014;1.1;38.0;62.0;-4.1;0.2;2.3;7.4
63;Type: Paar, zonder kind;2015;0.4;45.3;54.7;-4.3;-0.4;1.4;6.5
64;Type: Paar, zonder kind;2016;1.4;34.8;65.2;-3.1;0.5;2.7;8.3
65;Type: Paar, zonder kind;2017;-0.1;51.3;48.7;-4.5;-0.8;0.7;6.1
66;Type: Paar, zonder kind;2018;-0.3;54.1;45.9;-4.3;-0.8;0.6;6.2
67;Type: Paar, zonder kind;2019;0.9;35.0;65.0;-3.1;0.3;1.8;7.2
68;Type: Paar, zonder kind;2020;1.4;31.5;68.5;-3.7;0.8;2.4;8.1
69;Type: Paar, zonder kind;2021;0.1;49.4;50.6;-3.9;-0.6;1.4;7.9
70;Type: Paar, zonder kind;2022;-2.8;65.7;34.3;-6.9;-3.5;-1.3;4.5
71;Type: Paar, zonder kind;2023;-0.5;55.3;44.7;-5.7;-1.7;0.5;4.7
72;Type: Paar, met kind(eren);2012;-0.5;52.7;47.3;-8.4;-2.4;1.4;7.8
73;Type: Paar, met kind(eren);2013;0.3;48.5;51.5;-8.0;-1.6;2.3;8.9
74;Type: Paar, met kind(eren);2014;3.1;35.0;65.0;-5.2;1.1;5.2;12.6
75;Type: Paar, met kind(eren);2015;2.8;36.1;63.9;-5.6;0.8;5.0;12.4
76;Type: Paar, met kind(eren);2016;5.3;27.3;72.7;-2.9;3.2;7.6;15.6
77;Type: Paar, met kind(eren);2017;2.2;38.5;61.5;-5.3;0.3;4.5;12.9
78;Type: Paar, met kind(eren);2018;2.5;37.5;62.5;-5.2;0.5;4.9;13.1
79;Type: Paar, met kind(eren);2019;3.2;33.7;66.3;-4.6;1.3;5.6;13.9
80;Type: Paar, met kind(eren);2020;4.8;29.9;70.1;-4.2;2.6;7.2;15.1
81;Type: Paar, met kind(eren);2021;3.3;34.4;65.6;-4.9;1.2;5.7;14.3
82;Type: Paar, met kind(eren);2022;0.3;48.8;51.2;-7.6;-1.9;2.7;11.0
