ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;1344209;100.0;100;98;2
1;1;2691;0.2;0;0;0
2;2;6713;0.5;0;0;0
3;3;417;0.0;0;0;0
4;4;179523;13.4;13;13;0
5;5;8416;0.6;1;1;0
6;6;51195;3.8;4;4;0
7;7;10653;0.8;1;1;0
8;8;8152;0.6;1;1;0
9;9;87983;6.5;7;7;0
10;Economische Bond;42042;3.1;3;3;0
11;Groep Alberda;735;0.1;0;0;0
12;Groep Braam;189;0.0;0;0;0
13;Groep Kuiper;568;0.0;0;0;0
14;Groep Stoffel;235;0.0;0;0;0
15;Groep Van der Zwaag;2649;0.2;0;0;0
16;Liberale Unie;83173;6.2;6;5;1
17;Middenstandspartij;12663;0.9;1;1;0
18;Nationale Bond Protestantse Kiezers;358;0.0;0;0;0
19;Neutrale en Koloniale Bond;237;0.0;0;0;0
20;Neutrale Partij;7186;0.5;1;1;0
21;Plattelandersbond (links);5562;0.4;1;1;0
22;Plattelandersbond (rechts);3506;0.3;0;0;0
23;Politie-Partij;6189;0.5;0;0;0
24;Rooms-Katholieke Staatspartij;402908;30.0;30;30;0
25;SDAP;296145;22.0;22;21;1
26;SGP;5179;0.4;0;0;0
27;Sociaal-Democratische Partij;31043;2.3;2;2;0
28;Socialistische Partij;8950;0.7;1;1;0
29;Verbond Democratische Weermacht;6830;0.5;1;1;0
30;Volkspartij;236;0.0;0;0;0
31;Volkswelvaartspartij;301;0.0;0;0;0
32;Vrijzinnig Democratische Bond;71582;5.3;5;5;0
