ID;Uitkeringen;Perioden;SocialeUitkeringen_1
0;Totaal sociale uitkeringen;1995;66254
1;Totaal sociale uitkeringen;1996;65922
2;Totaal sociale uitkeringen;1997;67457
3;Totaal sociale uitkeringen;1998;68889
4;Totaal sociale uitkeringen;1999;70743
5;Totaal sociale uitkeringen;2000;74094
6;Totaal sociale uitkeringen;2001;79255
7;Totaal sociale uitkeringen;2002;85343
8;Totaal sociale uitkeringen;2003;91237
9;Totaal sociale uitkeringen;2004;93355
10;Totaal sociale uitkeringen;2005;95335
11;Totaal sociale uitkeringen;2006;108629
12;Totaal sociale uitkeringen;2007;112795
13;Totaal sociale uitkeringen;2008;119565
14;Totaal sociale uitkeringen;2009;128265
15;Totaal sociale uitkeringen;2010;133994
16;Totaal sociale uitkeringen;2011;137613
17;Totaal sociale uitkeringen;2012;141912
18;Totaal sociale uitkeringen;2013;145560
19;Totaal sociale uitkeringen;2014;147105
20;Totaal sociale uitkeringen;2015;147869
21;Totaal sociale uitkeringen;2016;150981
22;Totaal sociale uitkeringen;2017;153484
23;Totaal sociale uitkeringen;2018;158338
24;Totaal sociale uitkeringen;2019;165372
25;Totaal sociale uitkeringen;2020;169979
26;Totaal sociale uitkeringen;2021;181346
27;Totaal wettelijke sociale uitkeringen;1995;50635
28;Totaal wettelijke sociale uitkeringen;1996;50462
29;Totaal wettelijke sociale uitkeringen;1997;53380
30;Totaal wettelijke sociale uitkeringen;1998;53503
31;Totaal wettelijke sociale uitkeringen;1999;55351
32;Totaal wettelijke sociale uitkeringen;2000;58171
33;Totaal wettelijke sociale uitkeringen;2001;62722
34;Totaal wettelijke sociale uitkeringen;2002;68207
35;Totaal wettelijke sociale uitkeringen;2003;73372
36;Totaal wettelijke sociale uitkeringen;2004;75227
37;Totaal wettelijke sociale uitkeringen;2005;76170
38;Totaal wettelijke sociale uitkeringen;2006;86073
39;Totaal wettelijke sociale uitkeringen;2007;87129
40;Totaal wettelijke sociale uitkeringen;2008;91090
41;Totaal wettelijke sociale uitkeringen;2009;97430
42;Totaal wettelijke sociale uitkeringen;2010;101622
43;Totaal wettelijke sociale uitkeringen;2011;103957
44;Totaal wettelijke sociale uitkeringen;2012;108475
45;Totaal wettelijke sociale uitkeringen;2013;111561
46;Totaal wettelijke sociale uitkeringen;2014;113497
47;Totaal wettelijke sociale uitkeringen;2015;110031
48;Totaal wettelijke sociale uitkeringen;2016;111824
49;Totaal wettelijke sociale uitkeringen;2017;113458
50;Totaal wettelijke sociale uitkeringen;2018;116919
51;Totaal wettelijke sociale uitkeringen;2019;121950
52;Totaal wettelijke sociale uitkeringen;2020;124814
53;Totaal wettelijke sociale uitkeringen;2021;133057
54;Alg. Arbeidsongeschiktheidswet (AAW);1995;5735
55;Alg. Arbeidsongeschiktheidswet (AAW);1996;5672
56;Alg. Arbeidsongeschiktheidswet (AAW);1997;6151
57;Alg. Arbeidsongeschiktheidswet (AAW);1998;47
58;Alg. Arbeidsongeschiktheidswet (AAW);1999;15
59;Alg. Arbeidsongeschiktheidswet (AAW);2000;0
60;Alg. Arbeidsongeschiktheidswet (AAW);2001;0
61;Alg. Arbeidsongeschiktheidswet (AAW);2002;0
62;Alg. Arbeidsongeschiktheidswet (AAW);2003;0
63;Alg. Arbeidsongeschiktheidswet (AAW);2004;0
64;Alg. Arbeidsongeschiktheidswet (AAW);2005;0
65;Alg. Arbeidsongeschiktheidswet (AAW);2006;0
66;Alg. Arbeidsongeschiktheidswet (AAW);2007;0
67;Alg. Arbeidsongeschiktheidswet (AAW);2008;0
68;Alg. Arbeidsongeschiktheidswet (AAW);2009;0
69;Alg. Arbeidsongeschiktheidswet (AAW);2010;0
70;Alg. Arbeidsongeschiktheidswet (AAW);2011;0
71;Alg. Arbeidsongeschiktheidswet (AAW);2012;0
72;Alg. Arbeidsongeschiktheidswet (AAW);2013;0
73;Alg. Arbeidsongeschiktheidswet (AAW);2014;0
74;Alg. Arbeidsongeschiktheidswet (AAW);2015;0
75;Alg. Arbeidsongeschiktheidswet (AAW);2016;0
76;Alg. Arbeidsongeschiktheidswet (AAW);2017;0
77;Alg. Arbeidsongeschiktheidswet (AAW);2018;0
78;Alg. Arbeidsongeschiktheidswet (AAW);2019;0
