ID;TypeZelfstandigOndernemer;Marges;Perioden;RegelmatigVeelKrachtZetten_1;RegelmatigHardPraten_2;RegelmatigTeMakenMetTrillingen_3;GevaarlijkWerkTot2019_4;GevaarlijkWerkVanaf2019_5;Vallen_6;Struikelen_7;Bekneld_8;Snijden_9;Botsen_10;GevaarlijkeStoffen_11;Geweld_12;Verbranden_13;Verstikking_14;Anders_15;WaterigeOplossingen_16;StoffenOpHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;WerktMetOfDichtbijOngezondeStoffen_20;Besmettingskans_21;BesmettingskansViaPatienten_22;BesmettingskansViaAndereMensen_23;BesmettingskansViaDieren_24;BesmettingskansViaWater_25;BesmettingskansViaOnderzoeksmateriaal_26;BesmettingskansViaAnderMateriaal_27;InOngemakkelijkeWerkhoudingWerken_28;TijdensWerkRepeterendeBewegingMaken_29;UurPerDagAanBeeldschermVoorWerk_30
0;Zelfstandig ondernemer (totaal);Waarde;2015;21.1;5.9;13.6;2.3;;;;;;;;;;;;17.4;8.9;8.3;4.4;;;;;;;;;11.0;31.0;3.3
1;Zelfstandig ondernemer (totaal);Waarde;2017;22.7;6.0;13.1;2.7;;;;;;;;;;;;18.3;9.3;8.7;3.4;;;;;;;;;12.0;33.4;3.4
2;Zelfstandig ondernemer (totaal);Waarde;2019;22.1;6.3;13.2;;12.8;2.3;4.6;1.3;4.7;3.0;1.0;0.6;1.5;0.2;2.2;17.7;9.6;9.1;4.4;;;;;;;;;12.1;30.6;3.4
3;Zelfstandig ondernemer (totaal);Waarde;2021;21.8;6.2;12.8;;13.3;2.7;4.9;1.4;5.8;2.8;1.1;0.6;1.5;0.2;2.1;17.5;9.2;7.7;6.7;;;;;;;;;12.8;31.5;3.7
4;Zelfstandig ondernemer (totaal);Waarde;2023;22.4;6.5;12.4;;13.1;2.9;4.5;1.3;5.2;2.4;0.9;0.8;1.3;0.2;1.8;;;;;5.3;44.2;10.8;31.7;4.6;0.8;0.3;2.0;12.6;28.2;3.6
5;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2015;19.8;5.2;12.6;1.9;;;;;;;;;;;;16.3;8.0;7.4;3.8;;;;;;;;;10.1;29.6;3.2
6;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2017;21.5;5.4;12.1;2.3;;;;;;;;;;;;17.3;8.5;7.9;3.0;;;;;;;;;11.1;32.1;3.3
7;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2019;20.9;5.6;12.2;;11.9;1.9;4.1;1.0;4.1;2.6;0.7;0.4;1.1;0.1;1.8;16.6;8.7;8.3;3.9;;;;;;;;;11.2;29.3;3.3
8;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2021;20.8;5.6;11.9;;12.5;2.3;4.4;1.1;5.3;2.4;0.8;0.4;1.3;0.1;1.8;16.6;8.5;7.1;6.2;;;;;;;;;11.9;30.4;3.6
9;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2023;21.2;5.8;11.5;;12.2;2.5;4.0;1.0;4.6;2.0;0.7;0.6;1.0;0.1;1.5;;;;;4.7;42.9;10.1;30.5;4.1;0.6;0.2;1.7;11.7;27.0;3.5
10;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2015;22.4;6.7;14.8;2.8;;;;;;;;;;;;18.6;9.8;9.2;5.0;;;;;;;;;12.1;32.5;3.3
11;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2017;23.9;6.8;14.1;3.2;;;;;;;;;;;;19.4;10.2;9.6;3.9;;;;;;;;;13.0;34.7;3.5
12;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2019;23.3;7.0;14.2;;13.9;2.8;5.3;1.6;5.4;3.6;1.3;0.9;1.9;0.4;2.7;18.8;10.5;10.1;5.1;;;;;;;;;13.1;31.9;3.4
13;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2021;22.8;6.9;13.6;;14.2;3.2;5.5;1.7;6.5;3.2;1.4;0.8;1.9;0.4;2.5;18.5;10.0;8.4;7.4;;;;;;;;;13.6;32.7;3.7
14;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2023;23.5;7.2;13.3;;14.1;3.5;5.2;1.7;5.8;2.8;1.3;1.1;1.6;0.3;2.2;;;;;6.0;45.5;11.6;32.9;5.2;1.1;0.4;2.5;13.6;29.4;3.7
15;Zelfstandig ondernemer zonder personeel;Waarde;2015;20.7;6.0;14.4;2.4;;;;;;;;;;;;15.6;8.9;9.0;3.6;;;;;;;;;11.1;30.8;3.2
16;Zelfstandig ondernemer zonder personeel;Waarde;2017;21.9;6.3;13.4;2.6;;;;;;;;;;;;16.3;9.2;9.1;3.1;;;;;;;;;12.7;33.0;3.4
17;Zelfstandig ondernemer zonder personeel;Waarde;2019;21.1;6.6;13.2;;12.5;2.4;4.6;1.4;4.3;3.1;1.0;0.6;1.3;0.3;2.2;16.4;10.0;9.7;4.4;;;;;;;;;12.4;29.9;3.4
18;Zelfstandig ondernemer zonder personeel;Waarde;2021;21.5;6.7;13.0;;12.6;2.9;4.9;1.3;5.2;2.7;1.0;0.5;1.1;0.2;2.0;15.9;9.0;7.7;6.2;;;;;;;;;12.9;31.2;3.7
19;Zelfstandig ondernemer zonder personeel;Waarde;2023;21.3;6.6;12.7;;12.9;3.1;4.7;1.2;4.8;2.4;1.0;0.8;1.0;0.2;1.7;;;;;5.4;43.8;10.7;31.5;4.5;0.9;0.2;2.1;12.8;27.6;3.6
