ID;BranchOfIndustryAndEnterpriseSize;Periods;TotalEmployees_1;Men_2;Women_3;TotalIn_4;PercentageMen_5;PercentageWomen_6;TotalExpenditures_7;ExpendituresInOfLabourCosts_8;ExpenditurePerEmployee_9;TotalExpenditures_10;ExpendituresInOfLabourCosts_11;ExpendituresPerEmployee_12
0;Total;1993;841.0;609.0;232.0;26.0;27.0;24.0;1558.0;1.8;490.0;;;
1;Total;1999;1559.0;1110.0;450.0;41.0;44.0;35.0;3088.0;2.7;810.0;1908.0;1.7;500.0
2;Total;2005;1311.0;901.0;409.0;34.0;36.0;31.0;3093.0;2.2;810.0;1738.0;1.2;450.0
3;10-99 employees;1993;172.0;133.0;39.0;15.0;16.0;12.0;224.0;0.8;190.0;;;
4;10-99 employees;1999;544.0;413.0;131.0;37.0;41.0;30.0;848.0;1.8;580.0;489.0;1.0;340.0
5;10-99 employees;2005;394.0;273.0;122.0;24.0;25.0;23.0;750.0;1.4;460.0;413.0;0.8;260.0
6;100-499 employees;1993;190.0;150.0;40.0;27.0;29.0;21.0;278.0;1.3;400.0;;;
7;100-499 employees;1999;354.0;269.0;85.0;45.0;48.0;37.0;649.0;2.8;820.0;407.0;1.8;520.0
8;100-499 employees;2005;283.0;212.0;71.0;36.0;39.0;29.0;676.0;2.1;850.0;382.0;1.2;480.0
9;500 and more employees;1993;479.0;326.0;153.0;36.0;38.0;33.0;1056.0;3.0;800.0;;;
10;500 and more employees;1999;661.0;428.0;234.0;42.0;46.0;37.0;1592.0;3.8;1020.0;1012.0;2.4;650.0
11;500 and more employees;2005;633.0;416.0;217.0;45.0;48.0;39.0;1667.0;3.1;1180.0;943.0;1.8;670.0
12;10-14 Mining;1993;;;;;;;;;;;;
13;10-14 Mining;1999;5.0;5.0;0.0;60.0;62.0;49.0;16.0;3.2;1880.0;12.0;2.3;1340.0
14;10-14 Mining;2005;5.0;5.0;1.0;61.0;61.0;60.0;34.0;4.5;3740.0;19.0;2.5;2090.0
15;15-37 Manufacturing;1993;212.0;183.0;29.0;24.0;25.0;17.0;466.0;1.7;530.0;;;
16;15-37 Manufacturing;1999;341.0;286.0;55.0;40.0;42.0;33.0;652.0;2.2;760.0;378.0;1.3;440.0
17;15-37 Manufacturing;2005;257.0;213.0;44.0;34.0;35.0;28.0;703.0;2.2;920.0;396.0;1.2;520.0
18;40-41 Electricity, gas and water supply;1993;16.0;13.0;4.0;37.0;33.0;59.0;34.0;2.2;770.0;;;
19;40-41 Electricity, gas and water supply;1999;16.0;14.0;2.0;47.0;50.0;31.0;39.0;2.8;1180.0;21.0;1.5;640.0
20;40-41 Electricity, gas and water supply;2005;10.0;8.0;2.0;44.0;47.0;34.0;40.0;3.2;1770.0;28.0;2.2;1240.0
21;45 Construction;1993;68.0;66.0;2.0;24.0;25.0;15.0;65.0;0.8;230.0;;;
22;45 Construction;1999;179.0;172.0;7.0;58.0;59.0;35.0;228.0;2.2;740.0;120.0;1.2;380.0
23;45 Construction;2005;121.0;113.0;8.0;40.0;42.0;29.0;231.0;1.9;770.0;109.0;0.9;370.0
24;50-52 Repair consumer goods, trade;1993;144.0;80.0;64.0;22.0;21.0;23.0;168.0;1.2;250.0;;;
25;50-52 Repair consumer goods, trade;1999;304.0;191.0;113.0;37.0;42.0;30.0;425.0;2.2;520.0;230.0;1.2;280.0
26;50-52 Repair consumer goods, trade;2005;241.0;145.0;95.0;26.0;29.0;23.0;391.0;1.5;430.0;225.0;0.9;250.0
27;55 Hotels and restaurants;1993;14.0;7.0;7.0;16.0;17.0;15.0;10.0;0.7;120.0;;;
28;55 Hotels and restaurants;1999;39.0;18.0;21.0;32.0;32.0;31.0;37.0;1.9;300.0;21.0;1.1;170.0
29;55 Hotels and restaurants;2005;35.0;15.0;20.0;22.0;21.0;22.0;56.0;1.9;350.0;25.0;0.8;150.0
30;60-64 Transport, storage and communic.;1993;;;;;;;;;;;;
31;60-64 Transport, storage and communic.;1999;154.0;113.0;41.0;40.0;40.0;42.0;359.0;2.8;940.0;255.0;2.0;670.0
32;60-64 Transport, storage and communic.;2005;152.0;107.0;44.0;39.0;37.0;44.0;352.0;2.3;900.0;224.0;1.4;570.0
33;65-67 Financial intermediation;1993;85.0;53.0;33.0;46.0;50.0;40.0;248.0;3.7;1330.0;;;
34;65-67 Financial intermediation;1999;140.0;75.0;65.0;65.0;64.0;66.0;444.0;4.8;2050.0;299.0;3.3;1380.0
35;65-67 Financial intermediation;2005;134.0;71.0;63.0;54.0;54.0;54.0;418.0;2.9;1690.0;249.0;1.8;1000.0
36;70-74 Business activities;1993;141.0;85.0;55.0;20.0;22.0;18.0;223.0;1.4;320.0;;;
37;70-74 Business activities;1999;317.0;201.0;116.0;36.0;41.0;29.0;789.0;3.3;890.0;511.0;2.2;580.0
38;70-74 Business activities;2005;303.0;197.0;105.0;36.0;39.0;31.0;774.0;2.6;930.0;409.0;1.3;490.0
39;90-93 Culture,recreation, other services;1993;;;;;;;;;;;;
40;90-93 Culture,recreation, other services;1999;64.0;35.0;29.0;39.0;39.0;39.0;99.0;2.2;600.0;63.0;1.4;380.0
41;90-93 Culture,recreation, other services;2005;54.0;27.0;27.0;30.0;30.0;31.0;93.0;1.6;530.0;55.0;0.9;310.0
