ID;Geslacht;Leeftijd;Herkomst;Generatie;BurgerlijkeStaat;OoitOfNooitGescheiden;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;ContanteWaarde_3;TeBereikenJaarlijkseAanspraken_4;Vervangingspercentage_5;OpgebouwdeJaarlijkseAanspraken_6;ContanteWaarde_7;TeBereikenJaarlijkseAanspraken_8;Vervangingspercentage_9;VierdePijler_10;OpgebouwdeJaarlijkseAanspraken_11;ContanteWaarde_12;TeBereikenJaarlijkseAanspraken_13;Vervangingspercentage_14
0;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal burgerlijke staat;Totaal ooit of nooit gescheiden;2005;11021900.0;4100.0;25600.0;8900.0;40.0;3500.0;23400.0;8400.0;38.0;42.0;7600.0;49000.0;17300.0;78.0
1;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal burgerlijke staat;Ooit gescheiden;2005;1365900.0;5800.0;41200.0;9000.0;35.0;4500.0;32400.0;8800.0;34.0;37.0;10300.0;73600.0;17800.0;69.0
2;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal burgerlijke staat;Nooit gescheiden;2005;9656000.0;3800.0;23300.0;8900.0;41.0;3400.0;22100.0;8400.0;39.0;43.0;7200.0;45400.0;17300.0;80.0
3;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Gehuwd;Totaal ooit of nooit gescheiden;2005;5636050.0;4800.0;32700.0;7800.0;30.0;5000.0;34400.0;10900.0;42.0;64.0;9800.0;67100.0;18700.0;72.0
4;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Gehuwd;Ooit gescheiden;2005;477850.0;5100.0;36600.0;7700.0;29.0;5500.0;40600.0;9900.0;37.0;50.0;10600.0;77200.0;17600.0;66.0
5;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Gehuwd;Nooit gescheiden;2005;5158200.0;4800.0;32300.0;7800.0;30.0;5000.0;33800.0;11000.0;43.0;65.0;9800.0;66100.0;18800.0;73.0
6;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Niet gehuwd;Totaal ooit of nooit gescheiden;2005;5385850.0;3300.0;18100.0;10100.0;55.0;1900.0;11800.0;5800.0;32.0;19.0;5200.0;29900.0;15900.0;87.0
7;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Niet gehuwd;Ooit gescheiden;2005;888050.0;6200.0;43700.0;9700.0;39.0;4000.0;28000.0;8100.0;33.0;29.0;10200.0;71700.0;17800.0;72.0
8;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Niet gehuwd;Nooit gescheiden;2005;4497800.0;2800.0;13000.0;10100.0;59.0;1500.0;8600.0;5400.0;31.0;17.0;4300.0;21600.0;15500.0;90.0
9;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Ongehuwd;Totaal ooit of nooit gescheiden;2005;4387200.0;2600.0;10900.0;10100.0;60.0;1400.0;7100.0;5300.0;32.0;15.0;4000.0;18000.0;15400.0;92.0
10;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Ongehuwd;Ooit gescheiden;2005;;;;;;;;;;;;;;
11;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Ongehuwd;Nooit gescheiden;2005;4347150.0;2600.0;10800.0;10100.0;60.0;1300.0;6900.0;5300.0;31.0;15.0;3900.0;17700.0;15400.0;91.0
12;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Gescheiden;Totaal ooit of nooit gescheiden;2005;837500.0;6200.0;43800.0;9600.0;39.0;4000.0;27800.0;8000.0;33.0;29.0;10200.0;71600.0;17600.0;72.0
13;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Gescheiden;Ooit gescheiden;2005;831650.0;6200.0;43800.0;9600.0;39.0;4000.0;27900.0;8000.0;33.0;29.0;10200.0;71700.0;17600.0;72.0
14;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Gescheiden;Nooit gescheiden;2005;;;;;;;;;;;;;;
15;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Verweduwd;Totaal ooit of nooit gescheiden;2005;161100.0;8300.0;79700.0;10300.0;36.0;6200.0;58400.0;8400.0;30.0;53.0;14500.0;138100.0;18700.0;66.0
