ID;VormenVanJeugdzorg;Wijken;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;k_0Tot4Jaar_2;k_4Tot12Jaar_3;k_12Tot18Jaar_4;k_18Tot23Jaar_5;ThuiswonendKindInEenouderhuishouden_6;ThuiswonendKindBijEenPaar_7;AnderHuishouden_8;TotaalTrajectenInNatura_9;GemeentelijkeToegang_10;Huisarts_11;Jeugdarts_12;GecertificeerdeInstelling_13;MedischSpecialist_14;RechterOfficierVanJustitie_15;GeenVerwijzer_16;VerwijzerOnbekend_17;Gemeentenaam_18;SoortRegio_19;Codering_20;IndelingswijzigingWijken_21
0;Totaal alle jeugdzorg in natura;Nederland;1e halfjaar 2021;392015.0;23020.0;189670.0;162440.0;16890.0;111570.0;247410.0;33040.0;563845.0;165730.0;180740.0;13680.0;49295.0;24180.0;1945.0;77200.0;3980.0;                                        ;         ;NL01      ;
1;Totaal alle jeugdzorg in natura;Nederland;2e halfjaar 2021;389615.0;28075.0;193865.0;154890.0;12785.0;110300.0;246615.0;32695.0;559810.0;168325.0;179910.0;14400.0;48730.0;23725.0;2005.0;72525.0;4340.0;                                        ;         ;NL01      ;
2;Totaal alle jeugdzorg in natura;Nederland;2021;463835.0;31755.0;226985.0;187455.0;17635.0;130785.0;296670.0;36375.0;708100.0;208430.0;231425.0;17860.0;60185.0;30890.0;2595.0;96420.0;5170.0;                                        ;         ;NL01      ;
3;Totaal alle jeugdzorg in natura;Aa en Hunze;1e halfjaar 2021;545.0;20.0;250.0;230.0;40.0;100.0;375.0;65.0;730.0;185.0;290.0;15.0;75.0;35.0;;55.0;;Aa en Hunze                             ;Gemeente ;GM1680    ;
4;Totaal alle jeugdzorg in natura;Aa en Hunze;2e halfjaar 2021;550.0;25.0;275.0;215.0;35.0;115.0;375.0;60.0;730.0;190.0;300.0;10.0;65.0;30.0;;55.0;;Aa en Hunze                             ;Gemeente ;GM1680    ;
5;Totaal alle jeugdzorg in natura;Aa en Hunze;2021;630.0;30.0;305.0;255.0;45.0;120.0;445.0;65.0;875.0;235.0;350.0;15.0;80.0;35.0;;75.0;10.0;Aa en Hunze                             ;Gemeente ;GM1680    ;
6;Totaal alle jeugdzorg in natura;Wijk 00 Annen;1e halfjaar 2021;70.0;;20.0;40.0;;10.0;50.0;10.0;95.0;25.0;40.0;;15.0;;;;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
7;Totaal alle jeugdzorg in natura;Wijk 00 Annen;2e halfjaar 2021;70.0;;30.0;40.0;;10.0;50.0;10.0;95.0;25.0;45.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
8;Totaal alle jeugdzorg in natura;Wijk 00 Annen;2021;85.0;;30.0;45.0;;10.0;60.0;10.0;120.0;35.0;55.0;;15.0;;;;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
9;Totaal alle jeugdzorg in natura;Wijk 01 Eext;1e halfjaar 2021;35.0;;15.0;15.0;;;30.0;;40.0;15.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
10;Totaal alle jeugdzorg in natura;Wijk 01 Eext;2e halfjaar 2021;35.0;;15.0;15.0;;;25.0;;40.0;15.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
11;Totaal alle jeugdzorg in natura;Wijk 01 Eext;2021;35.0;;20.0;15.0;;;30.0;;50.0;15.0;20.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
12;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;1e halfjaar 2021;10.0;;;;;;10.0;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
13;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;2e halfjaar 2021;10.0;;;;;;10.0;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
14;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;2021;10.0;;;;;;10.0;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
15;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;1e halfjaar 2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
16;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;2e halfjaar 2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
17;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;2021;10.0;;;;;;;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
18;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;1e halfjaar 2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
19;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;2e halfjaar 2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
20;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;2021;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
21;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;1e halfjaar 2021;10.0;;;;;;10.0;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
22;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;2e halfjaar 2021;15.0;;;10.0;;;15.0;;20.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
23;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;2021;15.0;;;10.0;;;15.0;;20.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
24;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;1e halfjaar 2021;15.0;;;10.0;;;15.0;;15.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
25;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;2e halfjaar 2021;10.0;;;;;;10.0;;15.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
26;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;2021;15.0;;;10.0;;;15.0;;15.0;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
