ID;Geslacht;Leeftijd;Onderwijssoort;Vooropleiding;Studierichting;Opleidingsfase;Perioden;Eerstejaarsstudenten_1
0;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1990/'91;94599
1;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1991/'92;92225
2;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1992/'93;89399
3;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1993/'94;88884
4;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1994/'95;87859
5;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1995/'96;85428
6;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1996/'97;91043
7;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1997/'98;91919
8;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1998/'99;97079
9;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;1999/'00;104281
10;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2000/'01;104681
11;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2001/'02;105913
12;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2002/'03;102610
13;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2003/'04;109749
14;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2004/'05;112880
15;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2005/'06;114429
16;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2006/'07;117697
17;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2007/'08;121874
18;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2008/'09;126317
19;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2009/'10;134729
20;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2010/'11;134099
21;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2011/'12;135114
22;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2012/'13;133699
23;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2013/'14;143387
24;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2014/'15;138638
25;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Totaal opleidingsfase;2015/'16;131999
26;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Bachelor- en doctoraalopleidingen;1990/'91;94026
27;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Bachelor- en doctoraalopleidingen;1991/'92;91777
28;Totaal mannen en vrouwen;0;Hoger onderwijs;0;0;Bachelor- en doctoraalopleidingen;1992/'93;89048
