ID;KenmerkenWerknemers;Marges;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
21;Totaal;Bovengrens 95%-interval;2017;4.1;44.5;1.1;7.2;70.4;18.6;11.2;1.2;9.5;15.1;71.1;5.8
22;Totaal;Bovengrens 95%-interval;2018;4.5;48.4;1.3;7.8;68.6;19.7;11.8;1.2;9.7;15.3;70.6;5.7
23;Totaal;Bovengrens 95%-interval;2019;4.6;47.3;1.3;8.1;68.9;18.8;12.3;1.4;9.5;15.4;70.0;6.5
24;Totaal;Bovengrens 95%-interval;2020;4.5;44.0;1.2;7.7;65.4;22.0;12.6;1.3;9.4;14.2;70.7;7.1
25;Totaal;Bovengrens 95%-interval;2021;4.8;44.1;1.2;8.3;63.1;22.9;13.9;1.6;10.2;15.0;68.6;7.7
26;Totaal;Bovengrens 95%-interval;2022;5.3;58.0;1.6;9.3;64.5;26.4;9.2;1.1;7.5;12.0;74.4;7.3
27;Migratieachtergrond: Nederland;Waarde;2014;3.7;42.9;1.0;6.5;69.2;19.1;10.7;1.0;7.9;14.6;73.0;4.5
28;Migratieachtergrond: Nederland;Waarde;2015;4.0;45.1;1.0;7.1;67.5;19.3;12.2;1.0;7.7;13.2;74.2;4.8
29;Migratieachtergrond: Nederland;Waarde;2016;3.9;46.0;1.1;6.9;68.5;18.7;11.7;1.1;8.0;14.3;73.3;4.4
30;Migratieachtergrond: Nederland;Waarde;2017;4.1;43.8;1.0;7.1;69.4;18.4;11.1;1.2;8.4;14.1;72.7;4.8
31;Migratieachtergrond: Nederland;Waarde;2018;4.4;48.3;1.2;7.6;67.9;19.2;11.8;1.1;8.6;14.5;72.4;4.5
32;Migratieachtergrond: Nederland;Waarde;2019;4.6;46.8;1.2;8.1;68.0;18.2;12.5;1.3;8.4;14.7;71.9;5.1
33;Migratieachtergrond: Nederland;Waarde;2020;4.4;44.0;1.2;7.6;64.6;21.3;12.9;1.2;8.3;13.5;72.3;5.8
34;Migratieachtergrond: Nederland;Waarde;2021;4.7;43.6;1.2;8.2;62.2;22.4;13.9;1.5;9.2;14.1;70.4;6.4
35;Migratieachtergrond: Nederland;Waarde;2022;;;;;;;;;;;;
36;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2014;3.6;42.3;1.0;6.2;68.6;18.6;10.3;0.9;7.5;14.2;72.4;4.2
37;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2015;3.9;44.6;1.0;6.8;67.0;18.8;11.8;0.9;7.4;12.8;73.7;4.6
38;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2016;3.8;45.4;1.1;6.6;68.0;18.2;11.3;1.0;7.7;13.9;72.7;4.1
39;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2017;3.9;43.3;1.0;6.8;68.8;17.9;10.7;1.0;8.1;13.6;72.1;4.6
40;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2018;4.3;47.8;1.2;7.4;67.4;18.8;11.4;1.0;8.3;14.2;72.0;4.3
41;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2019;4.5;46.4;1.2;7.8;67.5;17.8;12.1;1.2;8.1;14.3;71.4;4.8
42;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2020;4.3;43.5;1.1;7.4;64.0;20.8;12.5;1.1;8.0;13.2;71.8;5.6
43;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2021;4.6;43.1;1.1;7.9;61.6;21.9;13.5;1.4;8.8;13.7;69.9;6.1
44;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2022;;;;;;;;;;;;
45;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2014;3.9;43.5;1.0;6.7;69.8;19.6;11.1;1.1;8.3;15.1;73.6;4.8
46;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2015;4.2;45.7;1.0;7.3;68.1;19.8;12.6;1.2;8.0;13.6;74.8;5.1
47;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2016;4.0;46.5;1.1;7.1;69.1;19.2;12.1;1.2;8.4;14.8;73.8;4.7
48;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2017;4.2;44.4;1.1;7.4;69.9;18.9;11.5;1.3;8.8;14.5;73.2;5.1
49;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2018;4.5;48.7;1.3;7.9;68.4;19.6;12.1;1.2;8.9;14.9;72.9;4.7
50;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2019;4.8;47.3;1.2;8.3;68.5;18.7;12.8;1.4;8.7;15.0;72.4;5.3
51;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2020;4.6;44.5;1.2;7.9;65.1;21.8;13.3;1.4;8.6;13.9;72.8;6.1
52;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2021;4.9;44.2;1.2;8.4;62.8;22.9;14.3;1.7;9.5;14.5;70.9;6.7
53;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2022;;;;;;;;;;;;
54;Migratieachtergrond: westers;Waarde;2014;4.1;44.8;1.2;7.0;70.3;19.6;8.9;1.2;10.8;16.0;66.7;6.5
55;Migratieachtergrond: westers;Waarde;2015;4.0;45.3;1.1;7.0;68.5;19.4;10.9;1.2;8.3;15.0;69.9;6.7
56;Migratieachtergrond: westers;Waarde;2016;3.5;45.4;1.1;6.3;68.7;19.6;11.0;0.7;8.9;17.7;66.6;6.8
57;Migratieachtergrond: westers;Waarde;2017;4.0;45.2;1.1;7.0;70.8;17.6;11.0;0.6;10.3;16.2;65.2;8.3
58;Migratieachtergrond: westers;Waarde;2018;4.2;47.4;1.2;7.5;68.6;19.2;11.1;1.1;11.9;16.6;63.6;8.0
59;Migratieachtergrond: westers;Waarde;2019;4.0;46.8;1.2;7.2;69.9;18.5;10.7;0.9;11.4;15.8;63.5;9.2
60;Migratieachtergrond: westers;Waarde;2020;4.1;42.7;1.1;7.5;65.8;22.1;10.9;1.3;12.0;14.6;65.0;8.4
61;Migratieachtergrond: westers;Waarde;2021;4.4;43.3;1.2;8.2;64.8;21.3;12.3;1.7;12.6;14.8;63.1;9.5
62;Migratieachtergrond: westers;Waarde;2022;;;;;;;;;;;;
63;Migratieachtergrond: westers;Ondergrens 95%-interval;2014;3.5;42.9;1.0;6.0;68.2;17.9;7.7;0.8;9.5;14.4;64.6;5.3
64;Migratieachtergrond: westers;Ondergrens 95%-interval;2015;3.6;43.5;1.0;6.3;66.6;17.9;9.7;0.8;7.2;13.6;68.0;5.7
65;Migratieachtergrond: westers;Ondergrens 95%-interval;2016;3.1;43.6;1.0;5.6;66.8;18.1;9.8;0.4;7.8;16.2;64.7;5.8
66;Migratieachtergrond: westers;Ondergrens 95%-interval;2017;3.5;43.4;1.0;6.2;68.9;16.1;9.8;0.3;9.1;14.7;63.2;7.2
67;Migratieachtergrond: westers;Ondergrens 95%-interval;2018;3.8;45.8;1.1;6.8;66.8;17.7;10.0;0.8;10.7;15.2;61.8;7.0
68;Migratieachtergrond: westers;Ondergrens 95%-interval;2019;3.6;45.2;1.1;6.5;68.2;17.1;9.6;0.6;10.3;14.5;61.7;8.2
69;Migratieachtergrond: westers;Ondergrens 95%-interval;2020;3.7;41.1;1.0;6.7;64.0;20.5;9.8;0.9;10.8;13.4;63.2;7.4
70;Migratieachtergrond: westers;Ondergrens 95%-interval;2021;4.0;41.6;1.1;7.4;62.9;19.7;11.1;1.2;11.4;13.5;61.1;8.4
71;Migratieachtergrond: westers;Ondergrens 95%-interval;2022;;;;;;;;;;;;
72;Migratieachtergrond: westers;Bovengrens 95%-interval;2014;4.6;46.8;1.4;7.9;72.3;21.4;10.2;1.8;12.3;17.7;68.8;7.8
73;Migratieachtergrond: westers;Bovengrens 95%-interval;2015;4.4;47.1;1.2;7.8;70.4;21.1;12.2;1.7;9.5;16.5;71.8;7.9
74;Migratieachtergrond: westers;Bovengrens 95%-interval;2016;3.9;47.2;1.2;7.1;70.5;21.3;12.2;1.1;10.1;19.3;68.5;7.9
75;Migratieachtergrond: westers;Bovengrens 95%-interval;2017;4.4;47.0;1.2;7.7;72.7;19.3;12.3;0.9;11.7;17.8;67.2;9.6
76;Migratieachtergrond: westers;Bovengrens 95%-interval;2018;4.6;49.1;1.3;8.3;70.4;20.8;12.3;1.5;13.2;18.0;65.4;9.1
77;Migratieachtergrond: westers;Bovengrens 95%-interval;2019;4.4;48.4;1.3;8.0;71.6;20.0;11.9;1.3;12.7;17.2;65.3;10.4
78;Migratieachtergrond: westers;Bovengrens 95%-interval;2020;4.5;44.2;1.2;8.3;67.6;23.7;12.1;1.7;13.2;16.0;66.8;9.5
79;Migratieachtergrond: westers;Bovengrens 95%-interval;2021;4.9;45.0;1.4;9.1;66.7;23.0;13.6;2.2;14.0;16.3;64.9;10.7
80;Migratieachtergrond: westers;Bovengrens 95%-interval;2022;;;;;;;;;;;;
81;Migratieachtergrond: 1e gen westers;Waarde;2014;3.6;38.7;0.9;6.1;70.6;19.7;8.5;1.2;13.3;17.3;60.7;8.6
82;Migratieachtergrond: 1e gen westers;Waarde;2015;3.2;40.3;1.0;5.9;69.5;19.0;10.7;0.9;9.4;16.3;65.1;9.2
83;Migratieachtergrond: 1e gen westers;Waarde;2016;3.0;42.0;1.0;5.8;69.5;19.8;10.4;0.3;11.8;19.0;59.9;9.2
84;Migratieachtergrond: 1e gen westers;Waarde;2017;3.4;42.4;1.0;6.2;72.7;17.6;9.4;0.3;12.5;17.9;58.9;10.7
85;Migratieachtergrond: 1e gen westers;Waarde;2018;3.5;43.9;1.1;6.2;69.6;18.9;10.8;0.7;15.8;18.6;54.7;10.9
86;Migratieachtergrond: 1e gen westers;Waarde;2019;3.7;42.5;1.2;7.0;70.9;17.6;10.8;0.7;14.3;17.1;55.1;13.5
87;Migratieachtergrond: 1e gen westers;Waarde;2020;3.5;39.3;1.0;6.8;67.1;22.0;10.2;0.7;13.8;15.3;59.3;11.6
88;Migratieachtergrond: 1e gen westers;Waarde;2021;3.9;40.9;1.2;7.4;66.9;20.0;11.9;1.2;15.6;16.8;55.1;12.5
89;Migratieachtergrond: 1e gen westers;Waarde;2022;;;;;;;;;;;;
90;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2014;2.8;35.7;0.8;4.7;67.2;17.0;6.8;0.6;11.0;14.8;57.1;6.8
91;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2015;2.6;37.5;0.8;4.8;66.2;16.4;8.8;0.4;7.6;13.9;61.7;7.4
92;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2016;2.5;39.3;0.8;4.7;66.5;17.3;8.6;0.1;9.9;16.6;56.7;7.4
93;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2017;2.8;39.7;0.9;5.1;69.8;15.3;7.7;0.1;10.4;15.5;55.6;8.8
94;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2018;2.9;41.4;1.0;5.3;66.8;16.6;9.2;0.4;13.8;16.4;51.8;9.2
95;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2019;3.2;40.1;1.0;5.9;68.1;15.5;9.1;0.4;12.4;15.0;52.2;11.6
96;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2020;2.9;37.1;0.9;5.6;64.3;19.6;8.6;0.4;12.0;13.4;56.5;9.9
97;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2021;3.3;38.5;1.0;6.2;64.0;17.7;10.2;0.7;13.6;14.7;52.2;10.7
98;Migratieachtergrond: 1e gen westers;Ondergrens 95%-interval;2022;;;;;;;;;;;;
99;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2014;4.4;41.7;1.1;7.4;73.7;22.7;10.7;2.3;16.0;20.3;64.2;10.9
100;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2015;3.9;43.2;1.1;7.0;72.5;21.8;12.9;1.8;11.7;19.0;68.3;11.5
101;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2016;3.6;44.8;1.1;6.8;72.4;22.5;12.4;0.9;14.1;21.8;63.1;11.3
102;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2017;4.0;45.3;1.1;7.3;75.5;20.2;11.4;0.8;14.8;20.6;62.1;13.0
103;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2018;4.0;46.4;1.3;7.1;72.2;21.3;12.7;1.3;18.1;20.9;57.6;12.8
104;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2019;4.3;45.0;1.3;8.1;73.5;20.0;12.7;1.3;16.4;19.4;57.9;15.7
105;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2020;4.1;41.6;1.2;7.9;69.8;24.5;12.1;1.4;15.9;17.4;62.0;13.6
106;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2021;4.5;43.4;1.4;8.6;69.6;22.5;14.0;2.0;17.9;19.1;58.0;14.6
107;Migratieachtergrond: 1e gen westers;Bovengrens 95%-interval;2022;;;;;;;;;;;;
108;Migratieachtergrond: 2e gen westers;Waarde;2014;4.4;50.0;1.4;7.7;70.1;19.6;9.1;1.3;9.0;15.0;71.2;4.9
109;Migratieachtergrond: 2e gen westers;Waarde;2015;4.6;49.6;1.2;8.1;67.8;19.8;11.0;1.4;7.5;14.1;73.5;4.9
110;Migratieachtergrond: 2e gen westers;Waarde;2016;3.9;48.4;1.2;6.8;68.0;19.5;11.5;1.0;6.3;16.5;72.4;4.7
111;Migratieachtergrond: 2e gen westers;Waarde;2017;4.5;47.8;1.1;7.7;69.1;17.7;12.4;0.8;8.5;14.6;70.7;6.2
112;Migratieachtergrond: 2e gen westers;Waarde;2018;5.0;51.1;1.3;8.9;67.7;19.5;11.3;1.4;8.1;14.6;72.1;5.2
113;Migratieachtergrond: 2e gen westers;Waarde;2019;4.3;51.5;1.3;7.5;69.0;19.4;10.6;1.0;8.6;14.6;71.8;5.0
114;Migratieachtergrond: 2e gen westers;Waarde;2020;4.8;46.5;1.1;8.3;64.5;22.1;11.5;1.8;10.1;14.0;70.9;5.0
115;Migratieachtergrond: 2e gen westers;Waarde;2021;5.1;46.2;1.3;9.3;62.5;22.7;12.7;2.1;9.4;12.7;71.8;6.1
116;Migratieachtergrond: 2e gen westers;Waarde;2022;;;;;;;;;;;;
117;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2014;3.7;47.4;1.0;6.4;67.5;17.4;7.6;0.7;7.5;13.1;68.5;3.6
118;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2015;4.0;47.4;1.1;7.0;65.4;17.8;9.6;0.9;6.3;12.4;71.3;3.9
119;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2016;3.3;46.2;1.1;5.8;65.7;17.6;10.0;0.6;5.2;14.8;70.1;3.8
120;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2017;3.9;45.5;1.0;6.6;66.6;15.8;10.8;0.4;7.1;12.9;68.3;5.0
121;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2018;4.4;49.0;1.2;7.8;65.4;17.7;9.9;1.0;6.9;13.0;70.0;4.3
122;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2019;3.7;49.4;1.1;6.5;66.8;17.6;9.2;0.6;7.4;13.0;69.7;4.1
123;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2020;4.2;44.5;1.0;7.2;62.2;20.2;10.1;1.3;8.7;12.5;68.8;4.1
124;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2021;4.4;43.9;1.1;8.0;60.0;20.6;11.1;1.5;8.0;11.1;69.5;5.0
125;Migratieachtergrond: 2e gen westers;Ondergrens 95%-interval;2022;;;;;;;;;;;;
126;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2014;5.1;52.5;1.8;9.0;72.6;21.9;10.8;2.1;10.7;17.1;73.7;6.6
127;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2015;5.3;51.9;1.3;9.1;70.1;21.9;12.6;2.1;8.9;15.9;75.7;6.2
128;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2016;4.4;50.7;1.4;7.9;70.3;21.6;13.1;1.6;7.6;18.5;74.6;5.9
129;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2017;5.2;50.2;1.3;8.9;71.5;19.8;14.3;1.4;10.1;16.6;73.1;7.6
130;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2018;5.6;53.2;1.5;10.0;70.0;21.5;13.0;2.1;9.5;16.3;74.2;6.3
131;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2019;4.8;53.6;1.4;8.4;71.2;21.4;12.1;1.6;9.9;16.3;73.9;6.1
132;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2020;5.4;48.6;1.3;9.5;66.7;24.2;13.2;2.6;11.6;15.7;73.0;6.2
133;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2021;5.8;48.4;1.5;10.6;65.0;24.9;14.5;3.0;11.0;14.5;74.1;7.5
134;Migratieachtergrond: 2e gen westers;Bovengrens 95%-interval;2022;;;;;;;;;;;;
135;Migratieachtergrond: niet-westers;Waarde;2014;3.1;42.0;1.1;5.6;70.8;19.0;9.4;0.8;11.8;17.7;59.5;11.1
136;Migratieachtergrond: niet-westers;Waarde;2015;3.4;42.9;1.1;5.9;71.0;20.3;7.9;0.9;10.6;16.0;62.4;11.1
137;Migratieachtergrond: niet-westers;Waarde;2016;3.5;43.4;1.2;6.2;69.3;20.5;9.3;0.9;12.3;17.0;60.8;9.8
138;Migratieachtergrond: niet-westers;Waarde;2017;3.4;44.5;1.2;5.9;73.5;17.0;8.5;0.9;14.3;18.4;58.1;9.2
139;Migratieachtergrond: niet-westers;Waarde;2018;4.0;45.8;1.3;7.1;69.7;20.1;9.3;0.9;13.3;16.9;58.7;11.1
140;Migratieachtergrond: niet-westers;Waarde;2019;3.9;46.8;1.4;6.7;70.9;19.1;8.9;1.1;13.7;17.1;56.7;12.5
141;Migratieachtergrond: niet-westers;Waarde;2020;3.9;41.4;1.2;6.8;66.5;23.7;9.1;0.8;12.4;15.5;58.9;13.2
142;Migratieachtergrond: niet-westers;Waarde;2021;4.2;43.6;1.2;7.2;63.3;23.6;11.9;1.3;12.5;18.2;56.3;12.9
143;Migratieachtergrond: niet-westers;Waarde;2022;;;;;;;;;;;;
144;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2014;2.7;40.0;1.0;4.8;68.4;17.1;8.1;0.5;10.3;15.8;57.0;9.6
145;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2015;2.9;41.1;1.0;5.2;68.9;18.5;6.8;0.6;9.3;14.4;60.2;9.7
146;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2016;3.1;41.6;1.0;5.5;67.3;18.8;8.2;0.6;11.0;15.4;58.7;8.6
147;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2017;3.0;42.7;1.1;5.2;71.6;15.5;7.4;0.6;12.9;16.8;56.0;8.0
148;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2018;3.6;44.4;1.2;6.4;68.1;18.7;8.4;0.6;12.2;15.7;57.0;10.0
149;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2019;3.5;45.3;1.3;6.1;69.2;17.7;7.9;0.8;12.5;15.8;55.0;11.3
150;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2020;3.5;40.0;1.1;6.2;64.7;22.2;8.1;0.6;11.3;14.2;57.2;12.0
151;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2021;3.7;41.9;1.1;6.4;61.3;21.9;10.7;0.9;11.3;16.7;54.4;11.6
152;Migratieachtergrond: niet-westers;Ondergrens 95%-interval;2022;;;;;;;;;;;;
153;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2014;3.5;44.1;1.2;6.4;73.0;21.1;10.9;1.5;13.4;19.7;61.9;12.7
154;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2015;3.8;44.7;1.2;6.7;73.0;22.1;9.1;1.4;12.0;17.7;64.5;12.6
155;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2016;3.9;45.2;1.3;7.0;71.2;22.2;10.6;1.4;13.8;18.6;62.9;11.2
156;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2017;3.7;46.3;1.3;6.5;75.3;18.7;9.8;1.4;15.8;20.2;60.2;10.5
157;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2018;4.4;47.3;1.4;7.7;71.2;21.5;10.4;1.3;14.5;18.2;60.4;12.2
158;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2019;4.2;48.3;1.5;7.4;72.5;20.6;9.9;1.6;14.9;18.5;58.5;13.7
159;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2020;4.3;42.8;1.3;7.5;68.1;25.2;10.1;1.2;13.6;16.8;60.7;14.4
160;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2021;4.6;45.2;1.3;7.9;65.2;25.4;13.2;1.8;13.8;19.8;58.3;14.3
161;Migratieachtergrond: niet-westers;Bovengrens 95%-interval;2022;;;;;;;;;;;;
162;Migratieachtergrond: 1e gen niet-west...;Waarde;2014;3.2;39.1;1.0;5.8;67.9;20.3;10.5;1.2;13.5;19.3;52.9;14.3
163;Migratieachtergrond: 1e gen niet-west...;Waarde;2015;3.6;40.3;1.0;6.4;64.2;25.1;9.6;1.0;13.3;16.6;57.9;12.3
164;Migratieachtergrond: 1e gen niet-west...;Waarde;2016;3.6;40.0;1.1;6.9;62.5;24.6;11.9;1.0;14.3;16.9;56.4;12.4
165;Migratieachtergrond: 1e gen niet-west...;Waarde;2017;3.5;41.1;1.2;6.5;68.8;19.7;10.5;1.0;18.0;18.8;51.6;11.6
166;Migratieachtergrond: 1e gen niet-west...;Waarde;2018;4.3;42.1;1.2;7.7;65.0;23.1;10.7;1.2;16.2;18.1;52.5;13.2
167;Migratieachtergrond: 1e gen niet-west...;Waarde;2019;3.8;41.9;1.2;6.9;65.5;22.8;10.3;1.4;16.5;17.9;50.7;15.0
168;Migratieachtergrond: 1e gen niet-west...;Waarde;2020;4.0;37.3;1.1;7.1;61.4;27.7;9.9;1.0;16.2;15.8;53.9;14.1
169;Migratieachtergrond: 1e gen niet-west...;Waarde;2021;3.9;38.7;1.1;6.9;59.4;26.6;12.8;1.2;15.2;20.0;49.5;15.3
170;Migratieachtergrond: 1e gen niet-west...;Waarde;2022;;;;;;;;;;;;
171;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2014;2.6;36.7;0.9;4.8;65.0;18.0;8.8;0.7;11.6;16.9;49.8;12.3
172;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2015;3.0;38.1;0.9;5.4;61.5;22.8;8.1;0.6;11.6;14.6;55.1;10.5
173;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2016;3.1;37.7;0.9;5.9;59.8;22.3;10.3;0.6;12.5;14.9;53.7;10.7
174;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2017;3.0;38.9;1.0;5.6;66.2;17.6;8.9;0.6;16.0;16.8;48.9;9.9
175;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2018;3.8;40.3;1.1;6.8;62.8;21.3;9.4;0.8;14.6;16.5;50.3;11.8
176;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2019;3.3;40.0;1.1;6.0;63.2;20.9;9.0;0.9;14.9;16.2;48.5;13.4
177;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2020;3.5;35.5;1.0;6.2;59.1;25.6;8.6;0.6;14.6;14.2;51.6;12.5
178;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2021;3.3;36.6;1.0;6.0;56.7;24.3;11.2;0.8;13.5;17.9;46.9;13.5
179;Migratieachtergrond: 1e gen niet-west...;Ondergrens 95%-interval;2022;;;;;;;;;;;;
