ID;Gender;PersonalCharacteristics;CaribbeanNetherlands;Periods;EmployedLabourForceInternatDef_1;EmployedLabourForceNationalDef_2
0;Total male and female;Total personal characteristics;Bonaire;2012;8837.0;8559.0
1;Total male and female;Total personal characteristics;St. Eustatius;2012;2099.0;1940.0
2;Total male and female;Total personal characteristics;Saba;2012;1045.0;971.0
3;Total male and female;14;Bonaire;2012;6344.0;6241.0
4;Total male and female;14;St. Eustatius;2012;1443.0;1362.0
5;Total male and female;14;Saba;2012;717.0;699.0
6;Total male and female;15;Bonaire;2012;1401.0;1392.0
7;Total male and female;15;St. Eustatius;2012;320.0;302.0
8;Total male and female;15;Saba;2012;179.0;150.0
9;Total male and female;Employment status: self-employed;Bonaire;2012;1092.0;926.0
10;Total male and female;Employment status: self-employed;St. Eustatius;2012;335.0;276.0
11;Total male and female;Employment status: self-employed;Saba;2012;148.0;123.0
12;Total male and female;1;Bonaire;2012;325.0;295.0
13;Total male and female;1;St. Eustatius;2012;89.0;54.0
14;Total male and female;1;Saba;2012;38.0;26.0
15;Total male and female;2;Bonaire;2012;1483.0;1483.0
16;Total male and female;2;St. Eustatius;2012;383.0;357.0
17;Total male and female;2;Saba;2012;154.0;146.0
18;Total male and female;3;Bonaire;2012;2222.0;2181.0
19;Total male and female;3;St. Eustatius;2012;410.0;381.0
20;Total male and female;3;Saba;2012;275.0;260.0
21;Total male and female;4;Bonaire;2012;1407.0;1344.0
22;Total male and female;4;St. Eustatius;2012;343.0;325.0
23;Total male and female;4;Saba;2012;164.0;162.0
24;Total male and female;5;Bonaire;2012;938.0;914.0
25;Total male and female;5;St. Eustatius;2012;223.0;215.0
26;Total male and female;5;Saba;2012;97.0;92.0
27;Total male and female;6;Bonaire;2012;688.0;676.0
28;Total male and female;6;St. Eustatius;2012;142.0;142.0
29;Total male and female;6;Saba;2012;61.0;57.0
30;Total male and female;7;Bonaire;2012;347.0;339.0
31;Total male and female;7;St. Eustatius;2012;84.0;84.0
32;Total male and female;7;Saba;2012;46.0;46.0
33;Total male and female;8;Bonaire;2012;266.0;266.0
34;Total male and female;8;St. Eustatius;2012;42.0;42.0
35;Total male and female;8;Saba;2012;15.0;15.0
36;Total male and female;9;Bonaire;2012;143.0;134.0
37;Total male and female;9;St. Eustatius;2012;47.0;43.0
38;Total male and female;9;Saba;2012;;
39;Total male and female;10;Bonaire;2012;102.0;102.0
40;Total male and female;10;St. Eustatius;2012;53.0;53.0
41;Total male and female;10;Saba;2012;;
42;Total male and female;11;Bonaire;2012;281.0;249.0
43;Total male and female;11;St. Eustatius;2012;91.0;91.0
44;Total male and female;11;Saba;2012;31.0;22.0
45;Total male and female;12;Bonaire;2012;38.0;28.0
46;Total male and female;12;St. Eustatius;2012;;
47;Total male and female;12;Saba;2012;;
48;Total male and female;13;Bonaire;2012;596.0;548.0
49;Total male and female;13;St. Eustatius;2012;178.0;146.0
50;Total male and female;13;Saba;2012;145.0;127.0
51;Total male and female;Working hours: 1 to 12 hours a week;Bonaire;2012;104.0;
52;Total male and female;Working hours: 1 to 12 hours a week;St. Eustatius;2012;123.0;
53;Total male and female;Working hours: 1 to 12 hours a week;Saba;2012;39.0;
54;Total male and female;Working hours: 12 to 20 hours a week;Bonaire;2012;189.0;180.0
55;Total male and female;Working hours: 12 to 20 hours a week;St. Eustatius;2012;31.0;27.0
56;Total male and female;Working hours: 12 to 20 hours a week;Saba;2012;27.0;24.0
57;Total male and female;Working hours: 20 to 35 hours a week;Bonaire;2012;981.0;918.0
58;Total male and female;Working hours: 20 to 35 hours a week;St. Eustatius;2012;338.0;338.0
59;Total male and female;Working hours: 20 to 35 hours a week;Saba;2012;150.0;144.0
60;Total male and female;Working hours: 35 hours or more;Bonaire;2012;7563.0;7461.0
61;Total male and female;Working hours: 35 hours or more;St. Eustatius;2012;1607.0;1575.0
62;Total male and female;Working hours: 35 hours or more;Saba;2012;829.0;803.0
63;Total male and female;16;Bonaire;2012;;
64;Total male and female;16;St. Eustatius;2012;;
65;Total male and female;16;Saba;2012;;
66;Total male and female;17;Bonaire;2012;705.0;697.0
67;Total male and female;17;St. Eustatius;2012;236.0;219.0
68;Total male and female;17;Saba;2012;73.0;73.0
69;Total male and female;18;Bonaire;2012;896.0;861.0
70;Total male and female;18;St. Eustatius;2012;212.0;212.0
71;Total male and female;18;Saba;2012;147.0;127.0
72;Total male and female;19;Bonaire;2012;1583.0;1516.0
73;Total male and female;19;St. Eustatius;2012;302.0;298.0
74;Total male and female;19;Saba;2012;177.0;177.0
75;Total male and female;20;Bonaire;2012;733.0;733.0
76;Total male and female;20;St. Eustatius;2012;144.0;132.0
77;Total male and female;20;Saba;2012;119.0;119.0
78;Total male and female;21;Bonaire;2012;1978.0;1894.0
79;Total male and female;21;St. Eustatius;2012;328.0;315.0
80;Total male and female;21;Saba;2012;164.0;153.0
81;Total male and female;22;Bonaire;2012;62.0;62.0
82;Total male and female;22;St. Eustatius;2012;28.0;22.0
83;Total male and female;22;Saba;2012;31.0;24.0
84;Total male and female;23;Bonaire;2012;1574.0;1528.0
85;Total male and female;23;St. Eustatius;2012;415.0;373.0
86;Total male and female;23;Saba;2012;164.0;151.0
87;Total male and female;24;Bonaire;2012;309.0;300.0
88;Total male and female;24;St. Eustatius;2012;111.0;111.0
89;Total male and female;24;Saba;2012;43.0;41.0
90;Total male and female;25;Bonaire;2012;918.0;905.0
91;Total male and female;25;St. Eustatius;2012;304.0;240.0
92;Total male and female;25;Saba;2012;110.0;92.0
93;Total male and female;26;Bonaire;2012;80.0;63.0
94;Total male and female;26;St. Eustatius;2012;;
95;Total male and female;26;Saba;2012;18.0;16.0
96;Total male and female;27;Bonaire;2012;8443.0;8186.0
97;Total male and female;27;St. Eustatius;2012;1988.0;1846.0
98;Total male and female;27;Saba;2012;984.0;917.0
99;Total male and female;28;Bonaire;2012;354.0;341.0
100;Total male and female;28;St. Eustatius;2012;103.0;94.0
101;Total male and female;28;Saba;2012;57.0;51.0
102;Total male and female;29;Bonaire;2012;41.0;32.0
103;Total male and female;29;St. Eustatius;2012;;
104;Total male and female;29;Saba;2012;;
105;Male;Total personal characteristics;Bonaire;2012;4842.0;4667.0
106;Male;Total personal characteristics;St. Eustatius;2012;1249.0;1164.0
107;Male;Total personal characteristics;Saba;2012;562.0;513.0
108;Male;14;Bonaire;2012;3380.0;3326.0
109;Male;14;St. Eustatius;2012;836.0;804.0
110;Male;14;Saba;2012;355.0;341.0
111;Male;15;Bonaire;2012;706.0;697.0
112;Male;15;St. Eustatius;2012;178.0;173.0
113;Male;15;Saba;2012;115.0;95.0
114;Male;Employment status: self-employed;Bonaire;2012;756.0;644.0
115;Male;Employment status: self-employed;St. Eustatius;2012;235.0;188.0
116;Male;Employment status: self-employed;Saba;2012;92.0;78.0
117;Male;1;Bonaire;2012;104.0;94.0
118;Male;1;St. Eustatius;2012;45.0;30.0
119;Male;1;Saba;2012;25.0;
120;Male;2;Bonaire;2012;765.0;765.0
121;Male;2;St. Eustatius;2012;166.0;153.0
122;Male;2;Saba;2012;69.0;65.0
