ID;Beroep;Geslacht;Nationaliteit;Personen_1
0;De geheele bevolking;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;7935565
1;De geheele bevolking;Totaal mannen en vrouwen;Nederland;7759715
2;De geheele bevolking;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;175850
3;De geheele bevolking;Totaal mannen en vrouwen;Duitschland;101955
4;De geheele bevolking;Totaal mannen en vrouwen;België;25404
5;De geheele bevolking;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;2511
6;De geheele bevolking;Totaal mannen en vrouwen;Frankrijk;2053
7;De geheele bevolking;Totaal mannen en vrouwen;Italië;2606
8;De geheele bevolking;Totaal mannen en vrouwen;Zwitserland;1140
9;De geheele bevolking;Totaal mannen en vrouwen;Oostenrijk;8841
10;De geheele bevolking;Totaal mannen en vrouwen;Hongarije;2826
11;De geheele bevolking;Totaal mannen en vrouwen;Rusland;745
12;De geheele bevolking;Totaal mannen en vrouwen;Polen;5931
13;De geheele bevolking;Totaal mannen en vrouwen;Tsjechoslowakije;2367
14;De geheele bevolking;Totaal mannen en vrouwen;Andere nationaliteit;7778
15;De geheele bevolking;Totaal mannen en vrouwen;Geen nationaliteit;10208
16;De geheele bevolking;Totaal mannen en vrouwen;Onbekende nationaliteit;1485
17;De geheele bevolking;Mannen;Totaal van alle nationaliteiten;3942676
18;De geheele bevolking;Mannen;Nederland;3865597
19;De geheele bevolking;Mannen;Totaal van alle vreemde nationaliteiten;77079
20;De geheele bevolking;Mannen;Duitschland;41489
21;De geheele bevolking;Mannen;België;12660
22;De geheele bevolking;Mannen;Groot Britannië en Noord Ierland;1140
23;De geheele bevolking;Mannen;Frankrijk;1055
24;De geheele bevolking;Mannen;Italië;1552
25;De geheele bevolking;Mannen;Zwitserland;509
26;De geheele bevolking;Mannen;Oostenrijk;2674
27;De geheele bevolking;Mannen;Hongarije;1037
28;De geheele bevolking;Mannen;Rusland;406
29;De geheele bevolking;Mannen;Polen;3125
30;De geheele bevolking;Mannen;Tsjechoslowakije;1028
31;De geheele bevolking;Mannen;Andere nationaliteit;4252
32;De geheele bevolking;Mannen;Geen nationaliteit;5447
33;De geheele bevolking;Mannen;Onbekende nationaliteit;705
34;De geheele bevolking;Vrouwen;Totaal van alle nationaliteiten;3992889
35;De geheele bevolking;Vrouwen;Nederland;3894118
36;De geheele bevolking;Vrouwen;Totaal van alle vreemde nationaliteiten;98771
37;De geheele bevolking;Vrouwen;Duitschland;60466
38;De geheele bevolking;Vrouwen;België;12744
39;De geheele bevolking;Vrouwen;Groot Britannië en Noord Ierland;1371
40;De geheele bevolking;Vrouwen;Frankrijk;998
41;De geheele bevolking;Vrouwen;Italië;1054
42;De geheele bevolking;Vrouwen;Zwitserland;631
43;De geheele bevolking;Vrouwen;Oostenrijk;6167
44;De geheele bevolking;Vrouwen;Hongarije;1789
45;De geheele bevolking;Vrouwen;Rusland;339
46;De geheele bevolking;Vrouwen;Polen;2806
47;De geheele bevolking;Vrouwen;Tsjechoslowakije;1339
48;De geheele bevolking;Vrouwen;Andere nationaliteit;3526
49;De geheele bevolking;Vrouwen;Geen nationaliteit;4761
50;De geheele bevolking;Vrouwen;Onbekende nationaliteit;780
51;Beroepsloozen;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;4749749
52;Beroepsloozen;Totaal mannen en vrouwen;Nederland;4672639
53;Beroepsloozen;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;77110
54;Beroepsloozen;Totaal mannen en vrouwen;Duitschland;39968
55;Beroepsloozen;Totaal mannen en vrouwen;België;14008
56;Beroepsloozen;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;1345
57;Beroepsloozen;Totaal mannen en vrouwen;Frankrijk;996
58;Beroepsloozen;Totaal mannen en vrouwen;Italië;1243
59;Beroepsloozen;Totaal mannen en vrouwen;Zwitserland;425
60;Beroepsloozen;Totaal mannen en vrouwen;Oostenrijk;2720
61;Beroepsloozen;Totaal mannen en vrouwen;Hongarije;1623
62;Beroepsloozen;Totaal mannen en vrouwen;Rusland;395
63;Beroepsloozen;Totaal mannen en vrouwen;Polen;3301
64;Beroepsloozen;Totaal mannen en vrouwen;Tsjechoslowakije;1037
65;Beroepsloozen;Totaal mannen en vrouwen;Andere nationaliteit;4077
66;Beroepsloozen;Totaal mannen en vrouwen;Geen nationaliteit;5250
67;Beroepsloozen;Totaal mannen en vrouwen;Onbekende nationaliteit;722
68;Beroepsloozen;Mannen;Totaal van alle nationaliteiten;1524439
69;Beroepsloozen;Mannen;Nederland;1500760
70;Beroepsloozen;Mannen;Totaal van alle vreemde nationaliteiten;23679
71;Beroepsloozen;Mannen;Duitschland;12110
72;Beroepsloozen;Mannen;België;4545
73;Beroepsloozen;Mannen;Groot Britannië en Noord Ierland;369
74;Beroepsloozen;Mannen;Frankrijk;528
75;Beroepsloozen;Mannen;Italië;366
76;Beroepsloozen;Mannen;Zwitserland;122
77;Beroepsloozen;Mannen;Oostenrijk;645
78;Beroepsloozen;Mannen;Hongarije;350
79;Beroepsloozen;Mannen;Rusland;119
80;Beroepsloozen;Mannen;Polen;986
81;Beroepsloozen;Mannen;Tsjechoslowakije;299
82;Beroepsloozen;Mannen;Andere nationaliteit;1434
83;Beroepsloozen;Mannen;Geen nationaliteit;1584
84;Beroepsloozen;Mannen;Onbekende nationaliteit;222
85;Beroepsloozen;Vrouwen;Totaal van alle nationaliteiten;3225310
86;Beroepsloozen;Vrouwen;Nederland;3171879
87;Beroepsloozen;Vrouwen;Totaal van alle vreemde nationaliteiten;53431
88;Beroepsloozen;Vrouwen;Duitschland;27858
89;Beroepsloozen;Vrouwen;België;9463
