ID;Bestedingscategorieen;KenmerkenHuishoudens;Perioden;GemiddeldBesteedBedrag_1
0;000000 Alle bestedingen;Particuliere huishoudens;2015;33.8
1;000000 Alle bestedingen;Particuliere huishoudens;2020;35.2
2;000000 Alle bestedingen;Type: Eenpersoonshuishouden;2015;22.2
3;000000 Alle bestedingen;Type: Eenpersoonshuishouden;2020;23.6
4;000000 Alle bestedingen;Type: Alleenstaande man;2015;22.7
5;000000 Alle bestedingen;Type: Alleenstaande man;2020;24.6
6;000000 Alle bestedingen;Type: Alleenstaande man onder AOW-lft;2015;22.2
7;000000 Alle bestedingen;Type: Alleenstaande man onder AOW-lft;2020;24.3
8;000000 Alle bestedingen;Type: Alleenstaande man vanaf AOW-lft;2015;24.7
9;000000 Alle bestedingen;Type: Alleenstaande man vanaf AOW-lft;2020;25.5
10;000000 Alle bestedingen;Type: Alleenstaande vrouw;2015;21.8
11;000000 Alle bestedingen;Type: Alleenstaande vrouw;2020;22.8
12;000000 Alle bestedingen;Type: Alleenstaande vrouw onder AOW-lft;2015;21.4
13;000000 Alle bestedingen;Type: Alleenstaande vrouw onder AOW-lft;2020;22.5
14;000000 Alle bestedingen;Type: Alleenstaande vrouw vanaf AOW-lft;2015;22.3
15;000000 Alle bestedingen;Type: Alleenstaande vrouw vanaf AOW-lft;2020;23.1
16;000000 Alle bestedingen;Type: Meerpersoonshuishouden;2015;40.5
17;000000 Alle bestedingen;Type: Meerpersoonshuishouden;2020;42.2
18;000000 Alle bestedingen;Type: Eenoudergezin;2015;29.6
19;000000 Alle bestedingen;Type: Eenoudergezin;2020;33.4
20;000000 Alle bestedingen;Type: Eenouder, alle kinderen < 18 jr;2015;28.0
21;000000 Alle bestedingen;Type: Eenouder, alle kinderen < 18 jr;2020;32.5
22;000000 Alle bestedingen;Type: Eenouder, minst. één kind >= 18 jr;2015;31.6
23;000000 Alle bestedingen;Type: Eenouder, minst. één kind >= 18 jr;2020;34.4
24;000000 Alle bestedingen;Type: Paar, totaal;2015;41.8
25;000000 Alle bestedingen;Type: Paar, totaal;2020;43.5
26;000000 Alle bestedingen;Type: Paar, met kind(eren);2015;45.5
27;000000 Alle bestedingen;Type: Paar, met kind(eren);2020;49.2
28;000000 Alle bestedingen;Type: Paar, alle kinderen < 18 jr;2015;44.1
29;000000 Alle bestedingen;Type: Paar, alle kinderen < 18 jr;2020;47.6
30;000000 Alle bestedingen;Type: Paar, minstens één kind >= 18 jr;2015;48.3
31;000000 Alle bestedingen;Type: Paar, minstens één kind >= 18 jr;2020;51.8
32;000000 Alle bestedingen;Type: Paar, zonder kind;2015;38.4
33;000000 Alle bestedingen;Type: Paar, zonder kind;2020;38.4
34;000000 Alle bestedingen;Type: Paar, zonder kind, onder AOW-lft;2015;39.4
35;000000 Alle bestedingen;Type: Paar, zonder kind, onder AOW-lft;2020;40.3
36;000000 Alle bestedingen;Type: Paar, zonder kind, vanaf AOW-lft;2015;37.1
